protraits_taxID;protraits_genus;protraits_species;protraits_strain;protraits_speciesStrain;protraits_misclassified;protraits_gram;protraits_substrate;protraits_source
200;Campylobacter;Campylobacter curvus;;Campylobacter curvus;no;negative;;host
196;Campylobacter;Campylobacter fetus;;Campylobacter fetus;no;negative;;host|fecal
824;Campylobacter;Campylobacter gracilis;;Campylobacter gracilis;no;negative;;
76517;Campylobacter;Campylobacter hominis;;Campylobacter hominis;no;negative;;host
197;Campylobacter;Campylobacter jejuni;;Campylobacter jejuni;no;negative;;host
201;Campylobacter;Campylobacter lari;;Campylobacter lari;no;negative;;host|fecal
203;Campylobacter;Campylobacter rectus;;Campylobacter rectus;no;negative;;
204;Campylobacter;Campylobacter showae;;Campylobacter showae;no;negative;;
665939;Campylobacter;Campylobacter sp. ;10_1_50;Campylobacter sp. 10_1_50;no;negative;;host
28080;Campylobacter;Campylobacter upsaliensis;;Campylobacter upsaliensis;no;negative;;host
827;Campylobacter;Campylobacter ureolyticus;;Campylobacter ureolyticus;no;negative;;
1394709;candidate;candidate division ;SR1 bacterium RAAC1_SR1_1;candidate division SR1 bacterium RAAC1_SR1_1;no;;;
327160;Candidatus;Candidatus Accumulibacter ;phosphatis;Candidatus Accumulibacter phosphatis;no;negative;α-ketoglutaricAcid;freeLiving
281120;Candidatus;Candidatus Amoebophilus ;asiaticus;Candidatus Amoebophilus asiaticus;no;negative;;
1081644;Candidatus;Candidatus Aquiluna ;sp. IMCC13023;Candidatus Aquiluna sp. IMCC13023;no;;;
49118;Candidatus;Candidatus Arthromitus ;sp. SFB-mouse;Candidatus Arthromitus sp. SFB-mouse;no;;;host|mammals
1041504;Candidatus;Candidatus Arthromitus ;sp. SFB-rat-Yit;Candidatus Arthromitus sp. SFB-rat-Yit;no;;arbutin;host|fecal
713887;Candidatus;Candidatus Atelocyanobacterium ;thalassa;Candidatus Atelocyanobacterium thalassa;no;negative;;freeLiving
511435;Candidatus;Candidatus Azobacteroides ;pseudotrichonymphae;Candidatus Azobacteroides pseudotrichonymphae;no;negative;;
186490;Candidatus;Candidatus Baumannia ;cicadellinicola;Candidatus Baumannia cicadellinicola;no;negative;;host
251542;Candidatus;Candidatus Blochmannia ;chromaiodes;Candidatus Blochmannia chromaiodes;no;negative;;host|insectEndoSymbiont|endoSymbiont
203907;Candidatus;Candidatus Blochmannia ;floridanus;Candidatus Blochmannia floridanus;no;negative;;host|insectEndoSymbiont|endoSymbiont
101534;Candidatus;Candidatus Blochmannia ;pennsylvanicus;Candidatus Blochmannia pennsylvanicus;no;negative;;host|insectEndoSymbiont
251535;Candidatus;Candidatus Blochmannia ;vafer;Candidatus Blochmannia vafer;no;negative;;host|insectEndoSymbiont
174632;Candidatus;Candidatus Brocadia ;anammoxidans;Candidatus Brocadia anammoxidans;no;;;freeLiving
311458;Candidatus;Candidatus Caldiarchaeum ;subterraneum;Candidatus Caldiarchaeum subterraneum;no;;;
114186;Candidatus;Candidatus Carsonella ;ruddii;Candidatus Carsonella ruddii;no;negative;;host
458033;Candidatus;Candidatus Chloracidobacterium ;thermophilum;Candidatus Chloracidobacterium thermophilum;no;negative;;aquatic|freeLiving|single
456827;Candidatus;Candidatus Cloacimonas ;acidaminovorans;Candidatus Cloacimonas acidaminovorans;no;negative;;
471827;Candidatus;Candidatus Desulforudis ;audaxviator;Candidatus Desulforudis audaxviator;no;;;freeLiving
1263979;Candidatus;Candidatus Endolissoclinum ;faulkneri;Candidatus Endolissoclinum faulkneri;no;negative;;
138072;Candidatus;Candidatus Hamiltonella ;defensa;Candidatus Hamiltonella defensa;no;negative;;insecta|host
573658;Candidatus;Candidatus Hodgkinia ;cicadicola;Candidatus Hodgkinia cicadicola;no;;;
33056;Candidatus;Candidatus Kinetoplastibacterium ;crithidii;Candidatus Kinetoplastibacterium crithidii;no;negative;;
994692;Candidatus;Candidatus Kinetoplastibacterium ;desouzaii;Candidatus Kinetoplastibacterium desouzaii;no;negative;;
994695;Candidatus;Candidatus Kinetoplastibacterium ;galatii;Candidatus Kinetoplastibacterium galatii;no;negative;;
994696;Candidatus;Candidatus Kinetoplastibacterium ;oncopeltii;Candidatus Kinetoplastibacterium oncopeltii;no;negative;;
498846;Candidatus;Candidatus Korarchaeum ;cryptofilum;Candidatus Korarchaeum cryptofilum;no;;;freeLiving
658062;Candidatus;Candidatus Koribacter ;versatilis;Candidatus Koribacter versatilis;no;negative;;freeLiving
309868;Candidatus;Candidatus Liberibacter ;americanus;Candidatus Liberibacter americanus;no;negative;;host
34021;Candidatus;Candidatus Liberibacter ;asiaticus;Candidatus Liberibacter asiaticus;no;negative;;host
556287;Candidatus;Candidatus Liberibacter ;solanacearum;Candidatus Liberibacter solanacearum;no;negative;glycerol|sorbitol;host
1406512;Candidatus;Candidatus Methanomassiliicoccus ;intestinalis;Candidatus Methanomassiliicoccus intestinalis;no;;;
1291540;Candidatus;Candidatus Methanomethylophilus ;alvus;Candidatus Methanomethylophilus alvus;no;;;
671143;Candidatus;Candidatus Methylomirabilis ;oxyfera;Candidatus Methylomirabilis oxyfera;no;negative;;freeLiving
234827;Candidatus;Candidatus Midichloria ;mitochondrii;Candidatus Midichloria mitochondrii;no;negative;;host
1048758;Candidatus;Candidatus Moranella ;endobia;Candidatus Moranella endobia;no;negative;;host
141391;Candidatus;Candidatus Mycoplasma ;haemolamae;Candidatus Mycoplasma haemolamae;no;negative;;host|single
209446;Candidatus;Candidatus Mycoplasma ;haemominutum;Candidatus Mycoplasma haemominutum;no;negative;;
1160784;Candidatus;Candidatus Nasuia ;deltocephalinicola;Candidatus Nasuia deltocephalinicola;no;;;host
89586;Candidatus;Candidatus Neoehrlichia ;mikurensis;Candidatus Neoehrlichia mikurensis;no;;;
1510466;Candidatus;Candidatus Nitrosopumilus ;koreensis;Candidatus Nitrosopumilus koreensis;no;;;
1229909;Candidatus;Candidatus Nitrosopumilus ;sp. AR2;Candidatus Nitrosopumilus sp. AR2;no;;;
497727;Candidatus;Candidatus Nitrososphaera ;gargensis;Candidatus Nitrososphaera gargensis;no;;;freeLiving
330214;Candidatus;Candidatus Nitrospira ;defluvii;Candidatus Nitrospira defluvii;no;negative;;freeLiving
84647;Candidatus;Candidatus Odyssella ;thessalonicensis;Candidatus Odyssella thessalonicensis;no;negative;;
439493;Candidatus;Candidatus Pelagibacter ;sp. HTCC7211;Candidatus Pelagibacter sp. HTCC7211;no;negative;;
1002672;Candidatus;Candidatus Pelagibacter ;sp. IMCC9063;Candidatus Pelagibacter sp. IMCC9063;no;negative;;
198252;Candidatus;Candidatus Pelagibacter ;ubique;Candidatus Pelagibacter ubique;no;negative;;freeLiving
28176;Candidatus;Candidatus Photodesmus ;katoptron;Candidatus Photodesmus katoptron;no;negative;;
59748;Candidatus;Candidatus Phytoplasma ;australiense;Candidatus Phytoplasma australiense;no;;;host|single
37692;Candidatus;Candidatus Phytoplasma ;mali;Candidatus Phytoplasma mali;no;;;host
69896;Candidatus;Candidatus Phytoplasma ;solani;Candidatus Phytoplasma solani;no;;;
91844;Candidatus;Candidatus Portiera ;aleyrodidarum;Candidatus Portiera aleyrodidarum;no;negative;;
669502;Candidatus;Candidatus Profftella ;armatura;Candidatus Profftella armatura;no;negative;;host
362787;Candidatus;Candidatus Protochlamydia ;amoebophila;Candidatus Protochlamydia amoebophila;no;negative;;host
767892;Candidatus;Candidatus Puniceispirillum ;marinum;Candidatus Puniceispirillum marinum;no;negative;;freeLiving
33989;Candidatus;Candidatus Rickettsia ;amblyommii;Candidatus Rickettsia amblyommii;no;negative;;host|blood
401619;Candidatus;Candidatus Riesia ;pediculicola;Candidatus Riesia pediculicola;no;negative;;host
386487;Candidatus;Candidatus Ruthia ;magnifica;Candidatus Ruthia magnifica;no;negative;;single
1332188;Candidatus;Candidatus Saccharimonas ;aalborgensis;Candidatus Saccharimonas aalborgensis;no;;;
1505866;Candidatus;Candidatus Schmidhempelia ;bombi;Candidatus Schmidhempelia bombi;no;negative;;
332163;Candidatus;Candidatus Solibacter ;usitatus;Candidatus Solibacter usitatus;no;negative;d-xylose;freeLiving
336810;Candidatus;Candidatus Sulcia ;muelleri;Candidatus Sulcia muelleri;no;negative;;host
1249480;Candidatus;Candidatus Sulfuricurvum ;sp. RIFRC-1;Candidatus Sulfuricurvum sp. RIFRC-1;no;negative;;
1436290;Candidatus;Candidatus Symbiobacter ;mobilis;Candidatus Symbiobacter mobilis;no;;;
1010676;Candidatus;Candidatus Tremblaya ;phenacola;Candidatus Tremblaya phenacola;no;;;
189385;Candidatus;Candidatus Tremblaya ;princeps;Candidatus Tremblaya princeps;no;;;host
670956;Candidatus;Candidatus Uzinura ;diaspidicola;Candidatus Uzinura diaspidicola;no;negative;;host
884215;Candidatus;Candidatus Zinderia ;insecticola;Candidatus Zinderia insecticola;no;;;host
28188;Capnocytophaga;Capnocytophaga canimorsus;;Capnocytophaga canimorsus;no;negative;;host
1017;Capnocytophaga;Capnocytophaga gingivalis;;Capnocytophaga gingivalis;no;negative;;
1018;Capnocytophaga;Capnocytophaga ochracea;;Capnocytophaga ochracea;no;negative;;host|oral|humanOralCavity
712215;Capnocytophaga;Capnocytophaga sp. ;oral taxon 335;Capnocytophaga sp. oral taxon 335;no;negative;;host|oral|humanOralCavity
712216;Capnocytophaga;Capnocytophaga sp. ;oral taxon 336;Capnocytophaga sp. oral taxon 336;no;negative;dextrin;host|humanOralCavity
710239;Capnocytophaga;Capnocytophaga sp. ;oral taxon 338;Capnocytophaga sp. oral taxon 338;no;negative;dextrin;
712218;Capnocytophaga;Capnocytophaga sp. ;oral taxon 412;Capnocytophaga sp. oral taxon 412;no;negative;;host|oral|humanOralCavity
1019;Capnocytophaga;Capnocytophaga sputigena;;Capnocytophaga sputigena;no;negative;;host|oral
129958;Carboxydothermus;Carboxydothermus hydrogenoformans;;Carboxydothermus hydrogenoformans;no;;arbutin|gelatinHydrolysis;freeLiving
249402;Cardinium;Cardinium endosymbiont ;of Encarsia pergandiella;Cardinium endosymbiont of Encarsia pergandiella;no;negative;;
2751;Carnobacterium;Carnobacterium maltaromaticum;;Carnobacterium maltaromaticum;no;positive;arbutin|esteraseC4|dextrin|salicin;
208596;Carnobacterium;Carnobacterium sp. ;17.apr;Carnobacterium sp. 17-4;no;positive;esteraseC4|dextrin|glucose;
333990;Carnobacterium;Carnobacterium sp. ;AT7;Carnobacterium sp. AT7;no;positive;arbutin|fructose|dextrin;
1266845;Carnobacterium;Carnobacterium sp. ;WN1359;Carnobacterium sp. WN1359;no;;;
304895;Catenulispora;Catenulispora acidiphila;;Catenulispora acidiphila;no;positive;d-malicAcid|l-arabinose;freeLiving
88688;Caulobacter;Caulobacter segnis;;Caulobacter segnis;no;negative;alkalinePhosphatase|β-glucosidase;freeLiving
366602;Caulobacter;Caulobacter sp. ;K31;Caulobacter sp. K31;no;negative;alkalinePhosphatase|β-glucosidase|β-galactosidase;freeLiving
1298862;Caulobacter;Caulobacter sp. ;URHA0033;Caulobacter sp. URHA0033;no;negative;;
155892;Caulobacter;Caulobacter vibrioides;;Caulobacter vibrioides;no;negative;alkalinePhosphatase|β-glucosidase;freeLiving
158484;Cedecea;Cedecea davisae;;Cedecea davisae;no;negative;esteraseLipaseC8|mannitol|trehalose|aspartate|glucose;
875171;Celeribacter;Celeribacter baekdonensis;;Celeribacter baekdonensis;no;negative;alkalinePhosphatase;
1708;Cellulomonas;Cellulomonas fimi;;Cellulomonas fimi;no;positive;cellobiose|β-glucosidase|catalase|l-arabinose|salicin|β-galactosidase;freeLiving
1711;Cellulomonas;Cellulomonas flavigena;;Cellulomonas flavigena;no;;;freeLiving
1302620;Cellulomonas;Cellulomonas sp. ;URHD0024;Cellulomonas sp. URHD0024;no;positive;l-arabinose;
59600;Cellulophaga;Cellulophaga algicola;;Cellulophaga algicola;no;negative;alkalinePhosphatase|esteraseLipaseC8|dextrin;freeLiving
76594;Cellulophaga;Cellulophaga baltica;;Cellulophaga baltica;no;negative;dextrin;
979;Cellulophaga;Cellulophaga lytica;;Cellulophaga lytica;no;negative;alkalinePhosphatase|esteraseLipaseC8;freeLiving
29360;Cellulosilyticum;Cellulosilyticum lentocellum;;Cellulosilyticum lentocellum;no;;;freeLiving
155077;Cellvibrio;Cellvibrio japonicus;;Cellvibrio japonicus;no;negative;glutamate;
1134474;Cellvibrio;Cellvibrio sp. ;BR;Cellvibrio sp. BR;no;negative;;
46770;Cenarchaeum;Cenarchaeum symbiosum;;Cenarchaeum symbiosum;no;;;freeLiving
1173032;Chamaesiphon;Chamaesiphon minutus;;Chamaesiphon minutus;no;negative;;
266779;Chelativorans;Chelativorans sp. ;BNC1;Chelativorans sp. BNC1;no;negative;turanose;freeLiving
356302;Chitinimonas;Chitinimonas koreensis;;Chitinimonas koreensis;no;negative;;
79329;Chitinophaga;Chitinophaga pinensis;;Chitinophaga pinensis;no;negative;melibiose|turanose|n-acetyl-β-glucosaminidase;
1457153;Chlamydia;Chlamydia gallinacea;;Chlamydia gallinacea;no;negative;;host
1405396;Chlamydia;Chlamydia ibidis;;Chlamydia ibidis;no;negative;;host
83560;Chlamydia;Chlamydia muridarum;;Chlamydia muridarum;no;negative;;host
85991;Chlamydia;Chlamydia pecorum;;Chlamydia pecorum;no;negative;;host|single
83558;Chlamydia;Chlamydia pneumoniae;;Chlamydia pneumoniae;no;negative;glycerol;host
83554;Chlamydia;Chlamydia psittaci;;Chlamydia psittaci;no;negative;;host|single
813;Chlamydia;Chlamydia trachomatis;;Chlamydia trachomatis;no;negative;;host
83555;Chlamydophila;Chlamydophila abortus;;Chlamydophila abortus;no;negative;;host
83557;Chlamydophila;Chlamydophila caviae;;Chlamydophila caviae;no;negative;;host|mammals|single
83556;Chlamydophila;Chlamydophila felis;;Chlamydophila felis;no;negative;;host|single
274539;Chlorobaculum;Chlorobaculum parvum;;Chlorobaculum parvum;no;negative;;freeLiving
1097;Chlorobaculum;Chlorobaculum tepidum;;Chlorobaculum tepidum;no;negative;;freeLiving
337090;Chlorobium;Chlorobium chlorochromatii;;Chlorobium chlorochromatii;no;negative;;freeLiving
84205;Chlorobium;Chlorobium ferrooxidans;;Chlorobium ferrooxidans;no;negative;;freeLiving
1092;Chlorobium;Chlorobium limicola;;Chlorobium limicola;no;negative;;freeLiving
1096;Chlorobium;Chlorobium phaeobacteroides;;Chlorobium phaeobacteroides;no;negative;;freeLiving
1094;Chlorobium;Chlorobium phaeovibrioides;;Chlorobium phaeovibrioides;no;negative;;freeLiving
152260;Chloroflexus;Chloroflexus aggregans;;Chloroflexus aggregans;no;negative;;freeLiving
1108;Chloroflexus;Chloroflexus aurantiacus;;Chloroflexus aurantiacus;no;negative;;freeLiving
480224;Chloroflexus;Chloroflexus sp. ;Y-400-fl;Chloroflexus sp. Y-400-fl;no;negative;;freeLiving
100716;Chloroherpeton;Chloroherpeton thalassium;;Chloroherpeton thalassium;no;negative;;freeLiving
51;Chondromyces;Chondromyces apiculatus;;Chondromyces apiculatus;no;negative;;freeLiving
536;Chromobacterium;Chromobacterium violaceum;;Chromobacterium violaceum;no;negative;α-ketoglutaricAcid|alanine;host
158080;Chromohalobacter;Chromohalobacter salexigens;;Chromohalobacter salexigens;no;negative;d-xylose|esteraseLipaseC8|alanine;freeLiving
54299;Chroococcidiopsis;Chroococcidiopsis thermalis;;Chroococcidiopsis thermalis;no;negative;;freeLiving
365343;Chryseobacterium;Chryseobacterium caeni;;Chryseobacterium caeni;no;negative;dextrin|salicin;
412438;Chryseobacterium;Chryseobacterium daeguense;;Chryseobacterium daeguense;no;negative;dextrin|salicin|valineArylamidase;
250;Chryseobacterium;Chryseobacterium gleum;;Chryseobacterium gleum;no;negative;valineArylamidase;
345663;Chryseobacterium;Chryseobacterium greenlandense;;Chryseobacterium greenlandense;no;;;
456299;Chryseobacterium;Chryseobacterium gregarium;;Chryseobacterium gregarium;no;negative;dextrin;
253;Chryseobacterium;Chryseobacterium indologenes;;Chryseobacterium indologenes;no;;;host
493376;Chryseobacterium;Chryseobacterium palustre;;Chryseobacterium palustre;no;negative;dextrin;
1144316;Chryseobacterium;Chryseobacterium sp. ;CF314;Chryseobacterium sp. CF314;no;negative;melibiose|dextrin|salicin|valineArylamidase;
309797;Chrysiogenes;Chrysiogenes arsenatis;;Chrysiogenes arsenatis;no;negative;;
191863;Chthoniobacter;Chthoniobacter flavus;;Chthoniobacter flavus;no;negative;;
454171;Chthonomonas;Chthonomonas calidirosea;;Chthonomonas calidirosea;no;negative;;
863575;Citricoccus;Citricoccus nitrophenolicus;;Citricoccus nitrophenolicus;no;;;
1045009;Citricoccus;Citricoccus sp. ;CH26A;Citricoccus sp. CH26A;no;positive;;
546;Citrobacter;Citrobacter freundii;;Citrobacter freundii;no;negative;mannitol|trehalose|aspartate;host|fecal
545;Citrobacter;Citrobacter koseri;;Citrobacter koseri;no;negative;esteraseLipaseC8|glutamate|mannitol|trehalose|gluconate|β-galactosidase|aspartate|glucose;host|fecal
67825;Citrobacter;Citrobacter rodentium;;Citrobacter rodentium;no;negative;esteraseLipaseC8|mannitol|sucrose|trehalose|aspartate|glucose;host|fecal
469595;Citrobacter;Citrobacter sp. ;30_2;Citrobacter sp. 30_2;no;negative;mannitol|trehalose|aspartate;
1173691;Citrobacter;Citrobacter sp. ;A1;Citrobacter sp. A1;no;negative;mannitol|trehalose|aspartate;fecal
1169322;Citrobacter;Citrobacter sp. ;KTE151;Citrobacter sp. KTE151;no;negative;esteraseLipaseC8|mannitol|trehalose;fecal
1169319;Citrobacter;Citrobacter sp. ;KTE30;Citrobacter sp. KTE30;no;negative;esteraseLipaseC8|mannitol|trehalose|aspartate;fecal
1169350;Citrobacter;Citrobacter sp. ;KTE32;Citrobacter sp. KTE32;no;negative;mannitol|trehalose;fecal
133448;Citrobacter;Citrobacter youngae;;Citrobacter youngae;no;negative;mannitol|trehalose|aspartate;fecal
72174;Citromicrobium;Citromicrobium bathyomarinum;;Citromicrobium bathyomarinum;no;negative;;
517722;Citromicrobium;Citromicrobium sp. ;JLT1363;Citromicrobium sp. JLT1363;no;negative;;
28447;Clavibacter;Clavibacter michiganensis;;Clavibacter michiganensis;no;positive;glycerol|l-arabinose;host
1232449;Clostridiales;Clostridiales bacterium ;VE202-08;Clostridiales bacterium VE202-08;no;;;fecal
1232452;Clostridiales;Clostridiales bacterium ;VE202-14;Clostridiales bacterium VE202-14;no;;;host|digestiveSystem|fecal
699245;Clostridiales;Clostridiales genomosp. ;BVAB3;Clostridiales genomosp. BVAB3;no;;;host
1488;Clostridium;Clostridium acetobutylicum;;Clostridium acetobutylicum;no;positive;fructose;freeLiving
1520;Clostridium;Clostridium beijerinckii;;Clostridium beijerinckii;no;;;freeLiving
1491;Clostridium;Clostridium botulinum;;Clostridium botulinum;no;positive;;host
1492;Clostridium;Clostridium butyricum;;Clostridium butyricum;no;;;
217159;Clostridium;Clostridium carboxidivorans;;Clostridium carboxidivorans;no;;;
1493;Clostridium;Clostridium cellulovorans;;Clostridium cellulovorans;no;;;freeLiving
179628;Clostridium;Clostridium colicanis;;Clostridium colicanis;no;;;
1534;Clostridium;Clostridium kluyveri;;Clostridium kluyveri;no;;;freeLiving
1538;Clostridium;Clostridium ljungdahlii;;Clostridium ljungdahlii;no;;;freeLiving
33954;Clostridium;Clostridium magnum;;Clostridium magnum;no;;;
1542;Clostridium;Clostridium novyi;;Clostridium novyi;no;;;host
1501;Clostridium;Clostridium pasteurianum;;Clostridium pasteurianum;no;;;
1502;Clostridium;Clostridium perfringens;;Clostridium perfringens;no;;arbutin;host
169679;Clostridium;Clostridium saccharobutylicum;;Clostridium saccharobutylicum;no;positive;;
36745;Clostridium;Clostridium saccharoperbutylacetonicum;;Clostridium saccharoperbutylacetonicum;no;;;
1504;Clostridium;Clostridium septicum;;Clostridium septicum;no;;;host
457396;Clostridium;Clostridium sp. ;7_2_43FAA;Clostridium sp. 7_2_43FAA;no;;;
665940;Clostridium;Clostridium sp. ;7_3_54FAA;Clostridium sp. 7_3_54FAA;no;;;digestiveSystem|fecal
97138;Clostridium;Clostridium sp. ;ASF356;Clostridium sp. ASF356;no;;;
97139;Clostridium;Clostridium sp. ;ASF502;Clostridium sp. ASF502;no;;;fecal
755731;Clostridium;Clostridium sp. ;BNL1100;Clostridium sp. BNL1100;no;;;
641107;Clostridium;Clostridium sp. ;DL-VIII;Clostridium sp. DL-VIII;no;;β-glucosidase;
908340;Clostridium;Clostridium sp. ;HGF2;Clostridium sp. HGF2;no;;;host|digestiveSystem|fecal
411489;Clostridium;Clostridium sp. ;L2-50;Clostridium sp. L2-50;no;;;host|fecal
411486;Clostridium;Clostridium sp. ;M62/1;Clostridium sp. M62/1;no;;;host|digestiveSystem|fecal
1196322;Clostridium;Clostridium sp. ;Maddingley MBC34-26;Clostridium sp. Maddingley MBC34-26;no;;;
1042156;Clostridium;Clostridium sp. ;SY8519;Clostridium sp. SY8519;no;;;
1509;Clostridium;Clostridium sporogenes;;Clostridium sporogenes;no;;;
1513;Clostridium;Clostridium tetani;;Clostridium tetani;no;;;host
64178;Coleofasciculus;Coleofasciculus chthonoplastes;;Coleofasciculus chthonoplastes;no;negative;;freeLiving
158899;Collimonas;Collimonas fungivorans;;Collimonas fungivorans;no;negative;glutamate|α-ketoglutaricAcid;freeLiving
74426;Collinsella;Collinsella aerofaciens;;Collinsella aerofaciens;no;;;host
147207;Collinsella;Collinsella intestinalis;;Collinsella intestinalis;no;;;
626935;Collinsella;Collinsella tanakaei;;Collinsella tanakaei;no;;;fecal
28229;Colwellia;Colwellia psychrerythraea;;Colwellia psychrerythraea;no;negative;alkalinePhosphatase|esteraseLipaseC8;freeLiving
1298913;Comamonadaceae;Comamonadaceae bacterium ;URHA0028;Comamonadaceae bacterium URHA0028;no;negative;;
265291;Comamonas;Comamonas badia;;Comamonas badia;no;negative;;
285;Comamonas;Comamonas testosteroni;;Comamonas testosteroni;no;negative;esteraseLipaseC8|glutamate|α-ketoglutaricAcid|alanine|aspartate;
479936;Commensalibacter;Commensalibacter intestini;;Commensalibacter intestini;no;negative;;
191495;Conexibacter;Conexibacter woesei;;Conexibacter woesei;no;;;freeLiving
393662;Congregibacter;Congregibacter litoralis;;Congregibacter litoralis;no;negative;;
469596;Coprobacillus;Coprobacillus sp. ;29_1;Coprobacillus sp. 29_1;no;;;host|digestiveSystem|fecal
665941;Coprobacillus;Coprobacillus sp. ;3_3_56FAA;Coprobacillus sp. 3_3_56FAA;no;;;host|digestiveSystem|fecal
469597;Coprobacillus;Coprobacillus sp. ;8_2_54BFAA;Coprobacillus sp. 8_2_54BFAA;no;;;host
556270;Coprobacillus;Coprobacillus sp. ;D7;Coprobacillus sp. D7;no;;;host|digestiveSystem|fecal
1099853;Coprobacter;Coprobacter fastidiosus;;Coprobacter fastidiosus;no;negative;;host
410072;Coprococcus;Coprococcus comes;;Coprococcus comes;no;;;host|fecal
33043;Coprococcus;Coprococcus eutactus;;Coprococcus eutactus;no;;;host|digestiveSystem
1078091;Coprococcus;Coprococcus sp. ;HPP0048;Coprococcus sp. HPP0048;no;;;host|digestiveSystem|fecal
35786;Coprothermobacter;Coprothermobacter proteolyticus;;Coprothermobacter proteolyticus;no;;;freeLiving
395922;Coraliomargarita;Coraliomargarita akajimensis;;Coraliomargarita akajimensis;no;negative;;freeLiving
184914;Corallococcus;Corallococcus coralloides;;Corallococcus coralloides;no;negative;;freeLiving
1111135;Coriobacteriaceae;Coriobacteriaceae bacterium ;BV3Ac1;Coriobacteriaceae bacterium BV3Ac1;no;;;host
33871;Coriobacterium;Coriobacterium glomerans;;Coriobacterium glomerans;no;;;host
38284;Corynebacterium;Corynebacterium accolens;;Corynebacterium accolens;no;positive;;
42817;Corynebacterium;Corynebacterium argentoratense;;Corynebacterium argentoratense;no;positive;;
169292;Corynebacterium;Corynebacterium aurimucosum;;Corynebacterium aurimucosum;no;positive;fructose|dextrin;
1721;Corynebacterium;Corynebacterium callunae;;Corynebacterium callunae;no;positive;dextrin;
160386;Corynebacterium;Corynebacterium casei;;Corynebacterium casei;no;positive;;
168810;Corynebacterium;Corynebacterium crenatum;;Corynebacterium crenatum;no;positive;quinicAcid|dextrin|propionate;
1717;Corynebacterium;Corynebacterium diphtheriae;;Corynebacterium diphtheriae;no;positive;esteraseLipaseC8|dextrin;host
152794;Corynebacterium;Corynebacterium efficiens;;Corynebacterium efficiens;no;positive;dextrin;
38288;Corynebacterium;Corynebacterium genitalium;;Corynebacterium genitalium;no;positive;dextrin;
39791;Corynebacterium;Corynebacterium glucuronolyticum;;Corynebacterium glucuronolyticum;no;positive;;
1718;Corynebacterium;Corynebacterium glutamicum;;Corynebacterium glutamicum;no;positive;acetate;
225326;Corynebacterium;Corynebacterium halotolerans;;Corynebacterium halotolerans;no;positive;dextrin|glucose;
38289;Corynebacterium;Corynebacterium jeikeium;;Corynebacterium jeikeium;no;positive;fructose;host
161879;Corynebacterium;Corynebacterium kroppenstedtii;;Corynebacterium kroppenstedtii;no;positive;;
575200;Corynebacterium;Corynebacterium maris;;Corynebacterium maris;no;positive;dextrin;
43768;Corynebacterium;Corynebacterium matruchotii;;Corynebacterium matruchotii;no;positive;;
37637;Corynebacterium;Corynebacterium pseudodiphtheriticum;;Corynebacterium pseudodiphtheriticum;no;positive;;
38303;Corynebacterium;Corynebacterium pseudogenitalium;;Corynebacterium pseudogenitalium;no;positive;;host
1719;Corynebacterium;Corynebacterium pseudotuberculosis;;Corynebacterium pseudotuberculosis;no;positive;dextrin;host
598660;Corynebacterium;Corynebacterium pyruviciproducens;;Corynebacterium pyruviciproducens;no;positive;;
1724;Corynebacterium;Corynebacterium renale;;Corynebacterium renale;no;;;host
258224;Corynebacterium;Corynebacterium resistens;;Corynebacterium resistens;no;positive;;
1078764;Corynebacterium;Corynebacterium sp. ;HFH0082;Corynebacterium sp. HFH0082;no;positive;;
89154;Corynebacterium;Corynebacterium terpenotabidum;;Corynebacterium terpenotabidum;no;positive;;
38304;Corynebacterium;Corynebacterium tuberculostearicum;;Corynebacterium tuberculostearicum;no;positive;dextrin;host
65058;Corynebacterium;Corynebacterium ulcerans;;Corynebacterium ulcerans;no;positive;quinicAcid|dextrin|glucose;host|nasopharyngeal
43771;Corynebacterium;Corynebacterium urealyticum;;Corynebacterium urealyticum;no;positive;;host
1727;Corynebacterium;Corynebacterium variabile;;Corynebacterium variabile;no;positive;;
777;Coxiella;Coxiella burnetii;;Coxiella burnetii;no;negative;;host
241425;Crinalium;Crinalium epipsammum;;Crinalium epipsammum;no;negative;;freeLiving
313588;Croceibacter;Croceibacter atlanticus;;Croceibacter atlanticus;no;negative;esteraseLipaseC8;freeLiving
263511;Crocosphaera;Crocosphaera watsonii;;Crocosphaera watsonii;no;negative;;freeLiving
357240;Cronobacter;Cronobacter helveticus;;Cronobacter helveticus;no;negative;esteraseLipaseC8|mannitol|trehalose|aspartate;
28141;Cronobacter;Cronobacter sakazakii;;Cronobacter sakazakii;no;negative;esteraseLipaseC8|gluconate|aspartate|glucose;host|fecal
413502;Cronobacter;Cronobacter turicensis;;Cronobacter turicensis;no;negative;esteraseLipaseC8|lactose|mannitol|trehalose|gluconate|acetate|β-galactosidase|aspartate|glucose;host
1169145;Cryocola;Cryocola sp. ;340MFSha3.1;Cryocola sp. 340MFSha3.1;no;;;
84163;Cryptobacterium;Cryptobacterium curtum;;Cryptobacterium curtum;no;;;host
1121252;Cucumibacter;Cucumibacter marinus;;Cucumibacter marinus;no;negative;;
119219;Cupriavidus;Cupriavidus metallidurans;;Cupriavidus metallidurans;no;negative;d-galacturonate|d-malicAcid|glutamate|α-ketoglutaricAcid|alanine|propionate|aspartate|l-pyroglutamicAcid|mucicAcid;freeLiving
