patric_taxID;patric_genus;patric_species;patric_strain;patric_speciesStrain;patric_gram;patric_oxygen
644651;Erwinia;Erwinia pyrifoliae;DSM 12163;Erwinia pyrifoliae DSM 12163;negative;facultative
634499;Erwinia;Erwinia pyrifoliae;Ep1/96;Erwinia pyrifoliae Ep1/96;negative;facultative
465817;Erwinia;Erwinia tasmaniensis;Et1/99;Erwinia tasmaniensis Et1/99;negative;facultative
525280;Erwinia;Erysipelothrix rhusiopathiae;ATCC 19414;Erysipelothrix rhusiopathiae ATCC 19414;positive;aerobic
1121874;Erysipelothrix;Erysipelothrix tonsillarum;DSM 14972;Erysipelothrix tonsillarum DSM 14972;positive;
658659;Erysipelothrix;Erysipelotrichaceae bacterium;3_1_53;Erysipelotrichaceae bacterium 3_1_53;positive;
552396;Erysipelotrichaceae;Erysipelotrichaceae bacterium;5_2_54FAA;Erysipelotrichaceae bacterium 5_2_54FAA;positive;
314225;Erysipelotrichaceae;Erythrobacter litoralis;HTCC2594;Erythrobacter litoralis HTCC2594;negative;aerobic
237727;Erythrobacter;Erythrobacter sp.;NAP1;Erythrobacter sp. NAP1;negative;aerobic
161528;Erythrobacter;Erythrobacter sp.;SD-21;Erythrobacter sp. SD-21;negative;aerobic
1440052;Erythrobacter;Escherichia albertii;KF1;Escherichia albertii KF1;negative;
502347;Escherichia;Escherichia albertii;TW07627;Escherichia albertii TW07627;negative;facultative
630626;Escherichia;Escherichia blattae;DSM 4481;Escherichia blattae DSM 4481;negative;aerobic
216592;Escherichia;Escherichia coli;042;Escherichia coli 042;negative;facultative
1081888;Escherichia;Escherichia coli;08BKT055439;Escherichia coli 08BKT055439;negative;
1081895;Escherichia;Escherichia coli;08BKT77219;Escherichia coli 08BKT77219;negative;
1081894;Escherichia;Escherichia coli;09BKT024447;Escherichia coli 09BKT024447;negative;
1081889;Escherichia;Escherichia coli;09BKT076207;Escherichia coli 09BKT076207;negative;
358709;Escherichia;Escherichia coli;101-1;Escherichia coli 101-1;negative;facultative
1333587;Escherichia;Escherichia coli;112469215-isolate1;Escherichia coli 112469215-isolate1;negative;
1333588;Escherichia;Escherichia coli;112469218-isolate1;Escherichia coli 112469218-isolate1;negative;
670904;Escherichia;Escherichia coli;1180;Escherichia coli 1180;negative;facultative
1207035;Escherichia;Escherichia coli;14A;Escherichia coli 14A;negative;
1125634;Escherichia;Escherichia coli;174750;Escherichia coli 174750;negative;facultative
670888;Escherichia;Escherichia coli;1827-70;Escherichia coli 1827-70;negative;facultative
1116130;Escherichia;Escherichia coli;199900.1;Escherichia coli 199900.1;negative;facultative
1116129;Escherichia;Escherichia coli;201600.1;Escherichia coli 201600.1;negative;facultative
670897;Escherichia;Escherichia coli;2362-75;Escherichia coli 2362-75;negative;facultative
1116119;Escherichia;Escherichia coli;2719100;Escherichia coli 2719100;negative;facultative
1116120;Escherichia;Escherichia coli;2720900;Escherichia coli 2720900;negative;facultative
1116121;Escherichia;Escherichia coli;2722950;Escherichia coli 2722950;negative;facultative
1116122;Escherichia;Escherichia coli;2726800;Escherichia coli 2726800;negative;facultative
1116123;Escherichia;Escherichia coli;2726950;Escherichia coli 2726950;negative;facultative
1116004;Escherichia;Escherichia coli;2729250;Escherichia coli 2729250;negative;facultative
1116005;Escherichia;Escherichia coli;2730350;Escherichia coli 2730350;negative;facultative
1116006;Escherichia;Escherichia coli;2730450;Escherichia coli 2730450;negative;facultative
1116007;Escherichia;Escherichia coli;2731150;Escherichia coli 2731150;negative;facultative
1125635;Escherichia;Escherichia coli;2733950;Escherichia coli 2733950;negative;facultative
1116008;Escherichia;Escherichia coli;2735000;Escherichia coli 2735000;negative;facultative
1116009;Escherichia;Escherichia coli;2741950;Escherichia coli 2741950;negative;facultative
1116010;Escherichia;Escherichia coli;2747800;Escherichia coli 2747800;negative;facultative
1116011;Escherichia;Escherichia coli;2749250;Escherichia coli 2749250;negative;facultative
1116012;Escherichia;Escherichia coli;2756500;Escherichia coli 2756500;negative;facultative
1116013;Escherichia;Escherichia coli;2762100;Escherichia coli 2762100;negative;facultative
1116014;Escherichia;Escherichia coli;2770900;Escherichia coli 2770900;negative;facultative
1116015;Escherichia;Escherichia coli;2780750;Escherichia coli 2780750;negative;facultative
1116016;Escherichia;Escherichia coli;2785200;Escherichia coli 2785200;negative;facultative
1116017;Escherichia;Escherichia coli;2788150;Escherichia coli 2788150;negative;facultative
1116124;Escherichia;Escherichia coli;2845350;Escherichia coli 2845350;negative;facultative
1116125;Escherichia;Escherichia coli;2845650;Escherichia coli 2845650;negative;facultative
1116126;Escherichia;Escherichia coli;2846750;Escherichia coli 2846750;negative;facultative
1116127;Escherichia;Escherichia coli;2848050;Escherichia coli 2848050;negative;facultative
1116018;Escherichia;Escherichia coli;2850400;Escherichia coli 2850400;negative;facultative
1116019;Escherichia;Escherichia coli;2850750;Escherichia coli 2850750;negative;facultative
1116128;Escherichia;Escherichia coli;2851500;Escherichia coli 2851500;negative;facultative
1116020;Escherichia;Escherichia coli;2853500;Escherichia coli 2853500;negative;facultative
1125636;Escherichia;Escherichia coli;2854350;Escherichia coli 2854350;negative;facultative
1116021;Escherichia;Escherichia coli;2860050;Escherichia coli 2860050;negative;facultative
1116022;Escherichia;Escherichia coli;2860650;Escherichia coli 2860650;negative;facultative
1116023;Escherichia;Escherichia coli;2861200;Escherichia coli 2861200;negative;facultative
1116024;Escherichia;Escherichia coli;2862600;Escherichia coli 2862600;negative;facultative
1116025;Escherichia;Escherichia coli;2864350;Escherichia coli 2864350;negative;facultative
1116026;Escherichia;Escherichia coli;2865200;Escherichia coli 2865200;negative;facultative
1116027;Escherichia;Escherichia coli;2866350;Escherichia coli 2866350;negative;facultative
1116028;Escherichia;Escherichia coli;2866450;Escherichia coli 2866450;negative;facultative
1116029;Escherichia;Escherichia coli;2866550;Escherichia coli 2866550;negative;facultative
1116030;Escherichia;Escherichia coli;2866750;Escherichia coli 2866750;negative;facultative
1116031;Escherichia;Escherichia coli;2867750;Escherichia coli 2867750;negative;facultative
1116032;Escherichia;Escherichia coli;2871950;Escherichia coli 2871950;negative;facultative
1116033;Escherichia;Escherichia coli;2872000;Escherichia coli 2872000;negative;facultative
1116034;Escherichia;Escherichia coli;2872800;Escherichia coli 2872800;negative;facultative
1116035;Escherichia;Escherichia coli;2875000;Escherichia coli 2875000;negative;facultative
1116036;Escherichia;Escherichia coli;2875150;Escherichia coli 2875150;negative;facultative
1207038;Escherichia;Escherichia coli;2886-75;Escherichia coli 2886-75;negative;
670892;Escherichia;Escherichia coli;3431;Escherichia coli 3431;negative;facultative
362663;Escherichia;Escherichia coli;536;Escherichia coli 536;negative;facultative
344610;Escherichia;Escherichia coli;53638;Escherichia coli 53638;negative;facultative
752786;Escherichia;Escherichia coli;541-1;Escherichia coli 541-1;negative;facultative
752785;Escherichia;Escherichia coli;541-15;Escherichia coli 541-15;negative;facultative
585055;Escherichia;Escherichia coli;55989;Escherichia coli 55989;negative;facultative
752787;Escherichia;Escherichia coli;576-1;Escherichia coli 576-1;negative;facultative
752788;Escherichia;Escherichia coli;75;Escherichia coli 75;negative;facultative
525281;Escherichia;Escherichia coli;83972;Escherichia coli 83972;negative;facultative
1333589;Escherichia;Escherichia coli;AB42410445-isolate1;Escherichia coli AB42410445-isolate1;negative;
1333590;Escherichia;Escherichia coli;AB42554418-isolate1;Escherichia coli AB42554418-isolate1;negative;
1333591;Escherichia;Escherichia coli;AB42602061-isolate1;Escherichia coli AB42602061-isolate1;negative;
1333592;Escherichia;Escherichia coli;AB43739056-isolate1;Escherichia coli AB43739056-isolate1;negative;
655817;Escherichia;Escherichia coli;ABU 83972;Escherichia coli ABU 83972;negative;facultative
1169664;Escherichia;Escherichia coli;AD30;Escherichia coli AD30;negative;
405955;Escherichia;Escherichia coli;APEC O1;Escherichia coli APEC O1;negative;facultative
1389955;Escherichia;Escherichia coli;ATCC 35150;Escherichia coli ATCC 35150;negative;
481805;Escherichia;Escherichia coli;ATCC 8739;Escherichia coli ATCC 8739;negative;facultative
1404261;Escherichia;Escherichia coli;ATCC BAA-2192;Escherichia coli ATCC BAA-2192;negative;
1404262;Escherichia;Escherichia coli;ATCC BAA-2193;Escherichia coli ATCC BAA-2193;negative;
1405292;Escherichia;Escherichia coli;ATCC BAA-2196;Escherichia coli ATCC BAA-2196;negative;
1405293;Escherichia;Escherichia coli;ATCC BAA-2209;Escherichia coli ATCC BAA-2209;negative;
1405294;Escherichia;Escherichia coli;ATCC BAA-2215;Escherichia coli ATCC BAA-2215;negative;
1405295;Escherichia;Escherichia coli;ATCC BAA-2219;Escherichia coli ATCC BAA-2219;negative;
413997;Escherichia;Escherichia coli;B REL606;Escherichia coli B str. REL606;negative;facultative
550672;Escherichia;Escherichia coli;B088;Escherichia coli B088;negative;facultative
1151213;Escherichia;Escherichia coli;B102;Escherichia coli B102;negative;
1151234;Escherichia;Escherichia coli;B103;Escherichia coli B103;negative;
1151243;Escherichia;Escherichia coli;B104;Escherichia coli B104;negative;
1151247;Escherichia;Escherichia coli;B105;Escherichia coli B105;negative;
1151248;Escherichia;Escherichia coli;B106;Escherichia coli B106;negative;
1151214;Escherichia;Escherichia coli;B107;Escherichia coli B107;negative;
550673;Escherichia;Escherichia coli;B108;Escherichia coli B108;negative;
1151244;Escherichia;Escherichia coli;B109;Escherichia coli B109;negative;
1151249;Escherichia;Escherichia coli;B112;Escherichia coli B112;negative;
1151250;Escherichia;Escherichia coli;B113;Escherichia coli B113;negative;
1151251;Escherichia;Escherichia coli;B114;Escherichia coli B114;negative;
1151237;Escherichia;Escherichia coli;B15;Escherichia coli B15;negative;
1151238;Escherichia;Escherichia coli;B17;Escherichia coli B17;negative;
550676;Escherichia;Escherichia coli;B185;Escherichia coli B185;negative;facultative
1151225;Escherichia;Escherichia coli;B26-1;Escherichia coli B26-1;negative;
1151226;Escherichia;Escherichia coli;B26-2;Escherichia coli B26-2;negative;
1151217;Escherichia;Escherichia coli;B28-1;Escherichia coli B28-1;negative;
1151219;Escherichia;Escherichia coli;B29-1;Escherichia coli B29-1;negative;
1151220;Escherichia;Escherichia coli;B29-2;Escherichia coli B29-2;negative;
550677;Escherichia;Escherichia coli;B354;Escherichia coli B354;negative;facultative
1151221;Escherichia;Escherichia coli;B36-1;Escherichia coli B36-1;negative;
1151222;Escherichia;Escherichia coli;B36-2;Escherichia coli B36-2;negative;
1151227;Escherichia;Escherichia coli;B40-1;Escherichia coli B40-1;negative;
1151228;Escherichia;Escherichia coli;B40-2;Escherichia coli B40-2;negative;
1151246;Escherichia;Escherichia coli;B49-2;Escherichia coli B49-2;negative;
1151224;Escherichia;Escherichia coli;B5-2;Escherichia coli B5-2;negative;
1151215;Escherichia;Escherichia coli;B7-1;Escherichia coli B7-1;negative;
1151216;Escherichia;Escherichia coli;B7-2;Escherichia coli B7-2;negative;
550682;Escherichia;Escherichia coli;B799;Escherichia coli B799;negative;facultative
340184;Escherichia;Escherichia coli;B7A;Escherichia coli B7A;negative;facultative
1151239;Escherichia;Escherichia coli;B83;Escherichia coli B83;negative;
1151240;Escherichia;Escherichia coli;B84;Escherichia coli B84;negative;
1151241;Escherichia;Escherichia coli;B85;Escherichia coli B85;negative;
1151242;Escherichia;Escherichia coli;B86;Escherichia coli B86;negative;
1151235;Escherichia;Escherichia coli;B89;Escherichia coli B89;negative;
1151236;Escherichia;Escherichia coli;B90;Escherichia coli B90;negative;
1151231;Escherichia;Escherichia coli;B93;Escherichia coli B93;negative;
1151232;Escherichia;Escherichia coli;B94;Escherichia coli B94;negative;
1151233;Escherichia;Escherichia coli;B95;Escherichia coli B95;negative;
1081890;Escherichia;Escherichia coli;Bd5610_99;Escherichia coli Bd5610_99;negative;
469008;Escherichia;Escherichia coli;BL21(DE3);Escherichia coli BL21(DE3);negative;facultative
866768;Escherichia;Escherichia coli;'BL21-Gold(DE3)pLysS AG';Escherichia coli 'BL21-Gold(DE3)pLysS AG';negative;anaerobic
595496;Escherichia;Escherichia coli;BW2952;Escherichia coli BW2952;negative;facultative
1124986;Escherichia;Escherichia coli;C12_92;Escherichia coli C12_92;negative;
1124984;Escherichia;Escherichia coli;C1214_90;Escherichia coli C1214_90;negative;
1124985;Escherichia;Escherichia coli;C1244_91;Escherichia coli C1244_91;negative;
1124987;Escherichia;Escherichia coli;C154_11;Escherichia coli C154_11;negative;
1124988;Escherichia;Escherichia coli;C155_11;Escherichia coli C155_11;negative;
1124989;Escherichia;Escherichia coli;C157_11;Escherichia coli C157_11;negative;
1127123;Escherichia;Escherichia coli;C161_11;Escherichia coli C161_11;negative;
1136137;Escherichia;Escherichia coli;C166_11;Escherichia coli C166_11;negative;
1127124;Escherichia;Escherichia coli;C170_11;Escherichia coli C170_11;negative;
1127126;Escherichia;Escherichia coli;C213_10;Escherichia coli C213_10;negative;
1126888;Escherichia;Escherichia coli;C2139_99;Escherichia coli C2139_99;negative;
1126889;Escherichia;Escherichia coli;C238_91;Escherichia coli C238_91;negative;
1126890;Escherichia;Escherichia coli;C260_92;Escherichia coli C260_92;negative;
1126891;Escherichia;Escherichia coli;C262_10;Escherichia coli C262_10;negative;
1126892;Escherichia;Escherichia coli;C283_09;Escherichia coli C283_09;negative;
1126893;Escherichia;Escherichia coli;C295_10;Escherichia coli C295_10;negative;
1126895;Escherichia;Escherichia coli;C341_10;Escherichia coli C341_10;negative;
1126896;Escherichia;Escherichia coli;C343_08;Escherichia coli C343_08;negative;
1116002;Escherichia;Escherichia coli;C-34666;Escherichia coli C-34666;negative;facultative
1126897;Escherichia;Escherichia coli;C347_93;Escherichia coli C347_93;negative;
1126898;Escherichia;Escherichia coli;C353_09;Escherichia coli C353_09;negative;
1126899;Escherichia;Escherichia coli;C354_03B;Escherichia coli C354_03B;negative;
1126900;Escherichia;Escherichia coli;C40_11;Escherichia coli C40_11;negative;
1126901;Escherichia;Escherichia coli;C418_89;Escherichia coli C418_89;negative;
1126902;Escherichia;Escherichia coli;C458_10;Escherichia coli C458_10;negative;
1126903;Escherichia;Escherichia coli;C488_07;Escherichia coli C488_07;negative;
1126904;Escherichia;Escherichia coli;C496_10;Escherichia coli C496_10;negative;
1126905;Escherichia;Escherichia coli;C497_10;Escherichia coli C497_10;negative;
1126906;Escherichia;Escherichia coli;C527_94;Escherichia coli C527_94;negative;
1126908;Escherichia;Escherichia coli;C58_11;Escherichia coli C58_11;negative;
1126907;Escherichia;Escherichia coli;C581_05;Escherichia coli C581_05;negative;
1126909;Escherichia;Escherichia coli;C586_05;Escherichia coli C586_05;negative;
1126912;Escherichia;Escherichia coli;C652_10;Escherichia coli C652_10;negative;
1126913;Escherichia;Escherichia coli;C654_09;Escherichia coli C654_09;negative;
1126915;Escherichia;Escherichia coli;C717_10;Escherichia coli C717_10;negative;
1126916;Escherichia;Escherichia coli;C725_88;Escherichia coli C725_88;negative;
1126917;Escherichia;Escherichia coli;C732_98;Escherichia coli C732_98;negative;
1126918;Escherichia;Escherichia coli;C743_03;Escherichia coli C743_03;negative;
1126919;Escherichia;Escherichia coli;C751_03;Escherichia coli C751_03;negative;
1126921;Escherichia;Escherichia coli;C78_09C;Escherichia coli C78_09C;negative;
1126922;Escherichia;Escherichia coli;C79_08;Escherichia coli C79_08;negative;
1126923;Escherichia;Escherichia coli;C792_92;Escherichia coli C792_92;negative;
1126924;Escherichia;Escherichia coli;C796_10;Escherichia coli C796_10;negative;
1126925;Escherichia;Escherichia coli;C799_92;Escherichia coli C799_92;negative;
1126926;Escherichia;Escherichia coli;C80_08;Escherichia coli C80_08;negative;
1126927;Escherichia;Escherichia coli;C807_09;Escherichia coli C807_09;negative;
1126928;Escherichia;Escherichia coli;C82_11;Escherichia coli C82_11;negative;
1126929;Escherichia;Escherichia coli;C824_10;Escherichia coli C824_10;negative;
1126931;Escherichia;Escherichia coli;C842_97;Escherichia coli C842_97;negative;
1126933;Escherichia;Escherichia coli;C87_11;Escherichia coli C87_11;negative;
1126934;Escherichia;Escherichia coli;C887_10;Escherichia coli C887_10;negative;
1126935;Escherichia;Escherichia coli;C900_01;Escherichia coli C900_01;negative;
1126936;Escherichia;Escherichia coli;C93_11;Escherichia coli C93_11;negative;
199310;Escherichia;Escherichia coli;CFT073;Escherichia coli CFT073;negative;facultative
752790;Escherichia;Escherichia coli;CUMT8;Escherichia coli CUMT8;negative;facultative
536056;Escherichia;Escherichia coli;DH1;Escherichia coli DH1;negative;facultative
340186;Escherichia;Escherichia coli;E110019;Escherichia coli E110019;negative;facultative
656372;Escherichia;Escherichia coli;E1167;Escherichia coli E1167;negative;facultative
670894;Escherichia;Escherichia coli;E128010;Escherichia coli E128010;negative;facultative
656374;Escherichia;Escherichia coli;E1520;Escherichia coli E1520;negative;facultative
1331061;Escherichia;Escherichia coli;E1777;Escherichia coli E1777;negative;
340185;Escherichia;Escherichia coli;E22;Escherichia coli E22;negative;facultative
1331062;Escherichia;Escherichia coli;E2265;Escherichia coli E2265;negative;
331111;Escherichia;Escherichia coli;E24377A;Escherichia coli E24377A;negative;facultative
550687;Escherichia;Escherichia coli;E482;Escherichia coli E482;negative;facultative
1005538;Escherichia;Escherichia coli;EC1736;Escherichia coli EC1736;;
1005539;Escherichia;Escherichia coli;EC1737;Escherichia coli EC1737;;
1005541;Escherichia;Escherichia coli;EC1846;Escherichia coli EC1846;;
1005542;Escherichia;Escherichia coli;EC1847;Escherichia coli EC1847;;
1005543;Escherichia;Escherichia coli;EC1848;Escherichia coli EC1848;;
1005544;Escherichia;Escherichia coli;EC1849;Escherichia coli EC1849;;
1005545;Escherichia;Escherichia coli;EC1850;Escherichia coli EC1850;;
1005546;Escherichia;Escherichia coli;EC1856;Escherichia coli EC1856;;
1005547;Escherichia;Escherichia coli;EC1862;Escherichia coli EC1862;;
1005549;Escherichia;Escherichia coli;EC1864;Escherichia coli EC1864;;
1005550;Escherichia;Escherichia coli;EC1865;Escherichia coli EC1865;;
1005551;Escherichia;Escherichia coli;EC1866;Escherichia coli EC1866;;
1005552;Escherichia;Escherichia coli;EC1868;Escherichia coli EC1868;;
1005553;Escherichia;Escherichia coli;EC1869;Escherichia coli EC1869;;
1005554;Escherichia;Escherichia coli;EC1870;Escherichia coli EC1870;;
1230480;Escherichia;Escherichia coli;EC302/04;Escherichia coli EC302/04;;
1005560;Escherichia;Escherichia coli;EC96038;Escherichia coli EC96038;;
585397;Escherichia;Escherichia coli;ED1a;Escherichia coli ED1a;negative;facultative
1115998;Escherichia;Escherichia coli;Envira 10/1;Escherichia coli Envira 10/1;negative;facultative
1115997;Escherichia;Escherichia coli;Envira 8/11;Escherichia coli Envira 8/11;negative;facultative
670896;Escherichia;Escherichia coli;EPECa12;Escherichia coli EPECa12;negative;facultative
670893;Escherichia;Escherichia coli;EPECa14;Escherichia coli EPECa14;negative;facultative
340197;Escherichia;Escherichia coli;F11;Escherichia coli F11;negative;facultative
1005470;Escherichia;Escherichia coli;FDA504;Escherichia coli FDA504;;
1005474;Escherichia;Escherichia coli;FDA506;Escherichia coli FDA506;;
1005472;Escherichia;Escherichia coli;FDA507;Escherichia coli FDA507;;
1005480;Escherichia;Escherichia coli;FRIK1997;Escherichia coli FRIK1997;;
1005477;Escherichia;Escherichia coli;FRIK1999;Escherichia coli FRIK1999;;
1005479;Escherichia;Escherichia coli;FRIK2001;Escherichia coli FRIK2001;;
1005482;Escherichia;Escherichia coli;FRIK523;Escherichia coli FRIK523;;
1005483;Escherichia;Escherichia coli;FRIK920;Escherichia coli FRIK920;;
656383;Escherichia;Escherichia coli;H120;Escherichia coli H120;negative;facultative
656388;Escherichia;Escherichia coli;H252;Escherichia coli H252;negative;facultative
656390;Escherichia;Escherichia coli;H263;Escherichia coli H263;negative;facultative
656393;Escherichia;Escherichia coli;H299;Escherichia coli H299;negative;facultative
656404;Escherichia;Escherichia coli;H489;Escherichia coli H489;negative;facultative
656408;Escherichia;Escherichia coli;H591;Escherichia coli H591;negative;facultative
656413;Escherichia;Escherichia coli;H730;Escherichia coli H730;negative;facultative
656414;Escherichia;Escherichia coli;H736;Escherichia coli H736;negative;facultative
331112;Escherichia;Escherichia coli;HS;Escherichia coli HS;negative;facultative
1280956;Escherichia;Escherichia coli;HVH 1 (4-6876161);Escherichia coli HVH 1 (4-6876161);negative;
1280964;Escherichia;Escherichia coli;HVH 10 (4-6832164);Escherichia coli HVH 10 (4-6832164);negative;
1281036;Escherichia;Escherichia coli;HVH 100 (4-2850729);Escherichia coli HVH 100 (4-2850729);negative;
1281038;Escherichia;Escherichia coli;HVH 102 (4-6906788);Escherichia coli HVH 102 (4-6906788);negative;
1281039;Escherichia;Escherichia coli;HVH 103 (4-5904188);Escherichia coli HVH 103 (4-5904188);negative;
1281040;Escherichia;Escherichia coli;HVH 104 (4-6977960);Escherichia coli HVH 104 (4-6977960);negative;
1281042;Escherichia;Escherichia coli;HVH 106 (4-6881831);Escherichia coli HVH 106 (4-6881831);negative;
1281043;Escherichia;Escherichia coli;HVH 107 (4-5860571);Escherichia coli HVH 107 (4-5860571);negative;
1281045;Escherichia;Escherichia coli;HVH 109 (4-6977162);Escherichia coli HVH 109 (4-6977162);negative;
1281046;Escherichia;Escherichia coli;HVH 110 (4-6978754);Escherichia coli HVH 110 (4-6978754);negative;
1281047;Escherichia;Escherichia coli;HVH 111 (4-7039018);Escherichia coli HVH 111 (4-7039018);negative;
1281048;Escherichia;Escherichia coli;HVH 112 (4-5987253);Escherichia coli HVH 112 (4-5987253);negative;
1281049;Escherichia;Escherichia coli;HVH 113 (4-7535473);Escherichia coli HVH 113 (4-7535473);negative;
1281050;Escherichia;Escherichia coli;HVH 114 (4-7037740);Escherichia coli HVH 114 (4-7037740);negative;
1281052;Escherichia;Escherichia coli;HVH 115 (4-4465989);Escherichia coli HVH 115 (4-4465989);negative;
1281051;Escherichia;Escherichia coli;HVH 115 (4-4465997);Escherichia coli HVH 115 (4-4465997);negative;
1281053;Escherichia;Escherichia coli;HVH 116 (4-6879942);Escherichia coli HVH 116 (4-6879942);negative;
1281054;Escherichia;Escherichia coli;HVH 117 (4-6857191);Escherichia coli HVH 117 (4-6857191);negative;
1281055;Escherichia;Escherichia coli;HVH 118 (4-7345399);Escherichia coli HVH 118 (4-7345399);negative;
1281056;Escherichia;Escherichia coli;HVH 119 (4-6879578);Escherichia coli HVH 119 (4-6879578);negative;
1281057;Escherichia;Escherichia coli;HVH 120 (4-6978681);Escherichia coli HVH 120 (4-6978681);negative;
1281058;Escherichia;Escherichia coli;HVH 121 (4-6877826);Escherichia coli HVH 121 (4-6877826);negative;
1281059;Escherichia;Escherichia coli;HVH 122 (4-6851606);Escherichia coli HVH 122 (4-6851606);negative;
1281060;Escherichia;Escherichia coli;HVH 125 (4-2634716);Escherichia coli HVH 125 (4-2634716);negative;
1281061;Escherichia;Escherichia coli;HVH 126 (4-6034225);Escherichia coli HVH 126 (4-6034225);negative;
1281062;Escherichia;Escherichia coli;HVH 127 (4-7303629);Escherichia coli HVH 127 (4-7303629);negative;
1281063;Escherichia;Escherichia coli;HVH 128 (4-7030436);Escherichia coli HVH 128 (4-7030436);negative;
1280966;Escherichia;Escherichia coli;HVH 13 (4-7634056);Escherichia coli HVH 13 (4-7634056);negative;
1281064;Escherichia;Escherichia coli;HVH 130 (4-7036876);Escherichia coli HVH 130 (4-7036876);negative;
1281065;Escherichia;Escherichia coli;HVH 132 (4-6876862);Escherichia coli HVH 132 (4-6876862);negative;
1281066;Escherichia;Escherichia coli;HVH 133 (4-4466519);Escherichia coli HVH 133 (4-4466519);negative;
1281067;Escherichia;Escherichia coli;HVH 134 (4-6073441);Escherichia coli HVH 134 (4-6073441);negative;
1281068;Escherichia;Escherichia coli;HVH 135 (4-4449320);Escherichia coli HVH 135 (4-4449320);negative;
1281070;Escherichia;Escherichia coli;HVH 137 (4-2124971);Escherichia coli HVH 137 (4-2124971);negative;
1281071;Escherichia;Escherichia coli;HVH 138 (4-6066704);Escherichia coli HVH 138 (4-6066704);negative;
1281072;Escherichia;Escherichia coli;HVH 139 (4-3192644);Escherichia coli HVH 139 (4-3192644);negative;
1281073;Escherichia;Escherichia coli;HVH 140 (4-5894387);Escherichia coli HVH 140 (4-5894387);negative;
1281074;Escherichia;Escherichia coli;HVH 141 (4-5995973);Escherichia coli HVH 141 (4-5995973);negative;
1281075;Escherichia;Escherichia coli;HVH 142 (4-5627451);Escherichia coli HVH 142 (4-5627451);negative;
1281076;Escherichia;Escherichia coli;HVH 143 (4-5674999);Escherichia coli HVH 143 (4-5674999);negative;
1281077;Escherichia;Escherichia coli;HVH 144 (4-4451937);Escherichia coli HVH 144 (4-4451937);negative;
1281078;Escherichia;Escherichia coli;HVH 145 (4-5672112);Escherichia coli HVH 145 (4-5672112);negative;
1281079;Escherichia;Escherichia coli;HVH 146 (4-3189767);Escherichia coli HVH 146 (4-3189767);negative;
1281080;Escherichia;Escherichia coli;HVH 147 (4-5893887);Escherichia coli HVH 147 (4-5893887);negative;
1281082;Escherichia;Escherichia coli;HVH 149 (4-4451880);Escherichia coli HVH 149 (4-4451880);negative;
1281083;Escherichia;Escherichia coli;HVH 150 (4-3258106);Escherichia coli HVH 150 (4-3258106);negative;
1281084;Escherichia;Escherichia coli;HVH 151 (4-5755573);Escherichia coli HVH 151 (4-5755573);negative;
1281086;Escherichia;Escherichia coli;HVH 153 (3-9344314);Escherichia coli HVH 153 (3-9344314);negative;
1281087;Escherichia;Escherichia coli;HVH 154 (4-5636698);Escherichia coli HVH 154 (4-5636698);negative;
1281088;Escherichia;Escherichia coli;HVH 155 (4-4509048);Escherichia coli HVH 155 (4-4509048);negative;
1281089;Escherichia;Escherichia coli;HVH 156 (4-3206505);Escherichia coli HVH 156 (4-3206505);negative;
1281090;Escherichia;Escherichia coli;HVH 157 (4-3406229);Escherichia coli HVH 157 (4-3406229);negative;
1281091;Escherichia;Escherichia coli;HVH 158 (4-3224287);Escherichia coli HVH 158 (4-3224287);negative;
1281092;Escherichia;Escherichia coli;HVH 159 (4-5818141);Escherichia coli HVH 159 (4-5818141);negative;
1280967;Escherichia;Escherichia coli;HVH 16 (4-7649002);Escherichia coli HVH 16 (4-7649002);negative;
1281093;Escherichia;Escherichia coli;HVH 160 (4-5695937);Escherichia coli HVH 160 (4-5695937);negative;
1281094;Escherichia;Escherichia coli;HVH 161 (4-3119890);Escherichia coli HVH 161 (4-3119890);negative;
1281095;Escherichia;Escherichia coli;HVH 162 (4-5627982);Escherichia coli HVH 162 (4-5627982);negative;
1281096;Escherichia;Escherichia coli;HVH 163 (4-4697553);Escherichia coli HVH 163 (4-4697553);negative;
1281097;Escherichia;Escherichia coli;HVH 164 (4-5953081);Escherichia coli HVH 164 (4-5953081);negative;
1281098;Escherichia;Escherichia coli;HVH 167 (4-6073565);Escherichia coli HVH 167 (4-6073565);negative;
1281099;Escherichia;Escherichia coli;HVH 169 (4-1075578);Escherichia coli HVH 169 (4-1075578);negative;
1280968;Escherichia;Escherichia coli;HVH 17 (4-7473087);Escherichia coli HVH 17 (4-7473087);negative;
1281100;Escherichia;Escherichia coli;HVH 170 (4-3026949);Escherichia coli HVH 170 (4-3026949);negative;
1281101;Escherichia;Escherichia coli;HVH 171 (4-3191958);Escherichia coli HVH 171 (4-3191958);negative;
1281102;Escherichia;Escherichia coli;HVH 172 (4-3248542);Escherichia coli HVH 172 (4-3248542);negative;
1281103;Escherichia;Escherichia coli;HVH 173 (3-9175482);Escherichia coli HVH 173 (3-9175482);negative;
1281104;Escherichia;Escherichia coli;HVH 175 (4-3405184);Escherichia coli HVH 175 (4-3405184);negative;
1281105;Escherichia;Escherichia coli;HVH 176 (4-3428664);Escherichia coli HVH 176 (4-3428664);negative;
1280969;Escherichia;Escherichia coli;HVH 18 (4-8589585);Escherichia coli HVH 18 (4-8589585);negative;
