faprotax_genus;faprotax_species;faprotax_strain;faprotax_speciesStrain;faprotax_metabolism;faprotax_ref
Clostridium;Clostridium proteoclasticum;;Clostridium proteoclasticum ;xylanolysis|fermentation|chemoheterotrophy|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3| Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium proteolyticum;;Clostridium proteolyticum ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium psychrophilum;;Clostridium psychrophilum ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium purinilyticum;;Clostridium purinilyticum ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium putrefaciens;;Clostridium putrefaciens ;aromatic_compound_degradation|chemoheterotrophy;Elsden et al. (1976) - The End Products of the Metabolism of Aromatic Amino Acids by Clostridia
Clostridium;Clostridium quinii;;Clostridium quinii ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium ragsdalei;;Clostridium ragsdalei ;reductive_acetogenesis;DOI:10.1007/s10295-010-0794-6
Clostridium;Clostridium ramosum;;Clostridium ramosum ;fermentation|human_gut|human_associated|mammal_gut|animal_parasites_or_symbionts|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3| Wilson (2009) - Bacteriology of Humans: An Ecological Perspective ISBN: 9781444300383
Clostridium;Clostridium roseum;;Clostridium roseum ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium saccharobutylicum;;Clostridium saccharobutylicum ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium saccharolyticum;;Clostridium saccharolyticum ;fermentation|nitrate_reduction |chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3| Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium saccharoperbutylacetonicum;;Clostridium saccharoperbutylacetonicum ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium sardiniense;;Clostridium sardiniense ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium sartagoforme;;Clostridium sartagoforme ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium scatologenes;;Clostridium scatologenes ;fermentation|reductive_acetogenesis|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3| DOI:10.1099/00207713-50-2-537
Clostridium;Clostridium schirmacherense;;Clostridium schirmacherense ;fermentation|fermentation|chemoheterotrophy|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3| Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium scindens;;Clostridium scindens ;fermentation|fermentation|human_gut|human_associated|mammal_gut|animal_parasites_or_symbionts|chemoheterotrophy|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3| Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3| DOI:10.1038/nature08821
Clostridium;Clostridium septicum;;Clostridium septicum ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium sordellii;;Clostridium sordellii ;human_pathogens_all|aromatic_compound_degradation|human_associated|animal_parasites_or_symbionts|chemoheterotrophy;Pathosystems Resource Integration Centre (PATRIC). Genome ID: 1172204.3 NCBI Taxon ID: 1172204 Disease: Toxic shock syndrome| Elsden et al. (1976) - The End Products of the Metabolism of Aromatic Amino Acids by Clostridia
Clostridium;Clostridium sphenoides;;Clostridium sphenoides ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium spiroforme;;Clostridium spiroforme ;human_pathogens_diarrhea|human_pathogens_all|human_pathogens_all|human_associated|human_associated|animal_parasites_or_symbionts|animal_parasites_or_symbionts|human_associated|animal_parasites_or_symbionts;Pathosystems Resource Integration Centre (PATRIC). Genome ID: 428126.7 NCBI Taxon ID: 428126 Disease: Antibiotic-associated Diarrhea| Pathosystems Resource Integration Centre (PATRIC). Genome ID: 428126.7 NCBI Taxon ID: 428126 Disease: Antibiotic-associated Diarrhea
Clostridium;Clostridium sporogenes;;Clostridium sporogenes ;human_gut|aromatic_compound_degradation|human_associated|mammal_gut|animal_parasites_or_symbionts|chemoheterotrophy;Wilson (2009) - Bacteriology of Humans: An Ecological Perspective ISBN: 9781444300383| Elsden et al. (1976) - The End Products of the Metabolism of Aromatic Amino Acids by Clostridia
Clostridium;Clostridium sporosphaeroides;;Clostridium sporosphaeroides ;aromatic_compound_degradation|chemoheterotrophy;Elsden et al. (1976) - The End Products of the Metabolism of Aromatic Amino Acids by Clostridia
Clostridium;Clostridium stercorarium;;Clostridium stercorarium ;cellulolysis|fermentation|chemoheterotrophy|chemoheterotrophy;Béguin and Aubert (1994) - The biological degradation of cellulose| Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium stercorarium;leptospartum;Clostridium stercorarium leptospartum;cellulolysis|fermentation|chemoheterotrophy|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3| Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium stercorarium;thermolacticum;Clostridium stercorarium thermolacticum;xylanolysis|fermentation|fermentation|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3| Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3| Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium sticklandii;;Clostridium sticklandii ;aromatic_compound_degradation|chemoheterotrophy;Elsden et al. (1976) - The End Products of the Metabolism of Aromatic Amino Acids by Clostridia
Clostridium;Clostridium straminisolvens;;Clostridium straminisolvens ;cellulolysis|fermentation|chemoheterotrophy|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3| Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium subterminale;;Clostridium subterminale ;aromatic_compound_degradation|chemoheterotrophy;Elsden et al. (1976) - The End Products of the Metabolism of Aromatic Amino Acids by Clostridia
Clostridium;Clostridium symbiosum;;Clostridium symbiosum ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium termitidis;;Clostridium termitidis ;cellulolysis|fermentation|fermentation|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3| Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3| Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium tertium;;Clostridium tertium ;fermentation|human_gut|nitrate_respiration|human_associated|mammal_gut|animal_parasites_or_symbionts|nitrate_reduction |nitrogen_respiration|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3| Wilson (2009) - Bacteriology of Humans: An Ecological Perspective ISBN: 9781444300383| Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium tetani;;Clostridium tetani ;aromatic_compound_degradation|chemoheterotrophy;Elsden et al. (1976) - The End Products of the Metabolism of Aromatic Amino Acids by Clostridia
Clostridium;Clostridium tetanomorphum;;Clostridium tetanomorphum ;aromatic_compound_degradation|chemoheterotrophy;Elsden et al. (1976) - The End Products of the Metabolism of Aromatic Amino Acids by Clostridia
Clostridium;Clostridium thermoaceticum;;Clostridium thermoaceticum ;reductive_acetogenesis;Lundie and Drake (1984) - Development of a minimally defined medium for the acetogen Clostridium thermoaceticum
Clostridium;Clostridium thermoacticum;;Clostridium thermoacticum ;nitrate_ammonification|nitrite_ammonification|nitrite_respiration|nitrate_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrite_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;Gasche Papen and Rennenberg (2013). Trace Gas Exchange in Forest Ecosystems. ISBN: 9789401598569
Clostridium;Clostridium thermoalcaliphilum;;Clostridium thermoalcaliphilum ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium thermobutyricum;;Clostridium thermobutyricum ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium thermocellum;;Clostridium thermocellum ;chitinolysis|cellulolysis|chemoheterotrophy|chemoheterotrophy;DOI:10.1128/AEM.68.10.5042–5050.2002| DOI:10.1111/j.1574-6968.2002.tb11450.x
Clostridium;Clostridium thermocellum;;Clostridium thermocellum ;cellulolysis|fermentation|chemoheterotrophy|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3| Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium thermocellurn;;Clostridium thermocellurn ;cellulolysis|chemoheterotrophy;Béguin and Aubert (1994) - The biological degradation of cellulose
Clostridium;Clostridium thermopalmarium;;Clostridium thermopalmarium ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium thermopapyrolyticum;;Clostridium thermopapyrolyticum ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium tyrobutyricum;;Clostridium tyrobutyricum ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium uliginosum;;Clostridium uliginosum ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium ultunense;;Clostridium ultunense ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium vincentii;;Clostridium vincentii ;xylanolysis|fermentation|chemoheterotrophy|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3| Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium viride;;Clostridium viride ;fermentation|fermentation|chemoheterotrophy|chemoheterotrophy;DOI:10.1007/BF00282102| Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium xylanolyticum;;Clostridium xylanolyticum ;xylanolysis|fermentation|chemoheterotrophy|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3| Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Clostridium;Clostridium xylanovorans;;Clostridium xylanovorans ;xylanolysis|fermentation|chemoheterotrophy|chemoheterotrophy;DOI:10.1016/S0723-2020(99)80044-7| DOI:10.1016/S0723-2020(99)80044-7
Cohaesibacter;Cohaesibacter gelatinilyticus;;Cohaesibacter gelatinilyticus ;cellulolysis|aerobic_chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;Rosenberg DeLong Lory Stackebrandt Thompson (2014) - The Prokaryotes - Alphaproteobacteria and Betaproteobacteria| Rosenberg DeLong Lory Stackebrandt Thompson (2014) - The Prokaryotes - Alphaproteobacteria and Betaproteobacteria
Cohnella;Cohnella boryungensis;;Cohnella boryungensis ;aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1007/s10482-011-9691-x
Cohnella;Cohnella cellulosilytica;;Cohnella cellulosilytica ;cellulolysis|nitrate_reduction |chemoheterotrophy;DOI:10.1099/ijs.0.032607-0| DOI:10.1099/ijs.0.032607-0
Cohnella;Cohnella damensis;;Cohnella damensis ;xylanolysis|nitrate_reduction |chemoheterotrophy;Luo et al (2010) - Cohnella damensis sp. nov. a motile xylanolytic bacteria isolated from a low altitude area in Tibet| Luo et al (2010) - Cohnella damensis sp. nov. a motile xylanolytic bacteria isolated from a low altitude area in Tibet
Cohnella;Cohnella ferri;;Cohnella ferri ;aerobic_chemoheterotrophy|nitrate_reduction |chemoheterotrophy;DOI:10.1007/s00284-011-9917-1| DOI:10.1007/s00284-011-9917-1
Cohnella;Cohnella formosensis;;Cohnella formosensis ;xylanolysis|chemoheterotrophy;DOI:10.1099/ijs.0.045831-0
Cohnella;Cohnella plantaginis;;Cohnella plantaginis ;nitrogen_fixation|aerobic_chemoheterotrophy|chemoheterotrophy;DOI:10.1007/s10482-012-9715-1| DOI:10.1007/s10482-012-9715-1
Cohnella;Cohnella terrae;;Cohnella terrae ;xylanolysis|chemoheterotrophy;DOI:10.1099/ijs.0.017855-0
Cohnella;Cohnella thailandensis;;Cohnella thailandensis ;xylanolysis|chemoheterotrophy;DOI:10.1099/ijs.0.015859-0
Cohnella;Cohnella xylanilytica;;Cohnella xylanilytica ;xylanolysis|chemoheterotrophy;DOI:10.1099/ijs.0.017855-0
Collinsella;Collinsella aerofaciens;;Collinsella aerofaciens ;human_gut|human_gut|human_associated|human_associated|mammal_gut|mammal_gut|animal_parasites_or_symbionts|animal_parasites_or_symbionts;DOI:10.1038/nature08821| Wilson (2009) - Bacteriology of Humans: An Ecological Perspective ISBN: 9781444300383
Colwellia;Colwellia psychrerythraea;;Colwellia psychrerythraea ;ureolysis;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 2
Colwellia;Colwellia psychrotropica;;Colwellia psychrotropica ;ureolysis;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 2
Colwellia;Colwellia rossensis;;Colwellia rossensis ;ureolysis;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 2
Comamonas;Comamonas acidovorans;;Comamonas acidovorans ;plastic_degradation;DOI:10.1007/s00253-008-1548-5
Comamonas;Comamonas denitrificans;;Comamonas denitrificans ;nitrate_denitrification|nitrite_denitrification|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2C
Comamonas;Comamonas nitrativorans;;Comamonas nitrativorans ;nitrate_denitrification|aerobic_chemoheterotrophy|nitrite_denitrification|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|chemoheterotrophy|nitrous_oxide_denitrification|denitrification|denitrification|denitrification|nitrite_respiration|nitrate_reduction |nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration|nitrogen_respiration;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2
Comamonas;Comamonas testosteroni;;Comamonas testosteroni ;aromatic_hydrocarbon_degradation|plastic_degradation|aromatic_compound_degradation|hydrocarbon_degradation|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;Garrity Brenner Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology vol. 2| Krishna and Phale (2008). Bacterial degradation of phthalate isomers and their esters
Compostimonas;Compostimonas suwonensis;;Compostimonas suwonensis ;aerobic_chemoheterotrophy|nitrate_reduction |chemoheterotrophy;DOI:10.1099/ijs.0.036343-0| DOI:10.1099/ijs.0.036343-0
Conexibacter;Conexibacter arvalis;;Conexibacter arvalis ;aerobic_chemoheterotrophy|nitrate_reduction |chemoheterotrophy;DOI:10.1099/ijs.0.036095-0| DOI:10.1099/ijs.0.036095-0
Conexibacter;Conexibacter woesei;;Conexibacter woesei ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Conexibacter;Conexibacter woesei;;Conexibacter woesei ;aerobic_chemoheterotrophy|nitrate_reduction |chemoheterotrophy;DOI:10.1099/ijs.0.02400-0| DOI:10.1099/ijs.0.02400-0
Congregibacter;Congregibacter litoralis;;Congregibacter litoralis ;aerobic_anoxygenic_phototrophy|photoheterotrophy|phototrophy|phototrophy;DOI:10.1371/journal.pone.0004866
Coprococcus;Coprococcus catus;;Coprococcus catus ;human_gut|human_associated|mammal_gut|animal_parasites_or_symbionts;DOI:10.1186/s12876-015-0330-2
Coprococcus;Coprococcus comes;;Coprococcus comes ;human_gut|human_associated|mammal_gut|animal_parasites_or_symbionts;DOI:10.1126/science.1183605
Coprococcus;Coprococcus comes;;Coprococcus comes ;human_gut|human_associated|mammal_gut|animal_parasites_or_symbionts;DOI:10.1038/nature08821
Coprococcus;Coprococcus eutactus;;Coprococcus eutactus ;human_gut|human_associated|mammal_gut|animal_parasites_or_symbionts;DOI:10.1038/nature08821
Coprothermobacter;Coprothermobacter platensis;;Coprothermobacter platensis ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Coprothermobacter;Coprothermobacter proteolyticus;;Coprothermobacter proteolyticus ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology vol. 3
Cor;Cor ynebacterium;freneyi;Cor ynebacterium freneyi;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Coraliomargarita;Coraliomargarita akajimensis;;Coraliomargarita akajimensis ;ureolysis;Garrity Brenner Krieg and Staley (2011) Bergey's Manual of Systematic Bacteriology vol. 4
Corynebacterium;Corynebacterium ammoniagenes;;Corynebacterium ammoniagenes ;fermentation|nitrate_reduction |ureolysis|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium amycolatum;;Corynebacterium amycolatum ;human_pathogens_all|human_gut|human_associated|human_associated|mammal_gut|animal_parasites_or_symbionts|animal_parasites_or_symbionts;Pathosystems Resource Integration Centre (PATRIC). Genome ID: 553204.6 NCBI Taxon ID: 553204 Disease: Endocarditis Sepsis| DOI:10.1126/science.1183605
Corynebacterium;Corynebacterium appendicis;;Corynebacterium appendicis ;fermentation|ureolysis|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium aurimucosum;;Corynebacterium aurimucosum ;fermentation|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium auriscanis;;Corynebacterium auriscanis ;human_pathogens_all|human_associated|animal_parasites_or_symbionts;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium bovis;;Corynebacterium bovis ;human_pathogens_all|human_associated|animal_parasites_or_symbionts;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium callunae;;Corynebacterium callunae ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium canis;;Corynebacterium canis ;human_pathogens_all|nitrate_reduction |human_associated|animal_parasites_or_symbionts;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium casei;;Corynebacterium casei ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium caspium;;Corynebacterium caspium ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium confusum;;Corynebacterium confusum ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium cyclohexanicum;;Corynebacterium cyclohexanicum ;aerobic_chemoheterotrophy|chemoheterotrophy;Tokuyama and Kaneda (1973) - Corynebacterium cyclohexanicum n. sp.: a cyclohexanecarboxylic acid utilizing bacterium
Corynebacterium;Corynebacterium cystitidis;;Corynebacterium cystitidis ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium diphtheriae;;Corynebacterium diphtheriae ;human_pathogens_all|human_associated|animal_parasites_or_symbionts;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium doosanense;;Corynebacterium doosanense ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium durum;;Corynebacterium durum ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium efficiens;;Corynebacterium efficiens ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium falsenii;;Corynebacterium falsenii ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium freiburgense;;Corynebacterium freiburgense ;human_pathogens_all|nitrate_reduction |human_associated|animal_parasites_or_symbionts;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium glaucum;;Corynebacterium glaucum ;fermentation|fermentation|aerobic_chemoheterotrophy|chemoheterotrophy|chemoheterotrophy|chemoheterotrophy;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium glucuronolyticum;;Corynebacterium glucuronolyticum ;human_pathogens_all|human_associated|animal_parasites_or_symbionts;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium glutamicum;;Corynebacterium glutamicum ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium halotolerans;;Corynebacterium halotolerans ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium jeikeium;;Corynebacterium jeikeium ;aerobic_chemoheterotrophy|human_pathogens_nosocomia|human_pathogens_all|human_pathogens_all|human_associated|human_associated|animal_parasites_or_symbionts|animal_parasites_or_symbionts|chemoheterotrophy|human_associated|animal_parasites_or_symbionts;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Pathosystems Resource Integration Centre (PATRIC). Genome ID: 306537.1 NCBI Taxon ID: 306537 Disease: Nosocomial infections| Pathosystems Resource Integration Centre (PATRIC). Genome ID: 306537.1 NCBI Taxon ID: 306537 Disease: Nosocomial infections
Corynebacterium;Corynebacterium kutscheri;;Corynebacterium kutscheri ;human_pathogens_all|animal_parasites_or_symbionts|nitrate_reduction |nitrate_reduction |ureolysis|human_associated|animal_parasites_or_symbionts;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5| Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium lipophiloflavum;;Corynebacterium lipophiloflavum ;ureolysis;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium macginleyi;;Corynebacterium macginleyi ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium marinum;;Corynebacterium marinum ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium mastitidis;;Corynebacterium mastitidis ;human_pathogens_all|human_associated|animal_parasites_or_symbionts;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium matruchotii;;Corynebacterium matruchotii ;nitrate_reduction ;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
Corynebacterium;Corynebacterium minutissimum;;Corynebacterium minutissimum ;human_pathogens_all|human_associated|animal_parasites_or_symbionts;Garrity Brenner Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology vol. 5
