ijsem_genus;ijsem_species;ijsem_strain;ijsem_speciesStrain;ijsem_source;ijsem_gram;ijsem_oxygen;ijsem_assays;ijsem_substrate;ijsem_ref
Corynebacterium;Corynebacterium frankenforstense;ST18;Corynebacterium frankenforstense ST18;built environment;positive;aerobic;catalasePositive|pyrazimidase;arabinose|arabitol|fructose|glucose|mannose|ribose|sucrose|trehalose;10.1099/ijs.0.050757-0
Corynebacterium;Corynebacterium freiburgense;1045T;Corynebacterium freiburgense 1045T;human - skin;;anaerobic;catalasePositive|nitrateReductionToNitrite;fructose|galactose|glucose|lactose|maltose|mannose|ribose|sucrose;10.1099/ijs.0.008672-0
Corynebacterium;Corynebacterium halotolerans;YIM70093T;Corynebacterium halotolerans YIM70093T;soil;positive;aerobic;catalasePositive|gelatinase|nitrateReductionToNitrite|ureasePositive;arabinose|dextrin|galactose|gelatin|glucose|maltose|mannitol|mannose|ribose|salicin|sucrose|urea|xylose;10.1099/ijs.0.02929-0
Corynebacterium;Corynebacterium hansenii;C-138T;Corynebacterium hansenii C-138T;other;positive;aerobic;catalasePositive;fructose|galactose|glucose|ribose|sucrose;10.1099/ijs.0.64665-0
Corynebacterium;Corynebacterium humireducens;MFC-5T;Corynebacterium humireducens MFC-5T;wastewater;positive;facultative;alkalinePhosphatase|catalasePositive;acetate|ethanol|formicAcid|lactate|sucrose;10.1099/ijs.0.020909-0
Corynebacterium;Corynebacterium lactis;RW2-5;Corynebacterium lactis RW2-5;food product;positive;aerobic;alkalinePhosphatase|alphaGalactosidase|catalasePositive|pyrazimidase|ureasePositive;fructose|glucose|mannose|ribose;10.1099/ijs.0.050757-0
Corynebacterium;Corynebacterium lubricantis;KSS-3SeT;Corynebacterium lubricantis KSS-3SeT;other;positive;;aesculinHydrolysis;acetate|fructose|glucose|lactate|trehalose|acetate|arabitol|fructose|glucosamine|glucose|lactate|trehalose;10.1099/ijs.0.006379-0
Corynebacterium;Corynebacterium marinum;D7015;Corynebacterium marinum D7015;freshwater sediment (river| lake| pond|marine sediment);positive;facultative;catalasePositive|nitrateReductionToNitrite|catalasePositive|nitrateReductionToNitrite|pyrazimidase;glucose|glycogen|maltose|sucrose|glycogen|maltose|salicin;10.1099/ijs.0.018523-0
Corynebacterium;Corynebacterium maris; Coryn-1T ;Corynebacterium maris Coryn-1T;other;positive;aerobic;alkalinePhosphatase|gelatinase|oxidasePositive|pyrazimidase;alpha-ketovalericAcid|arabitol|asparagine|citrate|fucose|glutamicAcid|inosine|maltose|phenethylamine|raffinose|threonine|Tween40;10.1099/ijs.0.007468-0
Corynebacterium;Corynebacterium massiliense;5402485T;Corynebacterium massiliense 5402485T;other;positive;facultative;alkalinePhosphatase|catalasePositive|pyrazimidase;;10.1099/ijs.0.005827-0
Corynebacterium;Corynebacterium mustelae;3105;Corynebacterium mustelae 3105;other;positive;facultative;catalasePositive|aesculinHydrolysis|catalasePositive|pyrazimidase;fructose|fucose|glucose|maltose|mannose|ribose|sucrose|trehalose|fructose|fucose|glucose|maltose|mannose|N-acetylgulcosamine|ribose|sucrose|trehalose;10.1099/ijs.0.010942-0
Corynebacterium;Corynebacterium pilbarense;IMMIB WACC 658;Corynebacterium pilbarense IMMIB WACC 658;other;positive;anaerobic|facultative;catalasePositive|acidPhosphatase|alkalinePhosphatase|catalasePositive|pyrazimidase;glucose|ribose|sucrose;10.1099/ijs.0.015966-0
Corynebacterium;Corynebacterium pyruviciproducens;06-1773O;Corynebacterium pyruviciproducens 06-1773O;other;positive;facultative|aerobic;catalasePositive|pyrazimidase;glucose|maltose|ribose|sucrose|xylose;10.1099/ijs.0.011783-0
Corynebacterium;Corynebacterium sputi;IMMIB L-999;Corynebacterium sputi IMMIB L-999;other;positive;facultative;ureasePositive;glucose;10.1099/ijs.0.2008/000414-0
Corynebacterium;Corynebacterium timonense;5401744T;Corynebacterium timonense 5401744T;other;positive;facultative;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|catalasePositive|pyrazimidase;glucose|ribose;I 10.1099/ijs.0.005827-0
Corynebacterium;Corynebacterium tuberculostearicum;XT;Corynebacterium tuberculostearicum XT;food product;positive;aerobic;acidPhosphatase|alkalinePhosphatase|catalasePositive|nitrateReductionToNitrite;aspartate|fructose|galactose|gluconicAcid|glucose|glutamicAcid|glycerol|malate|maltose|mannose|N-acetylgulcosamine|proline|ribose|serine|sucrose|trehalose;10.1099/ijs.0.02907-0
Corynebacterium;Corynebacterium ulceribovis;IMMIB L-1395T;Corynebacterium ulceribovis IMMIB L-1395T;other;positive;facultative;acidPhosphatase|alkalinePhosphatase|catalasePositive|pyrazimidase;glucose|leucine|Tween80;10.1099/ijs.0.65832-0
Corynebacterium;Corynebacterium ureicelerivorans;IMMIB RIV-2301T;Corynebacterium ureicelerivorans IMMIB RIV-2301T;other;positive;facultative;alkalinePhosphatase|pyrazimidase|ureasePositive;glucose|ribose|xylose;10.1099/ijs.0.64832-0
Costertonia;Costertonia aggregata;KOPRI 13342;Costertonia aggregata KOPRI 13342;other;negative;aerobic;oxidasePositive|ureasePositive;adonitol|alanine|arabinose|arabitol|asparagine|aspartate|cellobiose|dextrin|fructose|fucose|galactose|glucose|glutamicAcid|glycogen|histidine|lactose|leucine|maltose|mannitol|mannose|melibiose|ornithine|proline|raffinose|rhamnose|serine|sorbitol|sucrose|threonine|trehalose|xylitol;10.1099/ijs.0.64168-0
Croceicoccus;Croceicoccus marinus;E4A9T;Croceicoccus marinus E4A9T;marine sediment;negative;aerobic;aesculinHydrolysis|catalasePositive|gelatinase;acetate|alanine|ethanol|glucose|glutamicAcid|glycerol|histidine|lactate|malate|maltose|mannose|pyruvate|serine|sucrose|trehalose;10.1099/ijs.0.004267-0
Croceitalea;Croceitalea dokdonensis;DOKDO 023;Croceitalea dokdonensis DOKDO 023;other;negative;aerobic;catalasePositive;acetate|alanine|cellobiose|dextrin|fructose|glucose|lactose|maltose|mannose|melibiose|proline|raffinose|threonine;10.1099/ijs.0.65697-0
Croceitalea;Croceitalea eckloniae;DOKDO 025;Croceitalea eckloniae DOKDO 025;other;negative;aerobic;catalasePositive|gelatinase;cellobiose|fructose|galactose|glucose|glycogen|maltose|mannose|melibiose|N-acetylgulcosamine|ribose|sucrose|trehalose;10.1099/ijs.0.65697-0
Cronobacter;Cronobacter condimenti;1330;Cronobacter condimenti 1330;other;negative;;catalasePositive|gelatinase|indoleProduction|nitrateReductionToNitrite;citrate|ornithine;10.1099/ijs.0.032292-0
Cronobacter;Cronobacter dublinensis;DES187;Cronobacter dublinensis DES187;food product;negative;facultative;aesculinHydrolysis|catalasePositive|indoleProduction|nitrateReductionToNitrite;myo-inositol|putrescine;10.1099/ijs.0.65577-0
Cronobacter;Cronobacter malonaticus;CDC 1058-77;Cronobacter malonaticus CDC 1058-77;other;negative;facultative;aesculinHydrolysis|catalasePositive|nitrateReductionToNitrite;putrescine;10.1099/ijs.0.65577-0
Cronobacter;Cronobacter muytjensii;ATCC 51329;Cronobacter muytjensii ATCC 51329;;negative;aerobic;aesculinHydrolysis|catalasePositive|indoleProduction|nitrateReductionToNitrite;myo-inositol|putrescine;10.1099/ijs.0.65577-0
Cronobacter;Cronobacter turicensis;z3032;Cronobacter turicensis z3032;other;negative;facultative;aesculinHydrolysis|catalasePositive|nitrateReductionToNitrite;myo-inositol|putrescine;10.1099/ijs.0.65577-0
Cronobacter;Cronobacter universalis;NCTC 9529;Cronobacter universalis NCTC 9529;other;negative;;catalasePositive|nitrateReductionToNitrite;citrate|ornithine;10.1099/ijs.0.032292-0
Cryobacterium;Cryobacterium flavum;Hh8;Cryobacterium flavum Hh8;other;positive;aerobic;acidPhosphatase|aesculinHydrolysis|catalasePositive|nitrateReductionToNitrite;arabinose|cellobiose|fructose|galactose|glucose|glycerol|mannose|ribose;10.1099/ijs.0.033738-0
Cryobacterium;Cryobacterium levicorallinum;Hh34;Cryobacterium levicorallinum Hh34;other;positive;aerobic;catalasePositive|nitrateReductionToNitrite;acetate|arabinose|cellobiose|fructose|galactose|gluconicAcid|glucose|glycerol|malate|maltose|mannitol|mannose|ribose|sorbitol|sucrose|trehalose|xylose;10.1099/ijs.0.046896-0
Cryobacterium;Cryobacterium luteum;Hh15;Cryobacterium luteum Hh15;other;positive;aerobic;acidPhosphatase|aesculinHydrolysis|catalasePositive|nitrateReductionToNitrite;cellobiose|fructose|glucose|glycerol|maltose|mannitol|mannose|ribose|sorbitol|sucrose|trehalose|xylose;10.1099/ijs.0.033738-0
Cryobacterium;Cryobacterium mesophilum;MSL-15;Cryobacterium mesophilum MSL-15;soil;positive;aerobic;catalasePositive;galactose|glucose|lactose|mannitol|mannose|melibiose|raffinose|rhamnose;10.1099/ijs.0.65650-0
Cryobacterium;Cryobacterium psychrotolerans;0549T;Cryobacterium psychrotolerans 0549T;other;positive;aerobic;aesculinHydrolysis|catalasePositive|nitrateReductionToNitrite;acetate|arabinose|cellobiose|fructose|galactose|glucose|glycerol|lactate|lactose|maltose|mannose|ribose|salicin|sucrose|xylose;10.1099/ijs.0.64750-0
Cryobacterium;Cryobacterium roopkundense;RuGl7;Cryobacterium roopkundense RuGl7;soil;positive;aerobic;gelatinase|nitrateReductionToNitrite|catalasePositive|gelatinase|nitrateReductionToNitrite;citrate;10.1099/ijs.0.011775-0
Cryptanaerobacter;Cryptanaerobacter phenolicus;LR7.2T;Cryptanaerobacter phenolicus LR7.2T;other;positive;anaerobic;;;10.1099/ijs.0.02914-0
Cryptococcus;Cryptococcus agrionensis;CRUB 1317;Cryptococcus agrionensis CRUB 1317;other;;aerobic;ureasePositive;arabinose|cellobiose|citrate|galactose|glycerol|lactate|lactose|maltose|mannitol|melibiose|myo-inositol|raffinose|rhamnose|ribose|salicin|sorbitol|trehalose|xylitol|xylose;10.1099/ijs.0.012534-0
Cryptococcus;Cryptococcus cyanovorans;CBS 11948;Cryptococcus cyanovorans CBS 11948;soil;;;ureasePositive;cellobiose|galactose|gluconicAcid|glucose|glycerol|malate|maltose|myo-inositol|N-acetylgulcosamine|ribose|salicin|sucrose|trehalose|xylose;10.1099/ijs.0.034181-0
Cryptococcus;Cryptococcus spencermartinsiae;CRUB 1230;Cryptococcus spencermartinsiae CRUB 1230;seawater;;aerobic;ureasePositive;arabinose|cellobiose|galactose|glucosamine|glucose|lactose|maltose|mannitol|melibiose|myo-inositol|N-acetylgulcosamine|raffinose|rhamnose|ribose|salicin|sorbitol|sucrose|trehalose|xylitol|xylose;10.1099/ijs.0.013177-0
Cryptococcus;Cryptococcus thermophilus;LTH 6662;Cryptococcus thermophilus LTH 6662;other;;;ureasePositive;arabinose|cellobiose|citrate|ethanol|galactose|galcturonicAcid|gluconicAcid|glucose|glycerol|lactate|lactose|maltose|mannitol|melibiose|myo-inositol|N-acetylgulcosamine|raffinose|rhamnose|ribose|salicin|sucrose|trehalose|xylose;10.1099/ijs.0.032748-0
Cryptosporangium;Cryptosporangium mongoliense;MN08-A0264;Cryptosporangium mongoliense MN08-A0264;soil;positive;aerobic;acidPhosphatase|alkalinePhosphatase|catalasePositive|ureasePositive;;10.1099/ijs.0.038307-0
Cucumibacter;Cucumibacter marinus;CL-GR60;Cucumibacter marinus CL-GR60;seawater;negative;aerobic;acidPhosphatase|alkalinePhosphatase|catalasePositive|gelatinase|oxidasePositive;arabinose|arginine|asparagine|fructose|galactose|glucose|glutamicAcid|glycerol|lactose|leucine|mannitol|mannose|pyruvate|sucrose|trehalose;10.1099/ijs.0.65587-0
Cupriavidus;Cupriavidus laharis;1263a;Cupriavidus laharis 1263a;other;negative;aerobic;catalasePositive|nitrateReductionToNitrite|oxidasePositive|ureasePositive;acetate|adipate|caprate|citrate|fructose|gluconicAcid|malate|phenylacetate;10.1099/ijs.0.63922-0
Cupriavidus;Cupriavidus numazuensis;TE26;Cupriavidus numazuensis TE26;;;;ureasePositive;adipate|arabitol|caprate|citrate|fucose|gluconicAcid|malate;10.1099/ijs.0.038729-0
Cupriavidus;Cupriavidus pampae;CPDB6;Cupriavidus pampae CPDB6;soil;negative;aerobic;;adipate|caprate|citrate|gluconicAcid|glucose|lactate|malate;10.1099/ijs.0.018341-0
Cupriavidus;Cupriavidus pinatubonensis;1245;Cupriavidus pinatubonensis 1245;other;negative;aerobic;catalasePositive|nitrateReductionToNitrite|oxidasePositive|ureasePositive;4-hydroxbenzoate|adipate|caprate|citrate|fructose|gluconicAcid|glutamicAcid|lactate|malate|phenylacetate;10.1099/ijs.0.63922-0
Curtobacterium;Curtobacterium ammoniigenes;B55T;Curtobacterium ammoniigenes B55T;soil;positive;aerobic;aesculinHydrolysis;arabinose|arabitol|gluconicAcid|lactose|mannitol|melibiose|rhamnose|ribose|sorbitol;10.1099/ijs.0.64731-0
Curtobacterium;Curtobacterium ginsengisoli;DCY26;Curtobacterium ginsengisoli DCY26;soil;positive;aerobic;acidPhosphatase|alkalinePhosphatase|catalasePositive|oxidasePositive;arabinose|glucose|maltose|rhamnose|sucrose;10.1099/ijs.0.65591-0
Cyberlindnera;Cyberlindnera xylebori;NBRC 11048;Cyberlindnera xylebori NBRC 11048;other;;;;cellobiose|ethanol|galactose|glucose|glycerol|lactate|maltose|mannitol|rhamnose|ribose|salicin|sucrose|trehalose|xylose;10.1099/ijs.0.050195-0
Cyclobacterium;Cyclobacterium amurskyense;KMM6143T;Cyclobacterium amurskyense KMM6143T;seawater;negative;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|alphaGalactosidase|catalasePositive|oxidasePositive;arabinose|cellobiose|dextrin|fructose|fucose|galactose|galcturonicAcid|glucose|glutamicAcid|glycerol|lactose|maltose|mannitol|mannose|melibiose|methylPyruvate|N-acetylgulcosamine|raffinose|rhamnose|serine|sucrose|threonine|trehalose|xylose;10.1099/ijs.0.63781-0
Cyclobacterium;Cyclobacterium caenipelagi;HD-17;Cyclobacterium caenipelagi HD-17;marine sediment;negative;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|catalasePositive|oxidasePositive;arabinose|cellobiose|fructose|galactose|glucose|maltose|mannose|salicin|sucrose|trehalose|xylose;10.1099/ijs.0.050161-0
Cyclobacterium;Cyclobacterium qasimii;M12-11B;Cyclobacterium qasimii M12-11B;marine sediment;negative;;catalasePositive|oxidasePositive;alanine|arabinose|arginine|aspartate|cellobiose|fructose|galactose|glucosamine|glucose|glutamicAcid|histidine|lactose|maltose|mannitol|mannose|melibiose|raffinose|rhamnose|ribose|sucrose|trehalose|xylose;10.1099/ijs.0.038661-0
Dactylosporangium;Dactylosporangium darangshiense;DLS-44;Dactylosporangium darangshiense DLS-44;other|soil;positive;aerobic;aesculinHydrolysis|catalasePositive|oxidasePositive;arabinose|cellobiose|dextrin|fructose|glucose|glycerol|lactose|maltose|mannitol|mannose|melibiose|raffinose|rhamnose|salicin|sucrose|trehalose|xylose|arabinose|cellobiose|fructose|glucose|glycerol|lactose|maltose|mannitol|mannose|melibiose|raffinose|rhamnose|salicin|sucrose|trehalose|xylose;10.1099/ijs.0.012856-0
Dactylosporangium;Dactylosporangium luridum;BK63;Dactylosporangium luridum BK63;soil;positive;aerobic;H2Sproduction|nitrateReductionToNitrite;trehalose|xylose;10.1099/ijs.0.016451-0
Dactylosporangium;Dactylosporangium lurisum;BK63;Dactylosporangium lurisum BK63;soil;positive;aerobic;aesculinHydrolysis|catalasePositive;glucose|glycogen|sucrose;10.1099/ijs.0.016451-0
Dactylosporangium;Dactylosporangium luteum;BK51;Dactylosporangium luteum BK51;soil;positive;aerobic;aesculinHydrolysis|catalasePositive|nitrateReductionToNitrite;glucose|glycogen|sucrose|adonitol|arabinose|arabitol|cellobiose|citrate|dextrin|fructose|galactose|glycerol|lactate|lactose|malate|maltose|mannitol|mannose|melibiose|pyruvate|raffinose|rhamnose|trehalose|xylose;10.1099/ijs.0.016451-0
Dactylosporangium;Dactylosporangium maewongense;MW2-25;Dactylosporangium maewongense MW2-25;soil;positive;;nitrateReductionToNitrite|gelatinase|nitrateReductionToNitrite;cellobiose|galactose|glycerol|mannitol|raffinose|rhamnose|ribose|salicin|xylose;10.1099/ijs.0.016378-0
Dactylosporangium;Dactylosporangium salmoneum;NRRL B-16294;Dactylosporangium salmoneum NRRL B-16294;soil;positive;aerobic;gelatinase|H2Sproduction|nitrateReductionToNitrite;adonitol|arabinose|arabitol|cellobiose|citrate|dextrin|fructose|galactose|glycerol|lactose|malate|maltose|mannitol|mannose|melibiose|myo-inositol|pyruvate|raffinose|rhamnose|salicin|trehalose|xylose;10.1099/ijs.0.016451-0
Dactylosporangium;Dactylosporangium salmoneum;NRRLB-16294;Dactylosporangium salmoneum NRRLB-16294;soil;positive;aerobic;aesculinHydrolysis|catalasePositive|gelatinase;glucose|glycogen|sucrose;10.1099/ijs.0.016451-0
Dactylosporangium;Dactylosporangium siamense;MW4-36;Dactylosporangium siamense MW4-36;soil;positive;;;arabinose|cellobiose|fructose|galactose|glycerol|lactose|mannitol|melibiose|raffinose|rhamnose|salicin|xylose;10.1099/ijs.0.052092-0
Daeguia;Daeguia caeni;K107;Daeguia caeni K107;other;negative;aerobic;acidPhosphatase|alkalinePhosphatase;adipate|adonitol|N-acetylgulcosamine|phenylacetate;10.1099/ijs.0.65483-0
Dechloromonas;Dechloromonas denitrificans;ED1T;Dechloromonas denitrificans ED1T;other;negative;facultative;nitrateReductionToNitrite;acetate|glutamicAcid|lactate|malate|pyruvate;10.1099/ijs.0.63484-0
Deefgea;Deefgea chitinilytica;Nsw-4;Deefgea chitinilytica Nsw-4;freshwater (river| lake| pond)|other;negative;aerobic;acidPhosphatase|alkalinePhosphatase|catalasePositive|nitrateReductionToNitrite|oxidasePositive|catalasePositive|nitrateReductionToNitrite|oxidasePositive;fructose|glucose|mannose|N-acetylgulcosamine|ribose|cellobiose|dextrin|fructose|glucose|maltose|mannose|methylPyruvate;10.1099/ijs.0.015263-0
Deefgea;Deefgea rivuli;WB 3.4-79T;Deefgea rivuli WB 3.4-79T;freshwater (river| lake| pond);negative;facultative;catalasePositive|nitrateReductionToNitrite|oxidasePositive;dextrin|fructose|glucose|mannose|methylPyruvate|N-acetylgulcosamine|ribose|sucrose;10.1099/ijs.0.64771-0
Deferribacter;Deferribacter autotrophicus;SL50T;Deferribacter autotrophicus SL50T;other;negative;anaerobic;;acetate|formicAcid|lactate|malate|maltose|pyruvate;10.1099/ijs.0.006767-0
Deferrisoma;Deferrisoma camini;S3R1;Deferrisoma camini S3R1;other;negative;anaerobic;;;10.1099/ijs.0.038372-0
Defluvicoccus;Defluvicoccus vanus;Ben 114T;Defluvicoccus vanus Ben 114T;wastewater;negative;aerobic;acidPhosphatase|alkalinePhosphatase|catalasePositive|nitrateReductionToNitrite|ureasePositive;3-hydroxybutyrate|acetate|adonitol|arabinose|aspartate|fructose|glucose|glutamicAcid|lactate|malate|methylPyruvate|putrescine|pyruvate|quinicAcid|sorbitol|threonine|xylose;10.1099/ijs.0.02332-0
Defluviimonas;Defluviimonas aestuarii;BS14;Defluviimonas aestuarii BS14;other;negative;aerobic;acidPhosphatase|aesculinHydrolysis|alkalinePhosphatase|catalasePositive|oxidasePositive|ureasePositive;fructose|glucose|glycerol|inosine|mannitol|mannose|methylBeta-D-glucoside|serine|threonine|thymidine|uridine;10.1099/ijs.0.048389-0
Defluviitalea;Defluviitalea saccharophila;LIND6LT2;Defluviitalea saccharophila LIND6LT2;wastewater;positive;anaerobic;;cellobiose|glucose|maltose|mannitol|mannose|sucrose|xylose;10.1099/ijs.0.030700-0
Defluviitoga;Defluviitoga tunisiensis;SulfLac1;Defluviitoga tunisiensis SulfLac1;other;negative;anaerobic;;mannose|raffinose;10.1099/ijs.0.033720-0
Dehalococcoides;Dehalococcoides mccartyi;195;Dehalococcoides mccartyi 195;bioreactor;variable;anaerobic;;;10.1099/ijs.0.034926-0
Dehalogenimonas;Dehalogenimonas alkenigignens;IP3-3;Dehalogenimonas alkenigignens IP3-3;other;negative;anaerobic;;;10.1099/ijs.0.045054-0
Dehalogenimonas;Dehalogenimonas lykanthroporepellens;BL-DC-9T;Dehalogenimonas lykanthroporepellens BL-DC-9T;freshwater (river| lake| pond);negative;anaerobic;;;10.1099/ijs.0.011502-0
Deinobacterium;Deinobacterium chartae;K4.1T;Deinobacterium chartae K4.1T;other;negative;aerobic;catalasePositive|oxidasePositive;arabinose|asparagine|aspartate|citrate|fucose|galactonicAcid|gluconicAcid|glucosamine|glucose|glycerol|glycogen|myo-inositol|N-acetylgulcosamine|raffinose|threonine|xylose;10.1099/ijs.0.017970-0
Deinococcus;Deinococcus aerius;TR0125T;Deinococcus aerius TR0125T;other;;aerobic;aesculinHydrolysis|alkalinePhosphatase|catalasePositive|oxidasePositive;alanine|arabinose|glucosamine|glutamicAcid|glycine|maltose|ornithine|proline|raffinose|sucrose;10.1099/ijs.0.007963-0
Deinococcus;Deinococcus aerolatus;5516T-9;Deinococcus aerolatus 5516T-9;other;positive;aerobic;aesculinHydrolysis|catalasePositive|gelatinase|catalasePositive;adipate|glucose|histidine|maltose|mannitol|mannose|melibiose|proline|salicin|serine|sorbitol|sucrose|valerate|adipate|gluconicAcid|glucose|maltose|mannitol|mannose|melibiose|proline|salicin|sucrose;10.1099/ijs.0.016030-0
Deinococcus;Deinococcus aerophilus;5516T-11;Deinococcus aerophilus 5516T-11;other;positive;aerobic;aesculinHydrolysis|catalasePositive|gelatinase|catalasePositive;adipate|glucose|glycogen|histidine|maltose|mannitol|mannose|melibiose|serine|sorbitol|sucrose|valerate|adipate|glucose|glycogen|histidine|maltose|mannitol|mannose|melibiose|serine|sorbitol|sucrose;10.1099/ijs.0.016030-0
Deinococcus;Deinococcus aetherius;ST0316;Deinococcus aetherius ST0316;other;positive;;aesculinHydrolysis|catalasePositive|nitrateReductionToNitrite|oxidasePositive;asparagine|glycerol;10.1099/ijs.0.010876-0
Deinococcus;Deinococcus alpinitundrae;ME-04-04-52;Deinococcus alpinitundrae ME-04-04-52;soil;positive;;catalasePositive;arabinose|cellobiose|glycerol|trehalose;10.1099/ijs.0.65405-0
Deinococcus;Deinococcus altitudinis;ME-04-01-32;Deinococcus altitudinis ME-04-01-32;soil;positive;;catalasePositive;arabinose|cellobiose|galactose|glycerol|ribose|trehalose;10.1099/ijs.0.65405-0
Deinococcus;Deinococcus aquaticus;PB314;Deinococcus aquaticus PB314;other;negative;aerobic;aesculinHydrolysis|catalasePositive|oxidasePositive;glucose|glycogen|maltose|N-acetylgulcosamine|proline|sucrose;10.1099/ijs.0.64082-0
Deinococcus;Deinococcus aquatilis;CCUG 53370;Deinococcus aquatilis CCUG 53370;seawater;positive;aerobic;oxidasePositive;acetate|glucose|maltose|N-acetylgulcosamine|sucrose;10.1099/ijs.0.2008/001206-0
Deinococcus;Deinococcus aquiradiocola;TDMA-uv53T;Deinococcus aquiradiocola TDMA-uv53T;freshwater (river| lake| pond);positive;aerobic;aesculinHydrolysis|catalasePositive|oxidasePositive;arabinose|gelatin|glucose|maltose|mannitol|mannose|Tween80;10.1099/ijs.0.65762-0
Deinococcus;Deinococcus caeni;Ho-08;Deinococcus caeni Ho-08;other;negative;aerobic;catalasePositive;glucose|glycogen|maltose|N-acetylgulcosamine|proline|sucrose;10.1099/ijs.0.64082-0
Deinococcus;Deinococcus cellulosilyticus;5516J-15T ;Deinococcus cellulosilyticus 5516J-15T;other;positive;aerobic;aesculinHydrolysis|catalasePositive|nitrateReductionToNitrite|oxidasePositive;arabinose|mannitol|sorbitol|Tween80;10.1099/ijs.0.64951-0
Deinococcus;Deinococcus claudionis;PO-04-19-125;Deinococcus claudionis PO-04-19-125;soil;positive;;catalasePositive;arabinose|cellobiose|fructose|glucosamine|glucose|glycerol|mannose|rhamnose|sucrose|trehalose|xylose;10.1099/ijs.0.65405-0
Deinococcus;Deinococcus daejeonensis;MJ27;Deinococcus daejeonensis MJ27;wastewater;positive;aerobic;acidPhosphatase|alkalinePhosphatase|catalasePositive;3-hydroxybenzoate|4-hydroxbenzoate|alanine|caprate|citrate|glucose|lactate|mannitol|melibiose|myo-inositol|rhamnose|salicin|sucrose;10.1099/ijs.0.033316-0
Deinococcus;Deinococcus deserti;VCD115T;Deinococcus deserti VCD115T;other;negative;aerobic;catalasePositive;formicAcid|fructose|galactose|glucose|histidine|mannitol|sorbitol;10.1099/ijs.0.63717-0
Deinococcus;Deinococcus ficus;CC-FR2-10;Deinococcus ficus CC-FR2-10;soil;positive;aerobic;oxidasePositive;acetate|arabinose|dextrin|fructose|fucose|galactose|gluconicAcid|glucose|lactate|lactose|malate|maltose|mannitol|mannose|melibiose|N-acetylgulcosamine|pyruvate|pyruvicAcidMethylEster|raffinose|rhamnose|ribose|serine|sorbitol|sucrose|trehalose|xylose;10.1099/ijs.0.64007-0
Deinococcus;Deinococcus gobiensis;I-0T;Deinococcus gobiensis I-0T;other;positive;facultative;catalasePositive|nitrateReductionToNitrite|oxidasePositive|ureasePositive;aspartate|fructose|glucose|lactose|sucrose;10.1099/ijs.0.004523-0
Deinococcus;Deinococcus humi;MK03;Deinococcus humi MK03;soil;positive;aerobic;acidPhosphatase|catalasePositive|gelatinase|nitrateReductionToNitrite;3-hydroxybenzoate|4-hydroxbenzoate|alanine|arabinose|caprate|citrate|lactate|mannitol|melibiose|myo-inositol|N-acetylgulcosamine|sucrose;10.1099/ijs.0.037234-0
Deinococcus;Deinococcus indicus;Wt/1aT;Deinococcus indicus Wt/1aT;other;negative;aerobic;aesculinHydrolysis|catalasePositive|gelatinase|nitrateReductionToNitrite;arabinose|arginine|aspartate|cellobiose|histidine|lactose|maltose|mannose|melibiose|raffinose|rhamnose|ribose|sucrose|tryptophan;10.1099/ijs.0.02758-0
Deinococcus;Deinococcus peraridilitoris;KR-200T ;Deinococcus peraridilitoris KR-200T;soil;positive;aerobic;catalasePositive|oxidasePositive;arabinose|asparagine|cellobiose|galactose|glucosamine|glucose|glutamicAcid|maltose|proline|ribose|sucrose|trehalose;10.1099/ijs.0.64956-0
Deinococcus;Deinococcus piscis;3axT;Deinococcus piscis 3axT;other;positive;aerobic;catalasePositive|gelatinase|oxidasePositive;fructose|glucose|maltose|sucrose;10.1099/ijs.0.003046-0
Deinococcus;Deinococcus radiomollis;PO-04-20-132;Deinococcus radiomollis PO-04-20-132;soil;positive;;catalasePositive;arabinose|cellobiose|fructose|galactose|glucosamine|glucose|glycerol|mannose|rhamnose|sucrose|trehalose|xylose;10.1099/ijs.0.65405-0
Deinococcus;Deinococcus reticulitermitis;TM-1;Deinococcus reticulitermitis TM-1;other;negative;;aesculinHydrolysis|catalasePositive|gelatinase|nitrateReductionToNitrite;maltose|mannose;10.1099/ijs.0.026567-0
Deinococcus;Deinococcus wulumuqiensis;R12;Deinococcus wulumuqiensis R12;soil;positive;aerobic;catalasePositive|oxidasePositive;fructose|lactate|leucine|proline|threonine|tryptophan;10.1099/ijs.0.015917-0
Deinococcus;Deinococcus xibeiensis;R13;Deinococcus xibeiensis R13;soil;positive;aerobic;catalasePositive|oxidasePositive;arabinose|dextrin|fructose|fucose|galactose|lactate|leucine|maltose|mannitol|proline|rhamnose|sorbitol|sucrose|threonine|tryptophan|xylose;10.1099/ijs.0.015917-0
Deinococcus;Deinococcus xinjiangensis;X-82T;Deinococcus xinjiangensis X-82T;soil;positive;aerobic;acidPhosphatase|alkalinePhosphatase|catalasePositive|gelatinase|H2Sproduction|oxidasePositive|ureasePositive;alanine|asparagine|dextrin|fructose|galactose|glucose|glycerol|glycogen|maltose|mannitol|pyruvicAcidMethylEster|sucrose|thymidine|trehalose|Tween40|Tween80;10.1099/ijs.0.004564-0
