microbedir_genus;microbedir_species;microbedir_strain;microbedir_speciesStrain;microbedir_gram;microbedir_source;microbedir_abSusceptible;microbedir_extremophile;microbedir_pathogenicity
Streptomyces;Streptomyces sp. ;GBA 94 10;Streptomyces sp. GBA 94 10;positive;;;no;
Streptomyces;Streptomyces sp. ;HCCB10043;Streptomyces sp. HCCB10043;positive;;;;
Streptomyces;Streptomyces sp. ;HGB0020;Streptomyces sp. HGB0020;positive;humanMicrobiome;;;
Streptomyces;Streptomyces sp. ;HmicA12;Streptomyces sp. HmicA12;positive;;;;
Streptomyces;Streptomyces sp. ;HPH0547;Streptomyces sp. HPH0547;positive;humanMicrobiome;;;
Streptomyces;Streptomyces sp. ;KhCrAH 244;Streptomyces sp. KhCrAH 244;positive;;;;
Streptomyces;Streptomyces sp. ;KhCrAH 340;Streptomyces sp. KhCrAH 340;positive;;;;
Streptomyces;Streptomyces sp. ;LaPpAH 108;Streptomyces sp. LaPpAH 108;positive;;;;
Streptomyces;Streptomyces sp. ;LaPpAH 165;Streptomyces sp. LaPpAH 165;positive;;;;
Streptomyces;Streptomyces sp. ;LaPpAH 202;Streptomyces sp. LaPpAH 202;positive;;;;
Streptomyces;Streptomyces sp. ;LaPpAH 95;Streptomyces sp. LaPpAH 95;positive;;;;
Streptomyces;Streptomyces sp. ;Mg1;Streptomyces sp. Mg1;positive;;;;
Streptomyces;Streptomyces sp. ;MspMP M5;Streptomyces sp. MspMP M5;positive;;;;
Streptomyces;Streptomyces sp. ;PAMC26508;Streptomyces sp. PAMC26508;positive;;;;
Streptomyces;Streptomyces sp. ;PsTaAH 124;Streptomyces sp. PsTaAH 124;positive;;;;
Streptomyces;Streptomyces sp. ;PVA 94 7;Streptomyces sp. PVA 94 07;positive;;;;
Streptomyces;Streptomyces sp. ;R1 NS 10;Streptomyces sp. R1 NS 10;positive;;;;
Streptomyces;Streptomyces sp. ;S4;Streptomyces sp. S4;positive;;;;
Streptomyces;Streptomyces sp. ;SA3 actF;Streptomyces sp. SA3 actF;positive;;;;
Streptomyces;Streptomyces sp. ;SA3 actG;Streptomyces sp. SA3 actG;positive;;;;
Streptomyces;Streptomyces sp. ;ScaeMP e10;Streptomyces sp. ScaeMP e10;positive;;;no;
Streptomyces;Streptomyces sp. ;SirexAA E;Streptomyces sp. SirexAA E;positive;;;no;
Streptomyces;Streptomyces sp. ;SM8;Streptomyces sp. SM8;positive;;;yes;
Streptomyces;Streptomyces sp. ;SPB74;Streptomyces sp. SPB74;positive;;;;
Streptomyces;Streptomyces sp. ;SPB78;Streptomyces sp. SPB78;positive;;;;
Streptomyces;Streptomyces sp. ;SS;Streptomyces sp. SS;positive;;;;
Streptomyces;Streptomyces sp. ;TOR3209;Streptomyces sp. TOR3209;positive;;;no;
Streptomyces;Streptomyces sp. ;W007;Streptomyces sp. W007;positive;;;;
Streptomyces;Streptomyces sp. ;Wigar10;Streptomyces sp. Wigar10;positive;;;no;
Streptomyces;Streptomyces sp. ;AA0539;Streptomyces sp. AA0539;positive;;;no;
Streptomyces;Streptomyces sp. ;AA1529;Streptomyces sp. AA1529;positive;;;no;
Streptomyces;Streptomyces sp. ;AA4;Streptomyces sp. AA4;positive;;;no;
Streptomyces;Streptomyces sulphureus;;Streptomyces sulphureus;positive;;;no;
Streptomyces;Streptomyces sviceus;;Streptomyces sviceus;positive;;;;
Streptomyces;Streptomyces tsukubaensis;;Streptomyces tsukubaensis;positive;;;no;
Streptomyces;Streptomyces turgidiscabies;;Streptomyces turgidiscabies;positive;;;no;plant
Streptomyces;Streptomyces venezuelae;;Streptomyces venezuelae;positive;;;no;
Streptomyces;Streptomyces violaceusniger;;Streptomyces violaceusniger;positive;;;yes;
Streptomyces;Streptomyces viridochromogenes;;Streptomyces viridochromogenes;positive;;;yes;
Streptomyces;Streptomyces viridosporus;;Streptomyces viridosporus;positive;;;no;
Streptomyces;Streptomyces vitaminophilus;;Streptomyces vitaminophilus;positive;;;no;
Streptomyces;Streptomyces xinghaiensis;;Streptomyces xinghaiensis;positive;;;no;
Streptomyces;Streptomyces zinciresistens;;Streptomyces zinciresistens;positive;;;no;
Streptosporangium;Streptosporangium roseum;;Streptosporangium roseum;positive;;;no;
Stx2;Stx2 converting ;phage 1717;Stx2 converting phage 1717;;;;no;
Stx2;Stx2 converting ;phage 86;Stx2 converting phage 86;;;;no;
Stx2;Stx2 converting ;phage II;Stx2 converting phage II;;;;no;
Subdoligranulum;Subdoligranulum sp. ;4 3 54A2FAA;Subdoligranulum sp. 4 3 54A2FAA;;;;;
Subdoligranulum;Subdoligranulum variabile;;Subdoligranulum variabile;negative;humanMicrobiome;;;
Succinatimonas;Succinatimonas hippei;;Succinatimonas hippei;negative;humanMicrobiome;no;no;animal
Succinimonas;Succinimonas amylolytica;;Succinimonas amylolytica;negative;;no;no;
Succinispira;Succinispira mobilis;;Succinispira mobilis;positive;;;;
Succinivibrionaceae;Succinivibrionaceae bacterium;WG 1;Succinivibrionaceae bacterium WG 1;negative;humanMicrobiome;no;no;
Sulfitobacter;Sulfitobacter phage ;EE36phi1;Sulfitobacter phage EE36phi1;;;;no;
Sulfitobacter;Sulfitobacter phage ;pCB2047 A;Sulfitobacter phage pCB2047 A;;;yes;no;plant
Sulfitobacter;Sulfitobacter phage ;pCB2047 B;Sulfitobacter phage pCB2047 B;;;yes;no;plant
Sulfitobacter;Sulfitobacter phage ;pCB2047 C;Sulfitobacter phage pCB2047 C;;;yes;no;plant
Sulfitobacter;Sulfitobacter sp. ;EE 36;Sulfitobacter sp. EE 36;;;no;yes;plant
Sulfitobacter;Sulfitobacter sp. ;NAS 14 1;Sulfitobacter sp. NAS 14 1;negative;;no;yes;plant
Sulfobacillus;Sulfobacillus acidophilus;;Sulfobacillus acidophilus;positive;;;yes;
Sulfobacillus;Sulfobacillus thermosulfidooxidans;;Sulfobacillus thermosulfidooxidans;positive;;;yes;
Sulfolobus;Sulfolobus acidocaldarius;;Sulfolobus acidocaldarius;;;;yes;
Sulfolobus;Sulfolobus islandicus;;Sulfolobus islandicus;;;;yes;
Sulfolobus;Sulfolobus solfataricus;;Sulfolobus solfataricus;;;;yes;
Sulfolobus;Sulfolobus tokodaii;;Sulfolobus tokodaii;;;;yes;
Sulfuricella;Sulfuricella denitrificans;;Sulfuricella denitrificans;negative;;;no;
Sulfuricurvum;Sulfuricurvum kujiense;;Sulfuricurvum kujiense;negative;;;;
Sulfurihydrogenibium;Sulfurihydrogenibium azorense;;Sulfurihydrogenibium azorense;negative;;no;yes;
Sulfurihydrogenibium;Sulfurihydrogenibium sp. ;YO3AOP1;Sulfurihydrogenibium sp. YO3AOP1;negative;;no;yes;
Sulfurihydrogenibium;Sulfurihydrogenibium yellowstonense;;Sulfurihydrogenibium yellowstonense;negative;;no;yes;
Sulfurimonas;Sulfurimonas autotrophica;;Sulfurimonas autotrophica;negative;;;;
Sulfurimonas;Sulfurimonas denitrificans;;Sulfurimonas denitrificans;negative;;;;
Sulfurimonas;Sulfurimonas gotlandica;;Sulfurimonas gotlandica;negative;;;;
Sulfurimonas;Sulfurimonas sp. ;AST 10;Sulfurimonas sp. AST 10;;;;;
Sulfurospirillum;Sulfurospirillum barnesii;;Sulfurospirillum barnesii;negative;;yes;yes;
Sulfurospirillum;Sulfurospirillum deleyianum;;Sulfurospirillum deleyianum;negative;;;yes;
Sulfurovum;Sulfurovum sp. ;AR;Sulfurovum sp. AR;negative;;;no;
Sulfurovum;Sulfurovum sp. ;NBC37 1;Sulfurovum sp. NBC37 1;negative;;;yes;
Sunflower;Sunflower leaf ;curl Karnataka alphasatellite;Sunflower leaf curl Karnataka alphasatellite;;;;;plant
Sutterella;Sutterella parvirubra;;Sutterella parvirubra;negative;humanMicrobiome;;no;
Sutterella;Sutterella wadsworthensis;;Sutterella wadsworthensis;negative;humanMicrobiome;;no;
Symbiobacterium;Symbiobacterium thermophilum;;Symbiobacterium thermophilum;negative;;;yes;
Synechococcus;Synechococcus elongatus;;Synechococcus elongatus;negative;;no;no;
Synechococcus;Synechococcus phage ;KBS M 1A;Synechococcus phage KBS M 1A;;;;no;
Synechococcus;Synechococcus phage ;metaG MbCM1;Synechococcus phage metaG MbCM1;;;;no;
Synechococcus;Synechococcus phage ;P60;Synechococcus phage P60;;;;no;
Synechococcus;Synechococcus phage ;S CAM1;Synechococcus phage S CAM1;;;;no;
Synechococcus;Synechococcus phage ;S CAM8;Synechococcus phage S CAM8;;;;no;
Synechococcus;Synechococcus phage ;S CBS1;Synechococcus phage S CBS1;;;;no;
Synechococcus;Synechococcus phage ;S CBS2;Synechococcus phage S CBS2;;;;no;
Synechococcus;Synechococcus phage ;S CBS3;Synechococcus phage S CBS3;;;;no;
Synechococcus;Synechococcus phage ;S CBS4;Synechococcus phage S CBS4;;;;no;
Synechococcus;Synechococcus phage ;S CRM01;Synechococcus phage S CRM01;;;;no;
Synechococcus;Synechococcus phage ;S IOM18;Synechococcus phage S IOM18;;;;no;
Synechococcus;Synechococcus phage ;S MbCM6;Synechococcus phage S MbCM6;;;;no;
Synechococcus;Synechococcus phage ;S PM2;Synechococcus phage S PM2;;;;no;
Synechococcus;Synechococcus phage ;S RIM2;Synechococcus phage S RIM2;;;;no;
Synechococcus;Synechococcus phage ;S RIM8;Synechococcus phage S RIM8;;;;no;
Synechococcus;Synechococcus phage ;S RIP1;Synechococcus phage S RIP1;;;;no;
Synechococcus;Synechococcus phage ;S RIP2;Synechococcus phage S RIP2;;;;no;
Synechococcus;Synechococcus phage ;S RSM4;Synechococcus phage S RSM4;;;;no;
Synechococcus;Synechococcus phage ;S ShM2;Synechococcus phage S ShM2;;;;no;
Synechococcus;Synechococcus phage ;S SKS1;Synechococcus phage S SKS1;;;;no;
Synechococcus;Synechococcus phage ;S SM1;Synechococcus phage S SM1;;;;no;
Synechococcus;Synechococcus phage ;S SM2;Synechococcus phage S SM2;;;;no;
Synechococcus;Synechococcus phage ;S SSM4;Synechococcus phage S SSM4;;;;no;
Synechococcus;Synechococcus phage ;S SSM5;Synechococcus phage S SSM5;;;;no;
Synechococcus;Synechococcus phage ;S SSM7;Synechococcus phage S SSM7;;;;no;
Synechococcus;Synechococcus phage ;Syn19;Synechococcus phage Syn19;;;;no;
Synechococcus;Synechococcus phage ;Syn5;Synechococcus phage Syn5;;;;no;
Synechococcus;Synechococcus phage ;syn9;Synechococcus phage syn9;;;;no;
Synechococcus;Synechococcus sp. ;BL107;Synechococcus sp. BL107;negative;;;;
Synechococcus;Synechococcus sp. ;CB0101;Synechococcus sp. CB0101;negative;;;;
Synechococcus;Synechococcus sp. ;CB0205;Synechococcus sp. CB0205;negative;;;;
Synechococcus;Synechococcus sp. ;CC9311;Synechococcus sp. CC9311;negative;;no;;
Synechococcus;Synechococcus sp. ;CC9605;Synechococcus sp. CC9605;;;;;
Synechococcus;Synechococcus sp. ;CC9902;Synechococcus sp. CC9902;negative;;no;;
Synechococcus;Synechococcus sp. ;JA 2 3B a 2 13;Synechococcus sp. JA 2 3B a 2 13;negative;;;yes;
Synechococcus;Synechococcus sp. ;JA 3 3Ab;Synechococcus sp. JA 3 3Ab;negative;;;yes;
Synechococcus;Synechococcus sp. ;PCC 6312;Synechococcus sp. PCC 6312;negative;;no;;
Synechococcus;Synechococcus sp. ;PCC 7002;Synechococcus sp. PCC 7002;negative;;no;;
Synechococcus;Synechococcus sp. ;PCC 7335;Synechococcus sp. PCC 7335;negative;;no;;
Synechococcus;Synechococcus sp. ;PCC 7336;Synechococcus sp. PCC 7336;negative;;no;;
Synechococcus;Synechococcus sp. ;PCC 7502;Synechococcus sp. PCC 7502;negative;;no;;
Synechococcus;Synechococcus sp. ;RCC307;Synechococcus sp. RCC307;negative;;no;;
Synechococcus;Synechococcus sp. ;RS9916;Synechococcus sp. RS9916;negative;;no;;
Synechococcus;Synechococcus sp. ;RS9917;Synechococcus sp. RS9917;negative;;no;;
Synechococcus;Synechococcus sp. ;WH 5701;Synechococcus sp. WH 5701;negative;;no;;
Synechococcus;Synechococcus sp. ;WH 7803;Synechococcus sp. WH 7803;negative;;no;;
Synechococcus;Synechococcus sp. ;WH 7805;Synechococcus sp. WH 7805;negative;;no;;
Synechococcus;Synechococcus sp. ;WH 8016;Synechococcus sp. WH 8016;negative;;no;;
Synechococcus;Synechococcus sp. ;WH 8102;Synechococcus sp. WH 8102;negative;;no;;
Synechococcus;Synechococcus sp. ;WH 8109;Synechococcus sp. WH 8109;negative;;no;;
Synechocystis;Synechocystis sp. ;PCC 6803;Synechocystis sp. PCC 6803;negative;;no;no;
Synechocystis;Synechocystis sp. ;PCC 7509;Synechocystis sp. PCC 7509;negative;;no;yes;
Synergistes;Synergistes sp. ;3 1 syn1;Synergistes sp. 3 1 syn1;negative;;;;
Syntrophobacter;Syntrophobacter fumaroxidans;;Syntrophobacter fumaroxidans;negative;;;;
Syntrophobotulus;Syntrophobotulus glycolicus;;Syntrophobotulus glycolicus;positive;;no;yes;
Syntrophomonas;Syntrophomonas wolfei;;Syntrophomonas wolfei;negative;;;;
Syntrophothermus;Syntrophothermus lipocalidus;;Syntrophothermus lipocalidus;;;;yes;
Syntrophus;Syntrophus aciditrophicus;;Syntrophus aciditrophicus;negative;;;yes;
Talaromyces;Talaromyces marneffei;;Talaromyces marneffei;;;no;no;
Talaromyces;Talaromyces stipitatus;;Talaromyces stipitatus;;;;no;
Tannerella;Tannerella forsythia;;Tannerella forsythia;negative;;yes;no;animal
Tannerella;Tannerella sp. ;6 1 58FAA CT1;Tannerella sp. 6 1 58FAA CT1;;humanMicrobiome;;;
Taylorella;Taylorella asinigenitalis;;Taylorella asinigenitalis;negative;;;;animal
Taylorella;Taylorella equigenitalis;;Taylorella equigenitalis;negative;;;;animal
Temperate;Temperate phage ;phiNIH1 1;Temperate phage phiNIH1 1;;humanMicrobiome;;no;
Tepidanaerobacter;Tepidanaerobacter acetatoxydans;;Tepidanaerobacter acetatoxydans;positive;;;no;
Teredinibacter;Teredinibacter turnerae;;Teredinibacter turnerae;negative;;;yes;animal
Terracoccus;Terracoccus sp. ;273MFTsu3 1;Terracoccus sp. 273MFTsu3 1;positive;;;;
Terriglobus;Terriglobus roseus;;Terriglobus roseus;negative;;;yes;
Terriglobus;Terriglobus saanensis;;Terriglobus saanensis;negative;;;no;
Tetragenococcus;Tetragenococcus halophilus;;Tetragenococcus halophilus;positive;;;yes;
Tetrahymena;Tetrahymena thermophila;;Tetrahymena thermophila;;;;no;
Tetrapisispora;Tetrapisispora blattae;;Tetrapisispora blattae;;;;;
Tetrapisispora;Tetrapisispora phaffii;;Tetrapisispora phaffii;;;;;
Tetrasphaera;Tetrasphaera elongata;;Tetrasphaera elongata;positive;;;;
Tetrasphaera;Tetrasphaera phage ;TJE1;Tetrasphaera phage TJE1;;;;no;
Thalassiobium;Thalassiobium sp. ;R2A62;Thalassiobium sp. R2A62;;;;;
Thalassiosira;Thalassiosira pseudonana;;Thalassiosira pseudonana;;;;no;
Thalassobacter;Thalassobacter arenae;;Thalassobacter arenae;negative;;no;yes;plant
Thalassolituus;Thalassolituus oleivorans;;Thalassolituus oleivorans;negative;;;yes;
Thalassomonas;Thalassomonas phage ;BA3;Thalassomonas phage BA3;;;;no;
Thalassospira;Thalassospira lucentensis;;Thalassospira lucentensis;;;;no;
Thalassospira;Thalassospira profundimaris;;Thalassospira profundimaris;negative;;no;no;
Thalassospira;Thalassospira xiamenensis;;Thalassospira xiamenensis;negative;;no;no;
Thauera;Thauera aminoaromatica;;Thauera aminoaromatica;negative;;;;
Thauera;Thauera phenylacetica;;Thauera phenylacetica;negative;;;;
Thauera;Thauera selenatis;;Thauera selenatis;negative;;;;
Thauera;Thauera sp. ;27;Thauera sp. 27;negative;;;;
Thauera;Thauera sp. ;28;Thauera sp. 28;negative;;;;
Thauera;Thauera sp. ;63;Thauera sp. 63;negative;;;;
Thauera;Thauera sp. ;MZ1T;Thauera sp. MZ1T;negative;;;no;
Thauera;Thauera terpenica;;Thauera terpenica;negative;;;no;
Theileria;Theileria annulata;;Theileria annulata;;;no;no;animal
Theileria;Theileria parva;;Theileria parva;;;no;no;animal
Thermacetogenium;Thermacetogenium phaeum;;Thermacetogenium phaeum;positive;;;yes;
Thermaerobacter;Thermaerobacter marianensis;;Thermaerobacter marianensis;positive;;;yes;
Thermaerobacter;Thermaerobacter subterraneus;;Thermaerobacter subterraneus;positive;;;yes;
Thermanaerovibrio;Thermanaerovibrio acidaminovorans;;Thermanaerovibrio acidaminovorans;negative;;;yes;
Thermanaerovibrio;Thermanaerovibrio velox;;Thermanaerovibrio velox;negative;;;yes;
Thermincola;Thermincola potens;;Thermincola potens;positive;;no;yes;
Thermoanaerobacter;Thermoanaerobacter brockii;;Thermoanaerobacter brockii;positive;;yes;no;
Thermoanaerobacter;Thermoanaerobacter ethanolicus;;Thermoanaerobacter ethanolicus;variable;;;yes;
Thermoanaerobacter;Thermoanaerobacter indiensis;;Thermoanaerobacter indiensis;positive;;;;
Thermoanaerobacter;Thermoanaerobacter italicus;;Thermoanaerobacter italicus;negative;;;yes;
Thermoanaerobacter;Thermoanaerobacter mathranii;;Thermoanaerobacter mathranii;positive;;yes;yes;
Thermoanaerobacter;Thermoanaerobacter pseudethanolicus;;Thermoanaerobacter pseudethanolicus;positive;;;yes;
Thermoanaerobacter;Thermoanaerobacter siderophilus;;Thermoanaerobacter siderophilus;;;;yes;
Thermoanaerobacter;Thermoanaerobacter sp. ;X513;Thermoanaerobacter sp. X513;positive;;;yes;
Thermoanaerobacter;Thermoanaerobacter sp. ;X514;Thermoanaerobacter sp. X514;positive;;;yes;
Thermoanaerobacter;Thermoanaerobacter sp. ;X561;Thermoanaerobacter sp. X561;;;;no;
Thermoanaerobacter;Thermoanaerobacter thermohydrosulfuricus;;Thermoanaerobacter thermohydrosulfuricus;positive;;;yes;
Thermoanaerobacter;Thermoanaerobacter wiegelii;;Thermoanaerobacter wiegelii;negative;;;yes;
Thermoanaerobacterium;Thermoanaerobacterium saccharolyticum;;Thermoanaerobacterium saccharolyticum;;;;yes;
Thermoanaerobacterium;Thermoanaerobacterium thermosaccharolyticum;;Thermoanaerobacterium thermosaccharolyticum;positive;;;;
Thermoanaerobacterium;Thermoanaerobacterium xylanolyticum;;Thermoanaerobacterium xylanolyticum;negative;;;yes;
Thermobacillus;Thermobacillus composti;;Thermobacillus composti;negative;;;yes;
Thermobaculum;Thermobaculum terrenum;;Thermobaculum terrenum;positive;;no;yes;
Thermobifida;Thermobifida fusca;;Thermobifida fusca;;;yes;yes;
Thermobispora;Thermobispora bispora;;Thermobispora bispora;positive;;;yes;
Thermococcus;Thermococcus barophilus;;Thermococcus barophilus;;;;yes;
Thermococcus;Thermococcus gammatolerans;;Thermococcus gammatolerans;;;;yes;
Thermococcus;Thermococcus kodakarensis;;Thermococcus kodakarensis;;;;yes;
Thermococcus;Thermococcus onnurineus;;Thermococcus onnurineus;;;;yes;
Thermococcus;Thermococcus sibiricus;;Thermococcus sibiricus;;;;yes;
Thermococcus;Thermococcus sp. ;4557;Thermococcus sp. 4557;;;;yes;
Thermococcus;Thermococcus sp. ;AM4;Thermococcus sp. AM4;;;;yes;
Thermococcus;Thermococcus sp. ;CL1;Thermococcus sp. CL1;;;;yes;
Thermococcus;Thermococcus zilligii;;Thermococcus zilligii;;;;yes;
Thermocrinis;Thermocrinis albus;;Thermocrinis albus;negative;;;yes;
Thermodesulfatator;Thermodesulfatator atlanticus;;Thermodesulfatator atlanticus;negative;;yes;yes;
Thermodesulfatator;Thermodesulfatator indicus;;Thermodesulfatator indicus;negative;;no;yes;
Thermodesulfobacterium;Thermodesulfobacterium geofontis;;Thermodesulfobacterium geofontis;negative;;no;yes;
Thermodesulfobacterium;Thermodesulfobacterium thermophilum;;Thermodesulfobacterium thermophilum;;;;;
Thermodesulfobium;Thermodesulfobium narugense;;Thermodesulfobium narugense;;;;yes;
Thermodesulfovibrio;Thermodesulfovibrio yellowstonii;;Thermodesulfovibrio yellowstonii;negative;;no;yes;
Thermofilum;Thermofilum pendens;;Thermofilum pendens;negative;;;yes;
Thermogladius;Thermogladius cellulolyticus;;Thermogladius cellulolyticus;negative;;;yes;
Thermomicrobium;Thermomicrobium roseum;;Thermomicrobium roseum;negative;;no;yes;
Thermomonospora;Thermomonospora curvata;;Thermomonospora curvata;positive;;;yes;
Thermoplasma;Thermoplasma acidophilum;;Thermoplasma acidophilum;;;;yes;
Thermoplasma;Thermoplasma volcanium;;Thermoplasma volcanium;negative;;;yes;
Thermoproteus;Thermoproteus uzoniensis;;Thermoproteus uzoniensis;;;;yes;
Thermosediminibacter;Thermosediminibacter oceani;;Thermosediminibacter oceani;negative;;;yes;
Thermosinus;Thermosinus carboxydivorans;;Thermosinus carboxydivorans;negative;;;yes;
Thermosipho;Thermosipho africanus;;Thermosipho africanus;negative;;no;yes;
Thermosipho;Thermosipho melanesiensis;;Thermosipho melanesiensis;negative;;no;yes;
Thermosphaera;Thermosphaera aggregans;;Thermosphaera aggregans;;;;yes;
Thermosynechococcus;Thermosynechococcus elongatus;;Thermosynechococcus elongatus;negative;;no;yes;
Thermotoga;Thermotoga lettingae;;Thermotoga lettingae;negative;;no;yes;
Thermotoga;Thermotoga maritima;;Thermotoga maritima;negative;;no;yes;
Thermotoga;Thermotoga naphthophila;;Thermotoga naphthophila;negative;;no;yes;
Thermotoga;Thermotoga neapolitana;;Thermotoga neapolitana;negative;;no;yes;
Thermotoga;Thermotoga petrophila;;Thermotoga petrophila;negative;;no;yes;
Thermotoga;Thermotoga sp. ;EMP;Thermotoga sp. EMP;negative;;no;yes;
Thermotoga;Thermotoga sp. ;RQ2;Thermotoga sp. RQ2;negative;;no;yes;
Thermotoga;Thermotoga thermarum;;Thermotoga thermarum;negative;;no;yes;
Thermovibrio;Thermovibrio ammonificans;;Thermovibrio ammonificans;negative;;no;yes;
Thermovirga;Thermovirga lienii;;Thermovirga lienii;negative;;;yes;
Thermus;Thermus aquaticus;;Thermus aquaticus;negative;;no;yes;
Thermus;Thermus igniterrae;;Thermus igniterrae;negative;;;yes;
Thermus;Thermus islandicus;;Thermus islandicus;;;;yes;
Thermus;Thermus oshimai;;Thermus oshimai;;;;;
Thermus;Thermus phage ;IN93;Thermus phage IN93;;;;;
Thermus;Thermus phage ;P23 45;Thermus phage P23 45;;;;yes;
Thermus;Thermus phage ;P23 77;Thermus phage P23 77;;;;;
Thermus;Thermus phage ;P74 26;Thermus phage P74 26;;;;yes;
Thermus;Thermus phage ;phi OH2;Thermus phage phi OH2;;;;no;
Thermus;Thermus phage ;phiYS40;Thermus phage phiYS40;;;;no;
Thermus;Thermus phage ;TMA;Thermus phage TMA;;;;no;
Thermus;Thermus scotoductus;;Thermus scotoductus;negative;;;yes;
Thermus;Thermus sp. ;CCB US3 UF1;Thermus sp. CCB US3 UF1;;;;;
Thermus;Thermus sp. ;RL;Thermus sp. RL;;;;;
Thermus;Thermus thermophilus;;Thermus thermophilus;negative;;no;yes;
Thielavia;Thielavia terrestris;;Thielavia terrestris;;;;yes;
Thioalkalimicrobium;Thioalkalimicrobium aerophilum;;Thioalkalimicrobium aerophilum;negative;;;no;
Thioalkalimicrobium;Thioalkalimicrobium cyclicum;;Thioalkalimicrobium cyclicum;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio nitratireducens;;Thioalkalivibrio nitratireducens;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;AKL10;Thioalkalivibrio sp. AKL10;;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;AKL11;Thioalkalivibrio sp. AKL11;;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;AKL12;Thioalkalivibrio sp. AKL12;;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;AKL17;Thioalkalivibrio sp. AKL17;;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;AKL3;Thioalkalivibrio sp. AKL3;;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;AKL6;Thioalkalivibrio sp. AKL6;;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;AKL7;Thioalkalivibrio sp. AKL7;;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;AKL8;Thioalkalivibrio sp. AKL8;;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;AKL9;Thioalkalivibrio sp. AKL9;;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;AL21;Thioalkalivibrio sp. AL21;;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;AL5;Thioalkalivibrio sp. AL5;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALD1;Thioalkalivibrio sp. ALD1;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALE10;Thioalkalivibrio sp. ALE10;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALE11;Thioalkalivibrio sp. ALE11;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALE12;Thioalkalivibrio sp. ALE12;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALE14;Thioalkalivibrio sp. ALE14;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALE16;Thioalkalivibrio sp. ALE16;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALE18;Thioalkalivibrio sp. ALE18;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALE20;Thioalkalivibrio sp. ALE20;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALE22;Thioalkalivibrio sp. ALE22;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALE23;Thioalkalivibrio sp. ALE23;negative;;;no;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALE25;Thioalkalivibrio sp. ALE25;negative;;;no;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALE27;Thioalkalivibrio sp. ALE27;negative;;;no;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALE28;Thioalkalivibrio sp. ALE28;;;;no;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALE30;Thioalkalivibrio sp. ALE30;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALE31;Thioalkalivibrio sp. ALE31;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALE6;Thioalkalivibrio sp. ALE6;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALE9;Thioalkalivibrio sp. ALE9;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALgr1;Thioalkalivibrio sp. ALgr1;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALgr3;Thioalkalivibrio sp. ALgr3;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALgr5;Thioalkalivibrio sp. ALgr5;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALJ10;Thioalkalivibrio sp. ALJ10;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALJ11;Thioalkalivibrio sp. ALJ11;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALJ12;Thioalkalivibrio sp. ALJ12;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALJ15;Thioalkalivibrio sp. ALJ15;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALJ16;Thioalkalivibrio sp. ALJ16;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALJ17;Thioalkalivibrio sp. ALJ17;negative;;;yes;
Thioalkalivibrio;Thioalkalivibrio sp. ;ALJ2;Thioalkalivibrio sp. ALJ2;negative;;;yes;
