pasteur_genus;pasteur_species;pasteur_strain;pasteur_speciesStrain;pasteur_typeStrain;pasteur_cultureNo;pasteur_growthTemp;pasteur_ref;pasteur_genes;pasteur_source;pasteur_oxygen;pasteur_medium
Bacillus;Bacillus sphaericus;H5 CPC S05 176;Bacillus sphaericus H5 CPC S05 176;;CPC S05 176;;;;Soil;;
Bacillus;Bacillus sphaericus;H5 CPC S05 177;Bacillus sphaericus H5 CPC S05 177;;CPC S05 177;;;;;;
Bacillus;Bacillus sphaericus;H5 CPC S05 178;Bacillus sphaericus H5 CPC S05 178;;CPC S05 178;;;;;;
Bacillus;Bacillus sphaericus;H5 CPC S05 179;Bacillus sphaericus H5 CPC S05 179;;CPC S05 179;;;;;;
Bacillus;Bacillus sphaericus;H5 CPC S05 180;Bacillus sphaericus H5 CPC S05 180;;CPC S05 180;;;;;;
Bacillus;Bacillus sphaericus;H5 CPC S05 181;Bacillus sphaericus H5 CPC S05 181;;CPC S05 181;;;;Water;;
Bacillus;Bacillus sphaericus;H5 CPC S05 182;Bacillus sphaericus H5 CPC S05 182;;CPC S05 182;;;;;;
Bacillus;Bacillus sphaericus;H5 CPC S05 183;Bacillus sphaericus H5 CPC S05 183;;CPC S05 183;;;;;;
Bacillus;Bacillus sphaericus;H5 CPC S05 185;Bacillus sphaericus H5 CPC S05 185;;CPC S05 185;;;;;;
Bacillus;Bacillus sphaericus;H5 CPC S05 186;Bacillus sphaericus H5 CPC S05 186;;CPC S05 186;;;;;;
Bacillus;Bacillus sphaericus;H5 CPC S05 187;Bacillus sphaericus H5 CPC S05 187;;CPC S05 187;;;;;;
Bacillus;Bacillus sphaericus;H5 CPC S05 188;Bacillus sphaericus H5 CPC S05 188;;CPC S05 188;;;;;;
Bacillus;Bacillus sphaericus;H5 CPC S05 189;Bacillus sphaericus H5 CPC S05 189;;CPC S05 189;;;;;;
Bacillus;Bacillus sphaericus;H5 CPC S05 190;Bacillus sphaericus H5 CPC S05 190;;CPC S05 190;;;;;;
Bacillus;Bacillus sphaericus;H5 CPC S05 191;Bacillus sphaericus H5 CPC S05 191;;CPC S05 191;;;;;;
Bacillus;Bacillus sphaericus;H5 CPC S05 192;Bacillus sphaericus H5 CPC S05 192;;CPC S05 192;;;;;;
Bacillus;Bacillus sphaericus;H5 CPC S05 193;Bacillus sphaericus H5 CPC S05 193;;CPC S05 193;;;;;;
Bacillus;Bacillus sphaericus;H5 CPC S05 194;Bacillus sphaericus H5 CPC S05 194;;CPC S05 194;;;;;;
Bacillus;Bacillus sphaericus;H5 CPC S05 195;Bacillus sphaericus H5 CPC S05 195;;CPC S05 195;;;;;;
Bacillus;Bacillus sphaericus;H5 CPC S05 196;Bacillus sphaericus H5 CPC S05 196;;CPC S05 196;;;;;;
Bacillus;Bacillus sphaericus;H5 CPC S05 197;Bacillus sphaericus H5 CPC S05 197;;CPC S05 197;;;;;;
Bacillus;Bacillus sphaericus;H5 CPC S05 198;Bacillus sphaericus H5 CPC S05 198;;CPC S05 198;;;;;;
Bacillus;Bacillus sphaericus;H5 CPC S05 199;Bacillus sphaericus H5 CPC S05 199;;CPC S05 199;;;;;;
Bacillus;Bacillus sphaericus;H5 CPC S05 202;Bacillus sphaericus H5 CPC S05 202;;CPC S05 202;;;;;;
Bacillus;Bacillus sphaericus;H5 CPC S05 203;Bacillus sphaericus H5 CPC S05 203;;CPC S05 203;;;;;;
Bacillus;Bacillus sphaericus;H5 CPC S05 204;Bacillus sphaericus H5 CPC S05 204;;CPC S05 204;;;;;;
Bacillus;Bacillus sphaericus;H5 CPC S05 205;Bacillus sphaericus H5 CPC S05 205;;CPC S05 205;;;;;;
Bacillus;Bacillus sphaericus;H5 CPC S05 206;Bacillus sphaericus H5 CPC S05 206;;CPC S05 206;;;;;;
Bacillus;Bacillus sphaericus;H5 CPC S05 212;Bacillus sphaericus H5 CPC S05 212;;CPC S05 212;;;;;;
Bacillus;Bacillus sphaericus;H5 CPC S05 213;Bacillus sphaericus H5 CPC S05 213;;CPC S05 213;;;;;;
Bacillus;Bacillus sphaericus;H5 CPC S05 217;Bacillus sphaericus H5 CPC S05 217;;CPC S05 217;;;;Soil, forests;;
Bacillus;Bacillus sphaericus;H5 CPC S05 221;Bacillus sphaericus H5 CPC S05 221;;CPC S05 221;;;;Soil;;
Bacillus;Bacillus sphaericus;H5 CPC S05 222;Bacillus sphaericus H5 CPC S05 222;;CPC S05 222;;;;Soil;;
Bacillus;Bacillus sphaericus;H5 CPC S05 223;Bacillus sphaericus H5 CPC S05 223;;CPC S05 223;;;;Soil;;
Bacillus;Bacillus sphaericus;H5 CPC S05 224;Bacillus sphaericus H5 CPC S05 224;;CPC S05 224;;;;sol;;
Bacillus;Bacillus sphaericus;H5 CPC S05 225;Bacillus sphaericus H5 CPC S05 225;;CPC S05 225;;;;Soil;;
Bacillus;Bacillus sphaericus;H5 CPC S05 226;Bacillus sphaericus H5 CPC S05 226;;CPC S05 226;;;;Soil;;
Bacillus;Bacillus sphaericus;H5 CPC S05 227;Bacillus sphaericus H5 CPC S05 227;;CPC S05 227;;;;Soil;;
Bacillus;Bacillus sphaericus;H5 CPC S05 228;Bacillus sphaericus H5 CPC S05 228;;CPC S05 228;;;;Soil;;
Bacillus;Bacillus sphaericus;H5 CPC S05 229;Bacillus sphaericus H5 CPC S05 229;;CPC S05 229;;;;Mud;;
Bacillus;Bacillus sphaericus;H5 CPC S05 230;Bacillus sphaericus H5 CPC S05 230;;CPC S05 230;;;;Water;;
Bacillus;Bacillus sphaericus;H5 CPC S05 231;Bacillus sphaericus H5 CPC S05 231;;CPC S05 231;;;;Mud;;
Bacillus;Bacillus sphaericus;H5 CPC S05 232;Bacillus sphaericus H5 CPC S05 232;;CPC S05 232;;;;Soil;;
Bacillus;Bacillus sphaericus;H5 CPC S05 233;Bacillus sphaericus H5 CPC S05 233;;CPC S05 233;;;;Soil;;
Bacillus;Bacillus sphaericus;H5 CPC S05 234;Bacillus sphaericus H5 CPC S05 234;;CPC S05 234;;;;Soil;;
Bacillus;Bacillus sphaericus;H5 CPC S05 236;Bacillus sphaericus H5 CPC S05 236;;CPC S05 236;;;;Sand;;
Bacillus;Bacillus sphaericus;H5 CPC S05 237;Bacillus sphaericus H5 CPC S05 237;;CPC S05 237;;;;Sand;;
Bacillus;Bacillus sphaericus;H5 CPC S05 238;Bacillus sphaericus H5 CPC S05 238;;CPC S05 238;;;;Soil;;
Bacillus;Bacillus sphaericus;H5 CPC S05 239;Bacillus sphaericus H5 CPC S05 239;;CPC S05 239;;;;Soil;;
Bacillus;Bacillus sphaericus;H5 CPC S05 240;Bacillus sphaericus H5 CPC S05 240;;CPC S05 240;;;;Soil;;
Bacillus;Bacillus sphaericus;H5 CPC S05 241;Bacillus sphaericus H5 CPC S05 241;;CPC S05 241;;;;Sand;;
Bacillus;Bacillus sphaericus;H5 CPC S05 242;Bacillus sphaericus H5 CPC S05 242;;CPC S05 242;;;;Mud;;
Bacillus;Bacillus sphaericus;H5 CPC S05 243;Bacillus sphaericus H5 CPC S05 243;;CPC S05 243;;;;Soil;;
Bacillus;Bacillus sphaericus;H5 CPC S05 246;Bacillus sphaericus H5 CPC S05 246;;CPC S05 246;;;;;;
Bacillus;Bacillus sphaericus;H5 CPC S05 247;Bacillus sphaericus H5 CPC S05 247;;CPC S05 247;;;;Polluted water;;
Bacillus;Bacillus sphaericus;H5 CPC S05 248;Bacillus sphaericus H5 CPC S05 248;;CPC S05 248;;;;Soil;;
Bacillus;Bacillus sphaericus;H5 CPC S05 249;Bacillus sphaericus H5 CPC S05 249;;CPC S05 249;;;;Soil;;
Bacillus;Bacillus sphaericus;H5 CPC S05 250;Bacillus sphaericus H5 CPC S05 250;;CPC S05 250;;;;Water;;
Bacillus;Bacillus sphaericus;H5 CPC S05 251;Bacillus sphaericus H5 CPC S05 251;;CPC S05 251;;;;Soil;;
Bacillus;Bacillus sphaericus;H5 CPC S05 253;Bacillus sphaericus H5 CPC S05 253;;CPC S05 253;;;;Water withdrawals;;
Bacillus;Bacillus sphaericus;H5 CPC S05 254;Bacillus sphaericus H5 CPC S05 254;;CPC S05 254;;;;Water withdrawals;;
Bacillus;Bacillus sphaericus;H5 CPC S05 256;Bacillus sphaericus H5 CPC S05 256;;CPC S05 256;;;;Soil;;
Bacillus;Bacillus sphaericus;H5 CPC S05 257;Bacillus sphaericus H5 CPC S05 257;;CPC S05 257;;;;Soil;;
Bacillus;Bacillus sphaericus;H5 CPC S05 258;Bacillus sphaericus H5 CPC S05 258;;CPC S05 258;;;;Soil;;
Bacillus;Bacillus sphaericus;H5 CPC S05 259;Bacillus sphaericus H5 CPC S05 259;;CPC S05 259;;;;Soil;;
Bacillus;Bacillus sphaericus;H5 CPC S05 260;Bacillus sphaericus H5 CPC S05 260;;CPC S05 260;;;;Soil;;
Bacillus;Bacillus sphaericus;H5 CPC S05 261;Bacillus sphaericus H5 CPC S05 261;;CPC S05 261;;;;Soil;;
Bacillus;Bacillus sphaericus;H5 CPC S05 262;Bacillus sphaericus H5 CPC S05 262;;CPC S05 262;;;;Soil;;
Bacillus;Bacillus sphaericus;H5 CPC S05 263;Bacillus sphaericus H5 CPC S05 263;;CPC S05 263;;;;Larvae, Simulium pertinax;;
Bacillus;Bacillus sphaericus;H5 S05 088;Bacillus sphaericus H5 S05 088;;S05 088;;;;Culex pipiens pipiens;;
Bacillus;Bacillus sphaericus;H6;Bacillus sphaericus H6;;;;;;insecte|larves de moustiques|sol sableux 20cm prof sous forêt palmier datier|eau courante oued|sol (épandage)|sol (épandage)|Melanoides sp. (burrow pit)|larve morte de Culex sp.|Anopheles gambiae (pool)|temporary pool|Jardin|water drain|loamy soil|Pupes de moustique mortes|adulte|larves de moustique|Earias fabia;;
Bacillus;Bacillus sphaericus;H6 CPC S06 001;Bacillus sphaericus H6 CPC S06 001;;CPC S06 001;;;;Psilla rosae;;
Bacillus;Bacillus sphaericus;H6 CPC S06 039;Bacillus sphaericus H6 CPC S06 039;;CPC S06 039;;;;Soils, forests;;
Bacillus;Bacillus sphaericus;H6 CPC S06 040;Bacillus sphaericus H6 CPC S06 040;;CPC S06 040;;;;Soil, parks;;
Bacillus;Bacillus sphaericus;H6 CPC S06 041;Bacillus sphaericus H6 CPC S06 041;;CPC S06 041;;;;Soil;;
Bacillus;Bacillus sphaericus;H6 CPC S06 042;Bacillus sphaericus H6 CPC S06 042;;CPC S06 042;;;;Soil;;
Bacillus;Bacillus sphaericus;H6 CPC S06 043;Bacillus sphaericus H6 CPC S06 043;;CPC S06 043;;;;Soil;;
Bacillus;Bacillus sphaericus;H6 CPC S06 046;Bacillus sphaericus H6 CPC S06 046;;CPC S06 046;;;;;;
Bacillus;Bacillus sphaericus;H7;Bacillus sphaericus H7;;CPC S07 001;;;;;;
Bacillus;Bacillus sphaericus;H8;Bacillus sphaericus H8;;;;;;Glossines;;
Bacillus;Bacillus sphaericus;H9;Bacillus sphaericus H9;;;;;;larves de moustiques|larves de moustiques;;
Bacillus;Bacillus sphaericus;H9A;Bacillus sphaericus H9A;;;;;;gîte larvaire;;
Bacillus;Bacillus sphaericus;H9 CPC S09 011;Bacillus sphaericus H9 CPC S09 011;;CPC S09 011;;;;Soil;;
Bacillus;Bacillus sphaericus;H9 CPC S09 012;Bacillus sphaericus H9 CPC S09 012;;CPC S09 012;;;;Water drainage;;
Bacillus;Bacillus sphaericus;H9 CPC S09 013;Bacillus sphaericus H9 CPC S09 013;;CPC S09 013;;;;Soil;;
Bacillus;Bacillus sphaericus;H9;Bacillus sphaericus H9 H9;;;;;;larve de moustique|sol;;
Bacillus;Bacillus sphaericus;SPH-88;Bacillus sphaericus SPH-88;;;;;;Simulium damnosum adultes;;
Bacillus;Bacillus sporothermodurans;;Bacillus sporothermodurans;yes;DSM 10599|LMG 17894|MB 581;30;Int. J. Syst. Bacteriol., 1996, 46, 759|Int. J. Syst. Bacteriol., 1996, 46, 1191|Int. J. Syst. Evol. Microbiol., 2012, 62, 307-314|Int. J. Syst. Evol. Microbiol., 2012, 62, 1020.;;Milk;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=29
Bacillus;Bacillus subtilis;;Bacillus subtilis;;;30;Ann. Inst. Pasteur, 1962, 103, 876|Proc. Soc. Exper. Biol. Med., 1960, 105, 131.|J. Gen. Microbiol., 1979, 110, 365-379.;;Human, lesion|Table;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72|https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3|https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72|https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3|https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72|https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3
Bacillus;Bacillus subtilis;ATCC 19659;Bacillus subtilis ATCC 19659;;ATCC 19659|IFO 13722;30;J. Assoc. Offic. Anal. Chemists, 1966, 49, 721.;;;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3
Bacillus;Bacillus subtilis;ATCC 8188;Bacillus subtilis ATCC 8188;;ATCC 8188|NCTC 2122;30;C.R. Soc. Biol., 1925, 92, 72.;;Cantal cheese;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3
Bacillus;Bacillus subtilis;ATCC 82;Bacillus subtilis ATCC 82;;ATCC 82|ATCC 8037;30;US Dep. Agric. Monogr., 1952, 16, 76.;;;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3
Bacillus;Bacillus subtilis;CPC CIMB 05-2416;Bacillus subtilis CPC CIMB 05-2416;;CPC CIMB 05-2416;30;;;Human, articular fluid;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=1048
Bacillus;Bacillus subtilis;DSM 2277;Bacillus subtilis DSM 2277;;DSM 2277|NCTC 10073|NCIMB 8649;30;Int. J. Syst. Evol. Microbiol., 2001, 51, 35-37.;;;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3
Bacillus;Bacillus subtilis;spizizenii DSM 618;Bacillus subtilis spizizenii DSM 618;;DSM 618;30;Tijdschr. Diergeneesk., 1974, 99, 1155-1161.;;;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Bacillus;Bacillus subtilis;spizizenii NRRL B-14820;Bacillus subtilis spizizenii NRRL B-14820;;NRRL B-14820;30;Int. J. Syst. Bacteriol., 1999, 49, 1211.;;Prototroph, revertant of BG23, strain W23;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3
Bacillus;Bacillus subtilis;spizizenii NRRL B-23064;Bacillus subtilis spizizenii NRRL B-23064;;NRRL B-23064;30;Int. J. Syst. Bacteriol., 1999, 49, 1211.;;Soil;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3
Bacillus;Bacillus subtilis;spizizenii DSM 15029;Bacillus subtilis spizizenii spizizenii DSM 15029;yes;NRRL B-23049|DSM 15029;30;Int. J. Syst. Bacteriol., 1999, 49, 1211|Int. J. Syst. Bacteriol., 1999, 49, 1328.;;Soil;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3
Bacillus;Bacillus subtilis;spizizenii DSM 347;Bacillus subtilis spizizenii spizizenii DSM 347;;ATCC 6633|DSM 347|IAM 1069|IFO 3134|IMET 10880|JCM 2499|NCDO 1733|NCTC 10400|NCIMB 8054|CCM 1999|LMG 8197|WDCM 00003|CECT 356;30;In Analytical Microbiol. F. Kavanagh. Academic Press, New York, 1963, 286|Antibiot. Chemother., 1959, 9, 613|Appl. Microbiol., 1970, 19, 573|J. Infect. Dis., 1974, 129, S156|Arch. Microbiol., 1976, 110, 49|J. Antimicrob. Chemother., 1994, 34, 425.;;;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Bacillus;Bacillus subtilis;subtilis;Bacillus subtilis subtilis;;;30;Nature, 1997, 390, 249|PNAS, 1958, 44, 1072|J. Bacteriol., 1961, 81, 741.|J. Bacteriol., 1961, 81, 741-746.submitted|J. Gen. Microbiol., 1979, 112, 269-281.|J. Gen. Microbiol., 1979, 110, 381-392.|J. Gen. Microbiol., 1979, 112, 283-296.|J. Gen. Microbiol., 1979, 110, 365-379.;;Human, sinus|Human, catheter|Strain 168, C. Anagnostopoulos|Tobacco|Cornstarch;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72|https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3|https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72|https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=30
Bacillus;Bacillus subtilis;subtilis ATCC 4529;Bacillus subtilis subtilis ATCC 4529;;ATCC 4529|NRRL: NRS-1004;30;J. Bacteriol., 1916, 1, 493.;;;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Bacillus;Bacillus subtilis;subtilis ATCC 8190;Bacillus subtilis subtilis ATCC 8190;;ATCC 8190|NCTC 2118;30;;;;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Bacillus;Bacillus subtilis;subtilis ATCC 9466;Bacillus subtilis subtilis ATCC 9466;;ATCC 9466|IAM 1026|NCDO 737|NCIMB 8159;30;J. Bacteriol., 1945, 49, 411|Sci., 1945, 101, 365.;;;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Bacillus;Bacillus subtilis;subtilis ATCC 9524;Bacillus subtilis subtilis ATCC 9524;;ATCC 9524;30;J. Bacteriol., 1943, 45, 408|J. Bacteriol., 1944, 47, 43.;;;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Bacillus;Bacillus subtilis;subtilis NCIMB 13061;Bacillus subtilis subtilis NCIMB 13061;;NCIMB 13061|NCTC 5398|WDCM 00070|CECT 8266|LMG 17728;30;Chemy Ind., 1938, 57, 808|Chemy Ind., 1938, 57, 827|Chemy Ind., 1938, 57, 914|Int. J. Syst. Bacteriol., 1999, 49, 1211-1215.;;Can of veal prepared for the Parry Arctic Expedition between 1820 and 1830;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Bacillus;Bacillus subtilis;subtilis NCTC 2116;Bacillus subtilis subtilis NCTC 2116;;NCTC 2116;30;;;;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Bacillus;Bacillus subtilis;subtilis NCTC 2117;Bacillus subtilis subtilis NCTC 2117;;NCTC 2117;30;;;;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Bacillus;Bacillus subtilis;subtilis NCTC 2119;Bacillus subtilis subtilis NCTC 2119;;NCTC 2119;30;;;;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Bacillus;Bacillus subtilis;subtilis NCTC 2121;Bacillus subtilis subtilis NCTC 2121;;NCTC 2121;30;;;;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Bacillus;Bacillus subtilis;subtilis NCTC 2123;Bacillus subtilis subtilis NCTC 2123;;NCTC 2123;30;;;;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Bacillus;Bacillus subtilis;subtilis DSM 10;Bacillus subtilis subtilis subtilis DSM 10;yes;ATCC 6051|CCM 2216|DSM 10|IAM 12118|IMET 10758|JCM 1465|LMG 7135|NCDO 1769|NCTC 3610|NCIMB 3610;30;Int. J. Syst. Bacteriol., 1980, 30, 258|Int. J. Syst. Bacteriol., 1999, 49, 1211.Int. J. Syst. Bacteriol., 1999, 49, 1328|J. Gen. Microbiol., 1950, 4, 38|J. Gen. Microbiol., 1953, 8, 481|J. Gen. Microbiol., 1957, 16, 1|J. Gen. Microbiol., 1964, 34, 270|Dev. Ind. Microbiol., 1979, 20, 25|Biochem., 1958, 69, 403|Biochem. Biophys. Acta, 1963, 76, 410|J. Amer. Med. Assoc., 1961, 178, 863|J. Bacteriol., 1937, 33, 445|J. Infect. Dis., 1930, 46, 341|Zentralbl. Bakteriol., 1935, 92, 481|J. Clin. Microbiol., 1980, 11, 740-742|J. Clin. Microbiol., 1995, 33, 787|Antonie van Leeuwenhoek, 1993, 64, 253.;;;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Bacillus;Bacillus subtilis;subtilis DSM 2109;Bacillus subtilis subtilis subtilis DSM 2109;;ATCC 11774|DSM 2109|NCTC 8236|NCIMB 8739;30;;;;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Bacillus;Bacillus subtilis;subtilis NCTC 2590;Bacillus subtilis subtilis subtilis NCTC 2590;;NCTC 2590;30;;;;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Bacillus;Bacillus taeanensis;;Bacillus taeanensis;yes;DSM 16466|KCTC 3918;30;Int. J. Syst. Evol. Microbiol., 2006, 56, 2903-2908|Int. J. Syst. Evol. Microbiol., 2007, 57, 435-436.;;Soil, solar saltern;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=13
Bacillus;Bacillus tequilensis;;Bacillus tequilensis;yes;ATCC BAA-819|NCTC 13306|NRRL B-41771|KCTC 13622;30;Int. J. Syst. Evol. Microbiol., 2006, 56, 1475-1484|Int. J. Syst. Evol. Microbiol., 2006, 56, 2251-2252.;;Soil sample from a shaft tomb;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Bacillus;Bacillus thermoamylovorans;;Bacillus thermoamylovorans;;CPC CIMB 04-2845;30;;;Human, blood;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=1048
Bacillus;Bacillus thioparans;;Bacillus thioparans;yes;CECT 7196|BM-B-436;25;FEMS Microbiol. Lett., 2007, 271, 289-296|Int. J. Syst. Evol. Microbiol., 2007, 57, 1933-1934.;;Wastewater;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Bacillus;Bacillus thuringiensis;;Bacillus thuringiensis;;;30;C.R. Acad. Sci., 1951, 233, 1504.;;Soil, pinus halepensis forest|Polluted soil, industrial rejections|Rice, seeds|Silo, grains of wheat|Seeds, chickpea|Rice, seeds|Silk moth;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72|https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3
Bacillus;Bacillus thuringiensis;ATCC 19268;Bacillus thuringiensis ATCC 19268;;ATCC 19268;30;;;Indian meal moth;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3
Bacillus;Bacillus thuringiensis;CIP 200206;Bacillus thuringiensis CIP 200206;;CIP 200206;30;;;;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Bacillus;Bacillus thuringiensis;DSM 2046;Bacillus thuringiensis DSM 2046;yes;ATCC 10792|CCM 19|CCUG 7429|DSM 2046|IAM 12077|LMG 7138|NCDO 1146|NCIMB 9134;30;Int. J. Syst. Bacteriol., 1980, 30, 258|Int. J. Syst. Bacteriol., 1995, 45, 443.;;Mediterranean flour moth;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Bacillus;Bacillus thuringiensis;israelensis IPS-82;Bacillus thuringiensis israelensis IPS-82;;;30;;;;;
Bacillus;Bacillus toyonensis;;Bacillus toyonensis;;;30;;;Egg;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3
Bacillus;Bacillus tropicus;;Bacillus tropicus;yes;LMG 28874|MCCC 1A1406|KCTC 33711;30;Int. J. Syst. Evol. Microbiol., 2017, 67, 2499-2508|Int. J. Syst. Evol. Microbiol., 2017, 67, 4294-4297.;;Sediments;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Bacillus;Bacillus vallismortis;;Bacillus vallismortis;yes;NRRL B-14890;30;Int. J. Syst. Bacteriol., 1996, 46, 470|Int. J. Syst. Bacteriol., 1996, 46, 838.;;Soil, sand dune;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3
Bacillus;Bacillus vedderi;;Bacillus vedderi;yes;DSM 9768;30;System. Appl. Microbiol., 1995, 18, 221.;;Bauxite-processing waste;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=113
Bacillus;Bacillus vietnamensis;;Bacillus vietnamensis;yes;JCM 11124|NRIC 0531|NRRL B-23890|HSCC 1663;30;Int. J. Syst. Evol. Microbiol., 2004, 54, 2117-2120|Int. J. Syst. Evol. Microbiol., 2005, 55, 551-554.;;Fish, sauce;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Bacillus;Bacillus vireti;;Bacillus vireti;yes;DSM 15602|LMG 21834;30;Int. J. Syst. Evol. Microbiol., 2004, 54, 47-57|Int. J. Syst. Evol. Microbiol., 2004, 54, 633-634.;;Soil;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Bacillus;Bacillus viscosus;;Bacillus viscosus;;ATCC 51156;30;;;Soil;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=3
Bacillus;Bacillus wakoensis;;Bacillus wakoensis;yes;JCM 9140|ATCC 21832|DSM 2521|FERM 1138;37;Int. J. Syst. Evol. Microbiol., 2005, 55, 2309-2315|Int. J. Syst. Evol. Microbiol., 2006, 56, 319-321.;;Soil;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=291
Bacillus;Bacillus wiedmannii;;Bacillus wiedmannii;yes;DSM 102050|LMG 29269;30;Int. J. Syst. Evol. Microbiol., 2016, 66, 4744-4753|Int. J. Syst. Evol. Microbiol., 2017, 67, 179-182.;;Raw milk stored in a dairy powder processing plant;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Bacillus;Bacillus zeae;;Bacillus zeae;yes;;30;Int. J. Syst. Evol. Microbiol., 2017, 67, 1241-1246|Int. J. Syst. Evol. Microbiol., 2017, 67, 2495-2498.;;Maize (Zea mays) rhizosphere;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=72
Bacillus;Bacillus zvezdaensis;;Bacillus zvezdaensis;yes;;37;;;International Space Station, Russian Zvezda module interior;aerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=45
Bacteroides;Bacteroides caccae;;Bacteroides caccae;yes;ATCC 43185|CCUG 38735;37;Int. J. Syst. Bacteriol., 1978, 28, 245|Int. J. Syst. Bacteriol., 1978, 28, 257|Int. J. Syst. Bacteriol., 1986, 36, 499.;;Human, feces;anaerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=20
Bacteroides;Bacteroides eggerthii;;Bacteroides eggerthii;yes;ATCC 27754|CCUG 9559|DSM 20697|NCTC 11155;37;Int. J. Syst. Bacteriol., 1980, 30, 259|Int. J. Syst. Bacteriol., 1974, 24, 260|Int. J. Syst. Bacteriol., 1978, 28, 245.;;Human, feces;anaerobic;https://catalogue-crbip.pasteur.fr/fiche_milieu.xhtml?crbip=20
