locus_tag	ftype	length_bp	gene	EC_number	COG	product
JKMCHIPE_00342	CDS	1611			COG3559	Multidrug efflux system permease protein
JKMCHIPE_00343	CDS	882		7.6.2.-	COG1131	Multidrug efflux system ATP-binding protein
JKMCHIPE_00344	CDS	600	betI			HTH-type transcriptional regulator BetI
JKMCHIPE_00345	CDS	1302				hypothetical protein
JKMCHIPE_00346	CDS	1257	tyrS1	6.1.1.1	COG0162	Tyrosine--tRNA ligase 1
JKMCHIPE_00347	CDS	1878	hdc_2	4.1.1.22		Histidine decarboxylase
JKMCHIPE_00348	CDS	1422	gadC_2		COG0531	putative glutamate/gamma-aminobutyrate antiporter
JKMCHIPE_00349	CDS	1368	nhaC_1		COG1757	Na(+)/H(+) antiporter NhaC
JKMCHIPE_00350	CDS	1020	ccpA_1		COG1609	Catabolite control protein A
JKMCHIPE_00351	CDS	1008	mro_1	5.1.3.3	COG2017	Aldose 1-epimerase
JKMCHIPE_00352	CDS	666	pgmB	5.4.2.6	COG0637	Beta-phosphoglucomutase
JKMCHIPE_00353	CDS	2295	malP	2.4.1.8		Maltose phosphorylase
JKMCHIPE_00354	CDS	2166	ptsG_1	2.7.1.199	COG1263	PTS system glucose-specific EIICBA component
JKMCHIPE_00355	CDS	834	mapP	3.1.3.90		Maltose 6'-phosphate phosphatase
JKMCHIPE_00356	CDS	1662				hypothetical protein
JKMCHIPE_00357	CDS	1161				hypothetical protein
JKMCHIPE_00358	CDS	444	yiaC	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YiaC
JKMCHIPE_00359	CDS	531	padC	4.1.1.102	COG3479	Phenolic acid decarboxylase PadC
JKMCHIPE_00360	CDS	552				hypothetical protein
JKMCHIPE_00361	CDS	474				hypothetical protein
JKMCHIPE_00362	CDS	1473	emrB			Multidrug export protein EmrB
JKMCHIPE_00363	CDS	711				hypothetical protein
JKMCHIPE_00364	CDS	285				hypothetical protein
JKMCHIPE_00365	CDS	420				hypothetical protein
JKMCHIPE_00366	CDS	585	ecdB	2.5.1.129	COG0163	putative UbiX-like flavin prenyltransferase
JKMCHIPE_00367	CDS	1476	lpdC	4.1.1.59	COG0043	Gallate decarboxylase
JKMCHIPE_00368	CDS	312				hypothetical protein
JKMCHIPE_00369	CDS	2337	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
JKMCHIPE_00370	CDS	669	hssR			Heme response regulator HssR
JKMCHIPE_00371	CDS	1044	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
JKMCHIPE_00372	CDS	882	gltC_1			HTH-type transcriptional regulator GltC
JKMCHIPE_00373	CDS	729	ydfK		COG1811	putative membrane protein YdfK
JKMCHIPE_00374	CDS	318				hypothetical protein
JKMCHIPE_00375	CDS	609				hypothetical protein
JKMCHIPE_00376	CDS	831				hypothetical protein
JKMCHIPE_00377	CDS	489				hypothetical protein
JKMCHIPE_00378	CDS	873				hypothetical protein
JKMCHIPE_00379	CDS	363				hypothetical protein
JKMCHIPE_00380	CDS	753	bceA_1		COG1136	Bacitracin export ATP-binding protein BceA
JKMCHIPE_00381	CDS	1803	bceB_1		COG0577	Bacitracin export permease protein BceB
JKMCHIPE_00382	CDS	1041	mro_2	5.1.3.3	COG2017	Aldose 1-epimerase
JKMCHIPE_00383	CDS	2145				hypothetical protein
JKMCHIPE_00384	CDS	1374	bglF_2		COG1263	PTS system beta-glucoside-specific EIIBCA component
JKMCHIPE_00385	CDS	396	rbsD	5.4.99.62	COG1869	D-ribose pyranase
JKMCHIPE_00386	CDS	918	rbsK	2.7.1.15		Ribokinase
JKMCHIPE_00387	CDS	1014	degA_2		COG1609	HTH-type transcriptional regulator DegA
JKMCHIPE_00388	CDS	600	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
JKMCHIPE_00389	CDS	702			COG1136	putative ABC transporter ATP-binding protein
JKMCHIPE_00390	CDS	2712				hypothetical protein
JKMCHIPE_00391	CDS	1629	treA	3.2.1.93	COG0366	Trehalose-6-phosphate hydrolase
JKMCHIPE_00392	CDS	1182				hypothetical protein
JKMCHIPE_00393	CDS	1524				hypothetical protein
JKMCHIPE_00394	CDS	729	agrA_1		COG3279	Accessory gene regulator protein A
JKMCHIPE_00395	CDS	1281				hypothetical protein
JKMCHIPE_00396	CDS	111				hypothetical protein
JKMCHIPE_00397	CDS	603	agrB	3.4.-.-	COG4512	Accessory gene regulator protein B
JKMCHIPE_00398	CDS	207				hypothetical protein
JKMCHIPE_00399	CDS	708		2.7.1.113	COG1428	Deoxyguanosine kinase
JKMCHIPE_00400	CDS	684				hypothetical protein
JKMCHIPE_00401	CDS	2187	yjcD	3.6.4.12	COG0210	Putative ATP-dependent DNA helicase YjcD
JKMCHIPE_00402	CDS	411	spxA_1		COG1393	Regulatory protein Spx
JKMCHIPE_00403	CDS	357	spxA_2		COG1393	Regulatory protein Spx
JKMCHIPE_00404	rRNA	1558				16S ribosomal RNA
JKMCHIPE_00405	rRNA	2911				23S ribosomal RNA
JKMCHIPE_00406	rRNA	111				5S ribosomal RNA
JKMCHIPE_00407	CDS	471	bsaA			Glutathione peroxidase BsaA
JKMCHIPE_00408	CDS	459	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
JKMCHIPE_00409	CDS	1146	metB	2.5.1.48	COG0626	Cystathionine gamma-synthase
JKMCHIPE_00410	CDS	918	cysM	2.5.1.47	COG0031	Cysteine synthase
JKMCHIPE_00411	CDS	564	efp			Elongation factor P
JKMCHIPE_00412	CDS	1260	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
JKMCHIPE_00413	CDS	801	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
JKMCHIPE_00414	CDS	882	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
JKMCHIPE_00415	CDS	717	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
JKMCHIPE_00416	CDS	696	dapH_2	2.3.1.89	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
JKMCHIPE_00417	CDS	1002	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
JKMCHIPE_00418	CDS	1362	yclM	2.7.2.4	COG0527	Aspartokinase 3
JKMCHIPE_00419	CDS	1152	scmP	3.5.1.-	COG1473	N-acetylcysteine deacetylase
JKMCHIPE_00420	CDS	1170	dapX	2.6.1.-	COG0436	putative N-acetyl-LL-diaminopimelate aminotransferase
JKMCHIPE_00421	CDS	1380	npr_2	1.11.1.1	COG0446	NADH peroxidase
JKMCHIPE_00422	CDS	153				hypothetical protein
JKMCHIPE_00423	CDS	702				IS3 family transposase ISEfa10
JKMCHIPE_00424	CDS	669				hypothetical protein
JKMCHIPE_00425	CDS	387				hypothetical protein
JKMCHIPE_00426	CDS	1383	umuC		COG0389	Protein UmuC
JKMCHIPE_00427	CDS	1188	galK_2	2.7.1.6	COG0153	Galactokinase
JKMCHIPE_00428	CDS	1032	galM	5.1.3.3	COG2017	Aldose 1-epimerase
JKMCHIPE_00429	CDS	1455	lacS		COG2190	Lactose permease
JKMCHIPE_00430	CDS	906	rhaS_2			HTH-type transcriptional activator RhaS
JKMCHIPE_00431	CDS	678	kefG	1.6.5.2		Glutathione-regulated potassium-efflux system ancillary protein KefG
JKMCHIPE_00432	CDS	171				hypothetical protein
JKMCHIPE_00433	CDS	897				hypothetical protein
JKMCHIPE_00434	CDS	1371	yifK		COG1113	putative transport protein YifK
JKMCHIPE_00435	CDS	747	scaC	7.2.2.5	COG1121	Manganese import ATP-binding protein ScaC
JKMCHIPE_00436	CDS	840	mntB			Manganese transport system membrane protein MntB
JKMCHIPE_00437	CDS	951	ssaB		COG0803	Manganese ABC transporter substrate-binding lipoprotein
JKMCHIPE_00438	CDS	753				hypothetical protein
JKMCHIPE_00439	CDS	1152	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
JKMCHIPE_00440	CDS	609				hypothetical protein
JKMCHIPE_00441	CDS	1638	pckA	4.1.1.49		Phosphoenolpyruvate carboxykinase (ATP)
JKMCHIPE_00442	CDS	1113	thiO	1.4.3.19		Glycine oxidase
JKMCHIPE_00443	CDS	1374	ribZ			Riboflavin transporter RibZ
JKMCHIPE_00444	CDS	618				hypothetical protein
JKMCHIPE_00445	CDS	456	argR_1			Arginine repressor
JKMCHIPE_00446	CDS	1503	algC	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
JKMCHIPE_00447	CDS	207				hypothetical protein
JKMCHIPE_00448	CDS	402	ohrB_2		COG1764	Organic hydroperoxide resistance protein OhrB
JKMCHIPE_00449	CDS	1332	rclA		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
JKMCHIPE_00450	CDS	627				hypothetical protein
JKMCHIPE_00451	CDS	582	acuR			Transcriptional regulator AcuR
JKMCHIPE_00452	CDS	576	yedK	3.4.-.-	COG2135	SOS response-associated protein YedK
JKMCHIPE_00453	CDS	339				hypothetical protein
JKMCHIPE_00454	CDS	231				hypothetical protein
JKMCHIPE_00455	CDS	342	mazF	3.1.27.-	COG2337	Endoribonuclease toxin MazF
JKMCHIPE_00456	CDS	186				hypothetical protein
JKMCHIPE_00457	CDS	291				IS3 family transposase IS1485
JKMCHIPE_00458	CDS	837				IS3 family transposase IS1485
JKMCHIPE_00459	CDS	195				hypothetical protein
JKMCHIPE_00460	CDS	831	ydbD_1	1.11.1.6	COG3546	putative manganese catalase
JKMCHIPE_00461	CDS	1335	araN		COG1653	putative arabinose-binding protein
JKMCHIPE_00462	CDS	912	lacF_2			Lactose transport system permease protein LacF
JKMCHIPE_00463	CDS	855	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
JKMCHIPE_00464	CDS	618				hypothetical protein
JKMCHIPE_00465	CDS	519				hypothetical protein
JKMCHIPE_00466	CDS	876				hypothetical protein
JKMCHIPE_00467	CDS	3519				hypothetical protein
JKMCHIPE_00468	CDS	1314				hypothetical protein
JKMCHIPE_00469	CDS	1698				hypothetical protein
JKMCHIPE_00470	CDS	894				hypothetical protein
JKMCHIPE_00471	CDS	675	graR		COG0745	Response regulator protein GraR
JKMCHIPE_00472	CDS	1026	graS	2.7.13.3	COG0642	Sensor histidine kinase GraS
JKMCHIPE_00473	CDS	867	glcU_1		COG4975	putative glucose uptake protein GlcU
JKMCHIPE_00474	CDS	1377	yhdG		COG0531	putative amino acid permease YhdG
JKMCHIPE_00475	CDS	1197				TelA-like protein
JKMCHIPE_00476	CDS	663				hypothetical protein
JKMCHIPE_00477	CDS	564	act	3.-.-.-		Methanol dehydrogenase activator
JKMCHIPE_00478	CDS	285				hypothetical protein
JKMCHIPE_00479	CDS	693	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
JKMCHIPE_00480	CDS	546	rutB	3.5.1.110		Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
JKMCHIPE_00481	CDS	615				hypothetical protein
JKMCHIPE_00482	CDS	2661				hypothetical protein
JKMCHIPE_00483	CDS	1908	pepO	3.4.24.-	COG3590	Neutral endopeptidase
JKMCHIPE_00484	CDS	876				hypothetical protein
JKMCHIPE_00485	CDS	975	prs2	2.7.6.1		Putative ribose-phosphate pyrophosphokinase 2
JKMCHIPE_00486	CDS	1137	iscS_1	2.8.1.7		Cysteine desulfurase IscS
JKMCHIPE_00487	CDS	345				hypothetical protein
JKMCHIPE_00488	CDS	1287				hypothetical protein
JKMCHIPE_00489	CDS	600	cpdA	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
JKMCHIPE_00490	CDS	1122	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
JKMCHIPE_00491	CDS	1422	arcD1_1		COG0531	Arginine/ornithine antiporter ArcD1
JKMCHIPE_00492	CDS	1119	vioD	4.2.1.145		Capreomycidine synthase
JKMCHIPE_00493	CDS	1293	sbnD_1			Staphyloferrin B transporter
JKMCHIPE_00494	CDS	561				hypothetical protein
JKMCHIPE_00495	CDS	378				hypothetical protein
JKMCHIPE_00496	CDS	1971	topB_1	5.6.2.1	COG0550	DNA topoisomerase 3
JKMCHIPE_00497	CDS	948	yfdH	2.4.1.-	COG0463	Prophage bactoprenol glucosyl transferase 
JKMCHIPE_00498	CDS	465	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase, constitutive
JKMCHIPE_00499	CDS	1044				hypothetical protein
JKMCHIPE_00500	CDS	966				hypothetical protein
JKMCHIPE_00501	CDS	846	cysL		COG0583	HTH-type transcriptional regulator CysL
JKMCHIPE_00502	CDS	1188	rodA	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase RodA
JKMCHIPE_00503	CDS	357	mgsR		COG1393	Regulatory protein MgsR
JKMCHIPE_00504	CDS	339	gcvH_1		COG0509	Glycine cleavage system H protein
JKMCHIPE_00505	CDS	1044	metN2	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN 2
JKMCHIPE_00506	CDS	687	metP_1		COG2011	Methionine import system permease protein MetP
JKMCHIPE_00507	CDS	849	metQ_1		COG1464	Methionine-binding lipoprotein MetQ
JKMCHIPE_00508	CDS	774				putative ABC transporter ATP-binding protein
JKMCHIPE_00509	CDS	1287				hypothetical protein
JKMCHIPE_00510	CDS	1236	sufS	2.8.1.7	COG0520	Cysteine desulfurase SufS
JKMCHIPE_00511	CDS	471	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
JKMCHIPE_00512	CDS	1392				hypothetical protein
JKMCHIPE_00513	CDS	348				hypothetical protein
JKMCHIPE_00514	CDS	1335				hypothetical protein
JKMCHIPE_00515	CDS	441				hypothetical protein
JKMCHIPE_00516	CDS	1194	xerC_1			Tyrosine recombinase XerC
JKMCHIPE_00517	CDS	198				hypothetical protein
JKMCHIPE_00518	CDS	1221				hypothetical protein
JKMCHIPE_00519	CDS	660				hypothetical protein
JKMCHIPE_00520	CDS	321				hypothetical protein
JKMCHIPE_00521	CDS	624				hypothetical protein
JKMCHIPE_00522	CDS	921				hypothetical protein
JKMCHIPE_00523	CDS	615				hypothetical protein
JKMCHIPE_00524	CDS	258				hypothetical protein
JKMCHIPE_00525	CDS	267				hypothetical protein
JKMCHIPE_00526	CDS	1704				hypothetical protein
JKMCHIPE_00527	CDS	3213	rapA_1	3.6.4.-		RNA polymerase-associated protein RapA
JKMCHIPE_00528	CDS	597				hypothetical protein
JKMCHIPE_00529	CDS	1839				hypothetical protein
JKMCHIPE_00530	CDS	924				hypothetical protein
JKMCHIPE_00531	CDS	576				hypothetical protein
JKMCHIPE_00532	CDS	3111				hypothetical protein
JKMCHIPE_00533	CDS	1362				hypothetical protein
JKMCHIPE_00534	CDS	1020				hypothetical protein
JKMCHIPE_00535	CDS	441				hypothetical protein
JKMCHIPE_00536	CDS	279				hypothetical protein
JKMCHIPE_00537	CDS	165				hypothetical protein
JKMCHIPE_00538	CDS	1497				hypothetical protein
JKMCHIPE_00539	CDS	3453				hypothetical protein
JKMCHIPE_00540	CDS	1422				hypothetical protein
JKMCHIPE_00541	CDS	1878				hypothetical protein
JKMCHIPE_00542	CDS	831				hypothetical protein
JKMCHIPE_00543	CDS	666				hypothetical protein
JKMCHIPE_00544	CDS	2037				hypothetical protein
JKMCHIPE_00545	CDS	354	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
JKMCHIPE_00546	CDS	912	prsA_1	5.2.1.8		Foldase protein PrsA
JKMCHIPE_00547	CDS	438				hypothetical protein
JKMCHIPE_00548	CDS	885		2.7.1.-	COG1597	Putative lipid kinase
JKMCHIPE_00549	CDS	3171				hypothetical protein
JKMCHIPE_00550	CDS	1029				hypothetical protein
JKMCHIPE_00551	CDS	759				hypothetical protein
JKMCHIPE_00552	CDS	741				hypothetical protein
JKMCHIPE_00553	CDS	1254				hypothetical protein
JKMCHIPE_00554	CDS	228				hypothetical protein
JKMCHIPE_00555	CDS	327				hypothetical protein
JKMCHIPE_00556	CDS	714	strA_1	3.4.22.-	COG3764	Sortase A
JKMCHIPE_00557	CDS	852	licT_1		COG3711	Transcription antiterminator LicT
JKMCHIPE_00558	CDS	150				hypothetical protein
JKMCHIPE_00559	CDS	1866	bglF_3		COG1263	PTS system beta-glucoside-specific EIIBCA component
JKMCHIPE_00560	CDS	1443	bglH_3	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
JKMCHIPE_00561	CDS	702	fadR			Fatty acid metabolism regulator protein
JKMCHIPE_00562	CDS	489	fruA_1		COG1299	PTS system fructose-specific EIIB'BC component
JKMCHIPE_00563	CDS	111				hypothetical protein
JKMCHIPE_00564	CDS	576	yvdD		COG1611	LOG family protein YvdD
JKMCHIPE_00565	CDS	441	DNPH1	3.2.2.-		2'-deoxynucleoside 5'-phosphate N-hydrolase 1
JKMCHIPE_00566	CDS	702		2.7.1.113	COG1428	Deoxyguanosine kinase
JKMCHIPE_00567	CDS	174				hypothetical protein
JKMCHIPE_00568	CDS	426				hypothetical protein
JKMCHIPE_00569	CDS	972	rbsR		COG1609	Ribose operon repressor
JKMCHIPE_00570	CDS	1398	gmuD_2	3.2.1.86	COG2723	6-phospho-beta-glucosidase GmuD
JKMCHIPE_00571	CDS	624				hypothetical protein
JKMCHIPE_00572	CDS	2094	ltaS1_1		COG1368	Lipoteichoic acid synthase 1
JKMCHIPE_00573	CDS	867				hypothetical protein
JKMCHIPE_00574	CDS	438	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
JKMCHIPE_00575	CDS	2649	mgtA	7.2.2.14	COG0474	Magnesium-transporting ATPase, P-type 1
JKMCHIPE_00576	CDS	672		3.1.3.-	COG0637	Phosphorylated carbohydrates phosphatase
JKMCHIPE_00577	CDS	600				hypothetical protein
JKMCHIPE_00578	CDS	1074	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
JKMCHIPE_00579	CDS	681	metP_2		COG2011	Methionine import system permease protein MetP
JKMCHIPE_00580	CDS	840	metQ_2		COG1464	D-methionine-binding lipoprotein MetQ
JKMCHIPE_00581	CDS	1224	abgB	3.5.1.-	COG1473	p-aminobenzoyl-glutamate hydrolase subunit B
JKMCHIPE_00582	CDS	1419	nhaC_2		COG1757	Na(+)/H(+) antiporter NhaC
JKMCHIPE_00583	CDS	444				hypothetical protein
JKMCHIPE_00584	CDS	1341	yvbW		COG1113	putative amino acid permease YvbW
JKMCHIPE_00585	CDS	897				hypothetical protein
JKMCHIPE_00586	CDS	942	panE_2	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
JKMCHIPE_00587	CDS	1122	garK_1	2.7.1.165	COG1929	Glycerate 2-kinase
JKMCHIPE_00588	CDS	1503	eat(A)			ABC-F type ribosomal protection protein Eat(A)
JKMCHIPE_00589	CDS	528	pspB	3.1.3.3	COG0406	Putative phosphoserine phosphatase 2
JKMCHIPE_00590	CDS	1062				hypothetical protein
JKMCHIPE_00591	CDS	897	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
JKMCHIPE_00592	CDS	1983				hypothetical protein
JKMCHIPE_00593	CDS	447			COG1780	Putative NrdI-like protein
JKMCHIPE_00594	CDS	1425	arcD1_2		COG0531	Arginine/ornithine antiporter ArcD1
JKMCHIPE_00595	CDS	774				hypothetical protein
JKMCHIPE_00596	CDS	906	bcrA_1			Bacitracin transport ATP-binding protein BcrA
JKMCHIPE_00597	CDS	321	gdx		COG2076	Guanidinium exporter
JKMCHIPE_00598	CDS	687				hypothetical protein
JKMCHIPE_00599	CDS	945				hypothetical protein
JKMCHIPE_00600	CDS	645	pcp	3.4.19.3		Pyrrolidone-carboxylate peptidase
JKMCHIPE_00601	CDS	1278				hypothetical protein
JKMCHIPE_00602	CDS	750	pnuC		COG3201	Nicotinamide riboside transporter PnuC
JKMCHIPE_00603	CDS	381				hypothetical protein
JKMCHIPE_00604	CDS	510				hypothetical protein
JKMCHIPE_00605	CDS	180				hypothetical protein
JKMCHIPE_00606	CDS	564				hypothetical protein
JKMCHIPE_00607	CDS	516				hypothetical protein
JKMCHIPE_00608	CDS	870	ywpJ_1	3.1.3.-	COG0561	Phosphatase YwpJ
JKMCHIPE_00609	CDS	681	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
JKMCHIPE_00610	CDS	981	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
JKMCHIPE_00611	CDS	474	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
JKMCHIPE_00612	CDS	525	mshD_1	2.3.1.189		Mycothiol acetyltransferase
JKMCHIPE_00613	CDS	534	polC_1	2.7.7.7	COG2176	DNA polymerase III PolC-type
JKMCHIPE_00614	CDS	753	exoA	3.1.11.2	COG0708	Exodeoxyribonuclease
JKMCHIPE_00615	CDS	921	yceM	1.-.-.-	COG0673	Putative oxidoreductase YceM
JKMCHIPE_00616	CDS	936	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
JKMCHIPE_00617	CDS	1479				hypothetical protein
JKMCHIPE_00618	CDS	2061				hypothetical protein
JKMCHIPE_00619	CDS	570	mshD_2	2.3.1.189		Mycothiol acetyltransferase
JKMCHIPE_00620	CDS	807				hypothetical protein
JKMCHIPE_00621	CDS	1515		1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
JKMCHIPE_00622	CDS	984		1.3.1.103		2-haloacrylate reductase
JKMCHIPE_00623	CDS	648	yhfK	4.-.-.-	COG0702	putative sugar epimerase YhfK
JKMCHIPE_00624	CDS	633	panT_1		COG4684	Pantothenic acid transporter PanT
JKMCHIPE_00625	CDS	552	coaBC_1		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
JKMCHIPE_00626	CDS	738	coaBC_2		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
JKMCHIPE_00627	CDS	990	acuI	1.3.1.84	COG0604	putative acrylyl-CoA reductase AcuI
JKMCHIPE_00628	CDS	543	puuR			HTH-type transcriptional regulator PuuR
JKMCHIPE_00629	CDS	1086	potA	7.6.2.11		Spermidine/putrescine import ATP-binding protein PotA
JKMCHIPE_00630	CDS	807	potB		COG1176	Spermidine/putrescine transport system permease protein PotB
JKMCHIPE_00631	CDS	828	ydcV			Inner membrane ABC transporter permease protein YdcV
JKMCHIPE_00632	CDS	1074	potD		COG0687	Spermidine/putrescine-binding periplasmic protein
JKMCHIPE_00633	CDS	954			COG2826	IS30 family transposase IS1252
JKMCHIPE_00634	CDS	1131	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
JKMCHIPE_00635	CDS	1614	cdr_2	1.8.1.14		Coenzyme A disulfide reductase
JKMCHIPE_00636	CDS	1935	yheS		COG0488	putative ABC transporter ATP-binding protein YheS
JKMCHIPE_00637	CDS	657	rex_1		COG2344	Redox-sensing transcriptional repressor Rex
JKMCHIPE_00638	CDS	354				hypothetical protein
JKMCHIPE_00639	CDS	930			COG0701	Putative two-component membrane permease complex subunit SMU_747c
JKMCHIPE_00640	CDS	843			COG3689	Putative two-component membrane permease complex subunit SMU_746c
JKMCHIPE_00641	CDS	198				hypothetical protein
JKMCHIPE_00642	CDS	582				hypothetical protein
JKMCHIPE_00643	CDS	480				hypothetical protein
JKMCHIPE_00644	CDS	753				hypothetical protein
JKMCHIPE_00645	tRNA	71				tRNA-Gly(ccc)
JKMCHIPE_00646	CDS	726	endA	3.1.30.-		DNA-entry nuclease
JKMCHIPE_00647	CDS	267				hypothetical protein
JKMCHIPE_00648	CDS	432	yrrK	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
JKMCHIPE_00649	CDS	303				hypothetical protein
JKMCHIPE_00650	CDS	837				hypothetical protein
JKMCHIPE_00651	CDS	420				hypothetical protein
JKMCHIPE_00652	CDS	1323	citS		COG3493	Citrate-sodium symporter
JKMCHIPE_00653	CDS	1641	mleS	4.1.1.101	COG0281	Malolactic enzyme
JKMCHIPE_00654	CDS	471				hypothetical protein
JKMCHIPE_00655	CDS	1104	hmo	1.1.3.46		4-hydroxymandelate oxidase
JKMCHIPE_00656	CDS	681				hypothetical protein
JKMCHIPE_00657	CDS	1035				hypothetical protein
JKMCHIPE_00658	CDS	336				hypothetical protein
JKMCHIPE_00659	CDS	2481				hypothetical protein
JKMCHIPE_00660	CDS	1509				hypothetical protein
JKMCHIPE_00661	CDS	1365	nox_1	1.6.99.3	COG0446	NADH oxidase
JKMCHIPE_00662	CDS	1071			COG0577	putative ABC transporter permease
JKMCHIPE_00663	CDS	669	hrtA	3.6.3.-	COG1136	Putative hemin import ATP-binding protein HrtA
JKMCHIPE_00664	CDS	579				hypothetical protein
JKMCHIPE_00665	CDS	912				hypothetical protein
JKMCHIPE_00666	CDS	918	rnhC	3.1.26.4	COG1039	Ribonuclease HIII
JKMCHIPE_00667	CDS	438	zapA			Cell division protein ZapA
JKMCHIPE_00668	CDS	549				hypothetical protein
JKMCHIPE_00669	CDS	2361	mutS2_2	3.1.-.-		Endonuclease MutS2
JKMCHIPE_00670	CDS	315	trxA		COG0526	Thioredoxin
JKMCHIPE_00671	CDS	1779	uvrC_1		COG0322	UvrABC system protein C
JKMCHIPE_00672	CDS	900	btuD_3	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
JKMCHIPE_00673	CDS	1263	yhaP		COG1668	putative protein YhaP
JKMCHIPE_00674	CDS	1899	fbp	3.1.3.11	COG3855	Fructose-1,6-bisphosphatase class 3
JKMCHIPE_00675	CDS	720	puuD	3.5.1.94	COG2071	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD
JKMCHIPE_00676	CDS	324				hypothetical protein
JKMCHIPE_00677	CDS	2004				hypothetical protein
JKMCHIPE_00678	CDS	471	ntpK			V-type sodium ATPase subunit K
JKMCHIPE_00679	CDS	585	atpE_1			V-type proton ATPase subunit E
JKMCHIPE_00680	CDS	987	ntpC			V-type sodium ATPase subunit C
JKMCHIPE_00681	CDS	312	ntpG			V-type sodium ATPase subunit G
JKMCHIPE_00682	CDS	1782	ntpA	7.2.2.1		V-type sodium ATPase catalytic subunit A
JKMCHIPE_00683	CDS	1377	ntpB			V-type sodium ATPase subunit B
JKMCHIPE_00684	CDS	636	ntpD			V-type sodium ATPase subunit D
JKMCHIPE_00685	CDS	1356	ntpJ_1			Potassium/sodium uptake protein NtpJ
JKMCHIPE_00686	CDS	1395	hisC	2.6.1.9		Histidinol-phosphate aminotransferase
JKMCHIPE_00687	CDS	972	lhpI	1.5.1.49	COG2423	Delta(1)-pyrroline-2-carboxylate reductase
JKMCHIPE_00688	CDS	783	yddE	5.1.-.-	COG0384	putative isomerase YddE
JKMCHIPE_00689	CDS	372	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
JKMCHIPE_00690	CDS	444	rppH	3.6.1.-		RNA pyrophosphohydrolase
JKMCHIPE_00691	CDS	810	yidA_2	3.1.3.23	COG0561	Sugar phosphatase YidA
JKMCHIPE_00692	CDS	1368				Deoxyguanosinetriphosphate triphosphohydrolase-like protein
JKMCHIPE_00693	CDS	831	lipL	2.3.1.204	COG0095	Octanoyl-[GcvH]:protein N-octanoyltransferase
JKMCHIPE_00694	CDS	438	ywiB		COG4506	putative beta-barrel protein YwiB
JKMCHIPE_00695	CDS	621	rpoE			putative DNA-directed RNA polymerase subunit delta
JKMCHIPE_00696	CDS	507	sigV		COG1595	RNA polymerase sigma factor SigV
JKMCHIPE_00697	CDS	900	rsiV			Anti-sigma-V factor RsiV
JKMCHIPE_00698	CDS	885	arnD	3.5.1.-		4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD
JKMCHIPE_00699	tRNA	74				tRNA-Arg(ccg)
JKMCHIPE_00700	CDS	846	rpoN1		COG1508	RNA polymerase sigma-54 factor 1
