# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	334757	339280	-							EII11_01400	4524		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	334757	339280	-	RRC96334.1			hypothetical protein			EII11_01400	4524	1507	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	339505	340329	+							EII11_01405	825		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	339505	340329	+	RRC96335.1			aldo/keto reductase			EII11_01405	825	274	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	340418	341449	-							EII11_01410	1032		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	340418	341449	-	RRC96336.1			glycosyltransferase			EII11_01410	1032	343	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	341622	341921	+							EII11_01415	300		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	341622	341921	+	RRC96337.1			hypothetical protein			EII11_01415	300	99	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	342057	343322	+							EII11_01420	1266		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	342057	343322	+	RRC96338.1			MFS transporter			EII11_01420	1266	421	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	343549	344916	-							EII11_01425	1368		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	343549	344916	-	RRC96567.1			alanine:cation symporter family protein			EII11_01425	1368	455	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	345182	347548	+					glgP		EII11_01430	2367		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	345182	347548	+	RRC96339.1			glycogen/starch/alpha-glucan family phosphorylase	glgP		EII11_01430	2367	788	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	347805	354383	-							EII11_01435	6579		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	347805	354383	-	RRC96340.1			hypothetical protein			EII11_01435	6579	2192	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	354656	356026	-							EII11_01440	1371		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	354656	356026	-	RRC96341.1			pyridine nucleotide-disulfide oxidoreductase			EII11_01440	1371	456	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	356119	356760	-							EII11_01445	642		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	356119	356760	-	RRC96342.1			hypothetical protein			EII11_01445	642	213	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	356767	357435	-							EII11_01450	669		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	356767	357435	-	RRC96343.1			hypothetical protein			EII11_01450	669	222	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	357735	358070	+							EII11_01455	336		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	357735	358070	+	RRC96344.1			VOC family protein			EII11_01455	336	111	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	358426	359055	-							EII11_01460	630		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	358426	359055	-	RRC96345.1			ABC-2 transporter permease			EII11_01460	630	209	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	359055	359897	-							EII11_01465	843		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	359055	359897	-	RRC96346.1			ABC transporter ATP-binding protein			EII11_01465	843	280	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	359890	360267	-							EII11_01470	378		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	359890	360267	-	RRC96347.1			GntR family transcriptional regulator			EII11_01470	378	125	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	360642	361382	-							EII11_01475	741		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	360642	361382	-	RRC96348.1			formylglycine-generating enzyme family protein			EII11_01475	741	246	
gene	tRNA	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	361583	361658	-							EII11_01480	76		
tRNA		GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	361583	361658	-				tRNA-Ala			EII11_01480	76		anticodon=GGC
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	361817	362188	-					rsfS		EII11_01485	372		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	361817	362188	-	RRC96568.1			ribosome silencing factor	rsfS		EII11_01485	372	123	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	362415	363014	-							EII11_01490	600		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	362415	363014	-	RRC96349.1			nicotinate-nucleotide adenylyltransferase			EII11_01490	600	199	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	363011	364327	-							EII11_01495	1317		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	363011	364327	-	RRC96350.1			glutamate-5-semialdehyde dehydrogenase			EII11_01495	1317	438	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	364423	365517	-							EII11_01500	1095		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	364423	365517	-	RRC96351.1			glutamate 5-kinase			EII11_01500	1095	364	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	365559	367079	-					obgE		EII11_01505	1521		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	365559	367079	-	RRC96352.1			GTPase ObgE	obgE		EII11_01505	1521	506	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	367187	367447	-							EII11_01510	261		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	367187	367447	-	RRC96353.1			50S ribosomal protein L27			EII11_01510	261	86	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	367485	367805	-					rplU		EII11_01515	321		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	367485	367805	-	RRC96354.1			50S ribosomal protein L21	rplU		EII11_01515	321	106	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	368048	370759	-							EII11_01520	2712		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	368048	370759	-	RRC96355.1			Rne/Rng family ribonuclease			EII11_01520	2712	903	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	371197	372744	+							EII11_01525	1548		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	371197	372744	+	RRC96356.1			cytochrome ubiquinol oxidase subunit I			EII11_01525	1548	515	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	372762	373889	+					cydB		EII11_01530	1128		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	372762	373889	+	RRC96357.1			cytochrome d ubiquinol oxidase subunit II	cydB		EII11_01530	1128	375	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	374080	375846	+					cydD		EII11_01535	1767		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	374080	375846	+	RRC96358.1			thiol reductant ABC exporter subunit CydD	cydD		EII11_01535	1767	588	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	375843	377606	+					cydC		EII11_01540	1764		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	375843	377606	+	RRC96359.1			thiol reductant ABC exporter subunit CydC	cydC		EII11_01540	1764	587	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	377606	379252	+							EII11_01545	1647		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	377606	379252	+	RRC96360.1			GAF domain-containing protein			EII11_01545	1647	548	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	379412	380026	-							EII11_01550	615		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	379412	380026	-	RRC96569.1			DNA-binding response regulator			EII11_01550	615	204	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	380084	380827	-					rnc		EII11_01555	744		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	380084	380827	-	RRC96361.1			ribonuclease III	rnc		EII11_01555	744	247	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	380827	381432	-							EII11_01560	606		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	380827	381432	-	RRC96362.1			DUF177 domain-containing protein			EII11_01560	606	201	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	381425	382159	-							EII11_01565	735		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	381425	382159	-	RRC96363.1			hypothetical protein			EII11_01565	735	244	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	382185	382697	-							EII11_01570	513		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	382185	382697	-	RRC96364.1			pantetheine-phosphate adenylyltransferase			EII11_01570	513	170	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	382694	383332	-					rsmD		EII11_01575	639		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	382694	383332	-	RRC96365.1			16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	rsmD		EII11_01575	639	212	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	383351	385669	-							EII11_01580	2319		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	383351	385669	-	RRC96366.1			ATP-dependent DNA helicase RecG			EII11_01580	2319	772	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	385666	387297	-							EII11_01585	1632		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	385666	387297	-	RRC96367.1			hypothetical protein			EII11_01585	1632	543	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	387588	387779	+					rpmB		EII11_01590	192		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	387588	387779	+	RRC96368.1			50S ribosomal protein L28	rpmB		EII11_01590	192	63	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	388012	389298	+					brnQ		EII11_01595	1287		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	388012	389298	+	RRC96570.1			branched-chain amino acid transport system II carrier protein	brnQ		EII11_01595	1287	428	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	389316	390290	-							EII11_01600	975		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	389316	390290	-	RRC96369.1			TIGR01777 family protein			EII11_01600	975	324	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	390373	391344	-					thiL		EII11_01605	972		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	390373	391344	-	RRC96571.1			thiamine-phosphate kinase	thiL		EII11_01605	972	323	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	391399	391854	-							EII11_01610	456		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	391399	391854	-	RRC96370.1			hypothetical protein			EII11_01610	456	151	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	391854	392453	-							EII11_01615	600		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	391854	392453	-	RRC96371.1			hypothetical protein			EII11_01615	600	199	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	392602	393465	-							EII11_01620	864		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	392602	393465	-	RRC96572.1			RNA methyltransferase			EII11_01620	864	287	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	393546	393929	-							EII11_01625	384		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	393546	393929	-	RRC96372.1			50S ribosomal protein L20			EII11_01625	384	127	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	393961	394155	-							EII11_01630	195		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	393961	394155	-	RRC96373.1			50S ribosomal protein L35			EII11_01630	195	64	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	394205	394867	-							EII11_01635	663		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	394205	394867	-	RRC96573.1			translation initiation factor IF-3			EII11_01635	663	220	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	395183	395887	-							EII11_01640	705		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	395183	395887	-	RRC96574.1			SseB family protein			EII11_01640	705	234	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	395935	396654	-							EII11_01645	720		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	395935	396654	-	RRC96374.1			hypothetical protein			EII11_01645	720	239	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	396696	397304	-							EII11_01650	609		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	396696	397304	-	RRC96375.1			hypothetical protein			EII11_01650	609	202	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	397634	398524	+							EII11_01655	891		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	397634	398524	+	RRC96575.1			DMT family transporter			EII11_01655	891	296	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	398521	398754	+							EII11_01660	234		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	398521	398754	+	RRC96376.1			RNA-binding S4 domain-containing protein			EII11_01660	234	77	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	398886	399632	+							EII11_01665	747		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	398886	399632	+	RRC96377.1			hypothetical protein			EII11_01665	747	248	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	399788	400708	-							EII11_01670	921		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	399788	400708	-	RRC96576.1			carbohydrate ABC transporter permease			EII11_01670	921	306	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	400762	401763	-							EII11_01675	1002		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	400762	401763	-	RRC96378.1			sugar ABC transporter permease			EII11_01675	1002	333	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	401801	403099	-							EII11_01680	1299		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	401801	403099	-	RRC96379.1			extracellular solute-binding protein			EII11_01680	1299	432	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	403150	404415	-							EII11_01685	1266		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	403150	404415	-	RRC96380.1			hypothetical protein			EII11_01685	1266	421	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	404463	407627	-							EII11_01690	3165		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	404463	407627	-	RRC96381.1			alpha-mannosidase			EII11_01690	3165	1054	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	407797	408807	+							EII11_01695	1011		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	407797	408807	+	RRC96382.1			LacI family transcriptional regulator			EII11_01695	1011	336	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	409016	410203	+							EII11_01700	1188		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	409016	410203	+	RRC96577.1			sugar isomerase			EII11_01700	1188	395	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	410480	410824	+							EII11_01705	345		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	410480	410824	+	RRC96383.1			cupin domain-containing protein			EII11_01705	345	114	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	410936	411775	+							EII11_01710	840		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	410936	411775	+	RRC96384.1			class I SAM-dependent methyltransferase			EII11_01710	840	279	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	411772	412458	+							EII11_01715	687		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	411772	412458	+	RRC96385.1			ABC transporter ATP-binding protein			EII11_01715	687	228	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	412504	413559	+							EII11_01720	1056		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	412504	413559	+	RRC96386.1			ABC transporter substrate-binding protein			EII11_01720	1056	351	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	413537	414316	+							EII11_01725	780		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	413537	414316	+	RRC96387.1			ABC transporter permease subunit			EII11_01725	780	259	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	414486	414713	-							EII11_01730	228		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	414486	414713	-	RRC96388.1			hypothetical protein			EII11_01730	228	75	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	415514	416101	-							EII11_01735	588		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	415514	416101	-	RRC96578.1			ASCH domain-containing protein			EII11_01735	588	195	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	416516	417730	+							EII11_01740	1215		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	416516	417730	+	RRC96389.1			hypothetical protein			EII11_01740	1215	404	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	417904	418590	-							EII11_01745	687		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	417904	418590	-	RRC96390.1			N-acetylmannosamine-6-phosphate 2-epimerase			EII11_01745	687	228	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	418590	419477	-							EII11_01750	888		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	418590	419477	-	RRC96391.1			ROK family protein			EII11_01750	888	295	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	419474	420397	-							EII11_01755	924		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	419474	420397	-	RRC96392.1			dihydrodipicolinate synthase family protein			EII11_01755	924	307	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	420491	421291	-							EII11_01760	801		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	420491	421291	-	RRC96393.1			ABC transporter ATP-binding protein			EII11_01760	801	266	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	421294	423348	-							EII11_01765	2055		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	421294	423348	-	RRC96394.1			ATP-binding cassette domain-containing protein			EII11_01765	2055	684	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	423351	424298	-							EII11_01770	948		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	423351	424298	-	RRC96395.1			ABC transporter permease			EII11_01770	948	315	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	424404	425996	-							EII11_01775	1593		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	424404	425996	-	RRC96396.1			ABC transporter substrate-binding protein			EII11_01775	1593	530	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	426258	426911	+							EII11_01780	654		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	426258	426911	+	RRC96579.1			FadR family transcriptional regulator			EII11_01780	654	217	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	427052	430597	-							EII11_01785	3546		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	427052	430597	-	RRC96397.1			DNA polymerase III subunit alpha			EII11_01785	3546	1181	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	430607	431086	-							EII11_01790	480		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	430607	431086	-	RRC96580.1			GNAT family N-acetyltransferase			EII11_01790	480	159	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	431176	432087	-							EII11_01795	912		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	431176	432087	-	RRC96398.1			RluA family pseudouridine synthase			EII11_01795	912	303	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	432080	432580	-					lspA		EII11_01800	501		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	432080	432580	-	RRC96581.1			signal peptidase II	lspA		EII11_01800	501	166	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	432761	433339	-							EII11_01805	579		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	432761	433339	-	RRC96399.1			DivIVA domain-containing protein			EII11_01805	579	192	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	433540	433893	-							EII11_01810	354		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	433540	433893	-	RRC96400.1			YggT family protein			EII11_01810	354	117	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	433850	434305	-							EII11_01815	456		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	433850	434305	-	RRC96401.1			cell division protein SepF			EII11_01815	456	151	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	434408	435217	-							EII11_01820	810		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	434408	435217	-	RRC96402.1			laccase domain-containing protein			EII11_01820	810	269	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	435214	436584	-					ftsZ		EII11_01825	1371		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	435214	436584	-	RRC96403.1			cell division protein FtsZ	ftsZ		EII11_01825	1371	456	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	436787	438049	-							EII11_01830	1263		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	436787	438049	-	RRC96404.1			FtsQ-type POTRA domain-containing protein			EII11_01830	1263	420	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	438046	439503	-							EII11_01835	1458		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	438046	439503	-	RRC96405.1			UDP-N-acetylmuramate--L-alanine ligase			EII11_01835	1458	485	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	439500	440615	-					murG		EII11_01840	1116		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	439500	440615	-	RRC96406.1			undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase	murG		EII11_01840	1116	371	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	440719	441999	-							EII11_01845	1281		
CDS	with_protein	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	440719	441999	-	RRC96407.1			cell division protein FtsW			EII11_01845	1281	426	
gene	protein_coding	GCA_003858455.1	Primary Assembly	unplaced scaffold		RQZF01000001.1	441999	443567	-					murD		EII11_01850	1569		
